arab	engl	desc	info	phon	line
ﻋﺎﻓﻴﺔ	good health, vigour; Allah yaddii-k al-ʿaafya may God give you good health; ʿaafya ʿann-ak (of mother to her son) I am proud of you; be-l-ʿaafya by force	n	pl ʿawaafi	ʿaafya	ʿaafya ‫ ﻋﺎﻓﻴﺔ‬n (pl ʿawaafi) good health, vigour; Allah yaddii-k al-ʿaafya may God give you good health; ʿaafya ʿann-ak (of mother to her son) I am proud of you; be-l-ʿaafya by force
ﻋﺎﻗﺒﺔ	negative consequence or outcome	n	pl ʿawaagib	ʿaagiba	ʿaagiba ‫ ﻋﺎﻗﺒﺔ‬n (pl ʿawaagib) negative consequence or outcome
ﻋﺎﻗل	sensible, wise, prudent	adj	NA	ʿaagil	ʿaagil ‫ ﻋﺎﻗل‬adj sensible, wise, prudent
ﻋﺎﻗﺭ	barren, sterile	adj	NA	ʿaagir	ʿaagir ‫ ﻋﺎﻗﺭ‬adj barren, sterile
ﻋﺎﺝ	ivory	n	NA	ʿaaj	ʿaaj ‫ ﻋﺎﺝ‬n ivory
ﻋﺎﺠل	urgent	adj	NA	ʿaajil	ʿaajil ‫ ﻋﺎﺠل‬adj urgent
ﻋﺎﺠﺯ	weak, powerless, incapable, impotent	adj	NA	ʿaajiz	ʿaajiz ‫ ﻋﺎﺠﺯ‬adj weak, powerless, incapable, impotent
ﻋﺎﻜﺱ	to oppose, contradict	vt	muʿaakasa	ʿaakas	ʿaakas ‫ ﻋﺎﻜﺱ‬vt (muʿaakasa) to oppose, contradict
ﻋﺎﻜﺱ	reflector; sun reflector (e.g. for in car)	n	pl ʿawaakis	ʿaakis	ʿaakis ‫ ﻋﺎﻜﺱ‬n (pl ʿawaakis) reflector; sun reflector (e.g. for in car)
ﻋﺎل	to support, provide for, sustain	vt	u, iʿaala	ʿaal	ʿaal ‫ ﻋﺎل‬vt (u, iʿaala) to support, provide for, sustain
ﻋﺎﻟﺞ	to treat medically, cure, heal	vt	ʿilaaj, muʿaalaja	ʿaalaj	ʿaalaj ‫ ﻋﺎﻟﺞ‬vt (ʿilaaj, muʿaalaja) to treat medically, cure, heal
ﻋﺎﻟﻡ	world	n	pl ʿawaalim	ʿaalam	ʿaalam ‫ ﻋﺎﻟﻡ‬n (pl ʿawaalim) world
ﻋﺎﻟﻤﻲ	international	adj	NA	ʿaalami	ʿaalami ‫ ﻋﺎﻟﻤﻲ‬adj international
ﻋﺎﻟﻲ	high	adj	NA	ʿaali	ʿaali ‫ ﻋﺎﻟﻲ‬adj 1 high 2 loud
ﻋﺎﻟﻲ	loud	adj	NA	ʿaali	ʿaali ‫ ﻋﺎﻟﻲ‬adj 1 high 2 loud
ﻋﺎﻟﻡ	learned	adj	NA	ʿaalim	ʿaalim ‫ ﻋﺎﻟﻡ‬(pl ʿulama) adj learned • n scholar, scientist
ﻋﺎﻟﻡ	scholar, scientist	n	NA	ʿaalim	ʿaalim ‫ ﻋﺎﻟﻡ‬(pl ʿulama) adj learned • n scholar, scientist
ﻋﺎﻡ	to swim	vi	u, ʿoom, ʿuwaama	ʿaam	ʿaam ‫ ﻋﺎﻡ‬vi (u, ʿoom, ʿuwaama) to swim
ﻋﺎﻡ	year; ʿaam an- awwal last year	n	pl aʿwaam	ʿaam	ʿaam ‫ ﻋﺎﻡ‬n (pl aʿwaam) year; ʿaam an- awwal last year
ﻋﺎﻤل	to behave towards, treat	vt	muʿaamala	ʿaamal	ʿaamal ‫ ﻋﺎﻤل‬vt (muʿaamala) to behave towards, treat
ﻋﺎﻤل	doing; ʿaamil keef how are you doing?	adj m	NA	ʿaamil	ʿaamil ‫ ﻋﺎﻤل‬adj m doing; ʿaamil keef how are you doing? • n (m) 1 (pl ʿummaal) worker, labourer 2 employee 3 (pl ʿawaamil) factor
ﻋﺎﻤل	worker, labourer	n (m)	NA	ʿaamil	ʿaamil ‫ ﻋﺎﻤل‬adj m doing; ʿaamil keef how are you doing? • n (m) 1 (pl ʿummaal) worker, labourer 2 employee 3 (pl ʿawaamil) factor
ﻋﺎﻤل	employee	n (m)	NA	ʿaamil	ʿaamil ‫ ﻋﺎﻤل‬adj m doing; ʿaamil keef how are you doing? • n (m) 1 (pl ʿummaal) worker, labourer 2 employee 3 (pl ʿawaamil) factor
ﻋﺎﻤل	factor	n (m)	NA	ʿaamil	ʿaamil ‫ ﻋﺎﻤل‬adj m doing; ʿaamil keef how are you doing? • n (m) 1 (pl ʿummaal) worker, labourer 2 employee 3 (pl ʿawaamil) factor
ﻋﺎﻤﻠﺔ	doing	adj f	NA	ʿaamla	ʿaamla ‫ ﻋﺎﻤﻠﺔ‬adj f doing • n (f) 1 worker, labourer 2 employee
ﻋﺎﻤﻠﺔ	worker, labourer	n (f)	NA	ʿaamla	ʿaamla ‫ ﻋﺎﻤﻠﺔ‬adj f doing • n (f) 1 worker, labourer 2 employee
ﻋﺎﻤﻠﺔ	employee	n (f)	NA	ʿaamla	ʿaamla ‫ ﻋﺎﻤﻠﺔ‬adj f doing • n (f) 1 worker, labourer 2 employee
 ﻋﺎﻡ	common general, public; be-shakil ʿaamm in general	adj	NA	ʿaamm 	ʿaamm ‫ ﻋﺎﻡ‬adj common general, public; be-shakil ʿaamm in general
ﻴﺔ ﻋﺎﻤ	al- ʿaammiyya the colloquial language, spoken Arabic	n	al-lugha	ʿaammiyya	ʿaammiyya ‫ﻴﺔ‬‫ ﻋﺎﻤ‬n (al-lugha) al- ʿaammiyya the colloquial language, spoken Arabic
ﻋﺎﻨﻰ	to suffer	vi	-i, muʿaanaa	ʿaana	ʿaana ‫ ﻋﺎﻨﻰ‬vi (-i, muʿaanaa) to suffer
ﻋﺎﻨﺩ	to be stubborn, obstinate	vi	muʿaanada	ʿaanad	ʿaanad ‫ ﻋﺎﻨﺩ‬vi (muʿaanada) to be stubborn, obstinate
ﻋﺎﻨﺱ	elderly unmarried woman	n	pl ʿawaanis	ʿaanis	ʿaanis ‫ ﻋﺎﻨﺱ‬n (pl ʿawaanis) elderly unmarried woman
ﻋﺎﻗﺏ	to punish	vt	ʿiqaab, muʿaaqaba	ʿaaqab	ʿaaqab ‫ ﻋﺎﻗﺏ‬vt (ʿiqaab, muʿaaqaba) to punish
ﻋﺎﺭﺽ	to oppose, contradict	vt	muʿaaraḍa	ʿaaraḍ	ʿaaraḍ ‫ ﻋﺎﺭﺽ‬vt (muʿaaraḍa) to oppose, contradict
ﻋﺎﺭﺽ	obstacle, obstruction	n	NA	ʿaariḍ	ʿaariḍ ‫ ﻋﺎﺭﺽ‬n (pl ʿawaariḍ) 1 obstacle, obstruction 2 misfortune
ﻋﺎﺭﺽ	misfortune	n	NA	ʿaariḍ	ʿaariḍ ‫ ﻋﺎﺭﺽ‬n (pl ʿawaariḍ) 1 obstacle, obstruction 2 misfortune
ﺔ ﻋﺎﺭﻴ	loan	n	NA	ʿaariyya	ʿaariyya ‫ﺔ‬‫ ﻋﺎﺭﻴ‬n loan
ﻋﺎﺱ	to make kisra	vt	u, ʿuwaasa	ʿaas	ʿaas ‫ ﻋﺎﺱ‬vt (u, ʿuwaasa) to make kisra
ﻋﺎﺼﻲ	disobedient	adj	pl -yyiin	ʿaaṣi	ʿaaṣi ‫ ﻋﺎﺼﻲ‬adj (pl -yyiin) disobedient
ﻋﺎﺼﻔﺔ	storm	n	pl ʿawaaṣif	ʿaaṣifa	ʿaaṣifa ‫ ﻋﺎﺼﻔﺔ‬n (pl ʿawaaṣif) storm
ﻋﺎﺼﻤﺔ	capital city	n	pl ʿawaaṣim	ʿaaṣima	ʿaaṣima ‫ ﻋﺎﺼﻤﺔ‬n (pl ʿawaaṣim) capital city
ﻋﺎﺵ	to live, be alive	vi	i, ʿeesh, ʿeesha	ʿaash	ʿaash ‫ ﻋﺎﺵ‬vi (i, ʿeesh, ʿeesha) to live, be alive
ﻋﺎﺸﺭ	to live together for a certain period of time	vt	ʿushra	ʿaashar	ʿaashar ‫ ﻋﺎﺸﺭ‬vt (ʿushra) to live together for a certain period of time
ﻋﺎﺸﻕ	lover; ʿaashig maʿshuug hinge	n	NA	ʿaashig	ʿaashig ‫ ﻋﺎﺸﻕ‬n lover; ʿaashig maʿshuug hinge
ﻋﺎﺸﺭ	um tenth	n	NA	ʿaashir	ʿaashir ‫ ﻋﺎﺸﺭ‬num tenth
ﻋﺎﺘﺏ	to reproach	vt	ʿitaab, muʿaataba	ʿaatab	ʿaatab ‫ ﻋﺎﺘﺏ‬vt (ʿitaab, muʿaataba) to reproach
ﻋﺎﺘﻲ	big, huge	adj	pl ʿaatiin	ʿaati	ʿaati ‫ ﻋﺎﺘﻲ‬adj (pl ʿaatiin) big, huge
ﻋﺎﻁﻔﺔ	emotion	n	pl ʿawaaṭif	ʿaaṭifa	ʿaaṭifa ‫ ﻋﺎﻁﻔﺔ‬n (pl ʿawaaṭif) emotion
ﻋﺎﻁﻔﻲ	emotional	adj	NA	ʿaaṭifi	ʿaaṭifi ‫ ﻋﺎﻁﻔﻲ‬adj emotional
ﻋﺎﻁل	idle; jobless, unemployed	adj	NA	ʿaaṭil	ʿaaṭil ‫ ﻋﺎﻁل‬adj idle; jobless, unemployed
ﻋﺎﻭﻥ	to help, assist, support	vt	muʿaawana	ʿaawan	ʿaawan ‫ ﻋﺎﻭﻥ‬vt (muʿaawana) to help, assist, support
ﻋﺎﻭﺯ	to want; to need; hi ʿaawza shinu what does she want?; ʿaawziin ʿarabiyya do you need a car?; zayy ma (inta) ʿaawiz as you like	adj	used for	ʿaawiz	ʿaawiz ‫ ﻋﺎﻭﺯ‬adj (used for) to want; to need; hi ʿaawza shinu what does she want?; ʿaawziin ʿarabiyya do you need a car?; zayy ma (inta) ʿaawiz as you like
ﻋﺎﻴﻥ	(le-) to look (at)	vt	ʿiyyeen, muʿaayana	ʿaayan	ʿaayan ‫ ﻋﺎﻴﻥ‬vt (ʿiyyeen, muʿaayana) (le-) to look (at)
ﻋﺎﻴﺵ	to live during, witness; ʿaayash zaman ar- riqq he lived during the era of slavery	vt	muʿaayasha	ʿaayash	ʿaayash ‫ ﻋﺎﻴﺵ‬vt (muʿaayasha) to live during, witness; ʿaayash zaman ar- riqq he lived during the era of slavery
ﻋﺎﻴﺩ	revenue	n	pl -aat, ʿaaꞌidaat	ʿaayid	ʿaayid ‫ ﻋﺎﻴﺩ‬n (pl -aat, ʿaaꞌidaat) revenue
ﻋﺎﻴﺵ	alive	adj	NA	ʿaayish	ʿaayish ‫ ﻋﺎﻴﺵ‬adj alive
ﻋﺎﻴﺯ	to want; to need; hi ʿaayza shinu what does she want?; ʿaayziin ʿarabiyya do you need a car?; zayy ma (inta) ʿaayiz as you like	adj	used for	ʿaayiz	ʿaayiz ‫ ﻋﺎﻴﺯ‬adj (used for) to want; to need; hi ʿaayza shinu what does she want?; ʿaayziin ʿarabiyya do you need a car?; zayy ma (inta) ʿaayiz as you like
ﻋﺎﺯ	to want	vt	u, ʿooza	ʿaaz	ʿaaz ‫ ﻋﺎﺯ‬vt (u, ʿooza) to want
ﻋﺎﺯل	insulator, non-conductor	n	pl ʿawaazil	ʿaazil	ʿaazil ‫ ﻋﺎﺯل‬n (pl ʿawaazil) insulator, non-conductor
ﻋﺒﺎﻁﺔ	stupidity, foolishness	n	NA	ʿabaaṭa	ʿabaaṭa ‫ ﻋﺒﺎﻁﺔ‬n stupidity, foolishness
ﻋﺒﺩ	to worship	vt	u, ʿibaada	ʿabad	ʿabad ‫ ﻋﺒﺩ‬vt (u, ʿibaada) to worship
ﻋﺒﺭ	to measure (e.g. grain)	vt	i, ʿabir	ʿabar	ʿabar ‫ ﻋﺒﺭ‬vt (i, ʿabir) to measure (e.g. grain)
ﻋﺒﺭ	to cross, pass (street, bridge)	vt	i, ʿabra, ʿubuur	ʿabar	ʿabar ‫ ﻋﺒﺭ‬vt (i, ʿabra, ʿubuur) to cross, pass (street, bridge)
ﻰ ﻋﺒ	to fill	vt	-i, ʿibbeey, taʿbiya	ʿabba	ʿabba ‫ﻰ‬‫ ﻋﺒ‬vt (-i, ʿibbeey, taʿbiya) to fill
ﺎ ﻋﺒ	to mobilize	vt	-i, taʿbiya	ʿabba	ʿabba ‫ﺎ‬‫ ﻋﺒ‬vt (-i, taʿbiya) to mobilize
ﺭ ﻋﺒ	ʿan to express, be expressive of	vt	taʿbiir	ʿabbar	ʿabbar ‫ﺭ‬‫ ﻋﺒ‬vt (taʿbiir) ʿan to express, be expressive of
ﻋﺒﺩﺓ	slave	n (f)	f	ʿabda	ʿabda ‫ ﻋﺒﺩﺓ‬n (f) slave
ﻋﺒﺩ	slave	n (m)	pl ʿabiid	ʿabid	ʿabid ‫ ﻋﺒﺩ‬n (m) (pl ʿabiid) slave
ﻋﺒﻴﻁ	stupid, foolish	adj	NA	ʿabiiṭ	ʿabiiṭ ‫ ﻋﺒﻴﻁ‬(pl ʿubaṭa) adj stupid, foolish • n fool
ﻋﺒﻴﻁ	fool	n	NA	ʿabiiṭ	ʿabiiṭ ‫ ﻋﺒﻴﻁ‬(pl ʿubaṭa) adj stupid, foolish • n fool
ﻋﺒﺭﺓ	lump (in throat)	n	also fig	ʿabra	ʿabra ‫ ﻋﺒﺭﺓ‬n (also fig) lump (in throat)
ﻋﺩﺍ	ma ʿada except	prep	NA	ʿada	ʿada ‫ ﻋﺩﺍ‬prep ma ʿada except
ﻋﺩﺍﻟﺔ	justice	n	NA	ʿadaala	ʿadaala ‫ ﻋﺩﺍﻟﺔ‬n justice
ﻋﺩﺍﻭﺓ	hostility, aggression	n	NA	ʿadaawa	ʿadaawa ‫ ﻋﺩﺍﻭﺓ‬n hostility, aggression
ﻋﺩﺩ	number, amount; ʿadad al-muntaẓiriin waiting list; ʿadad as-sukkaan number of inhabitants, population	n	pl aʿdaad	ʿadad	ʿadad ‫ ﻋﺩﺩ‬n (pl aʿdaad) number, amount; ʿadad al-muntaẓiriin waiting list; ʿadad as-sukkaan number of inhabitants, population
ﺔ ﻋﺩﺩﻴ	number, amount	n	NA	ʿadadiyya	ʿadadiyya ‫ﺔ‬‫ ﻋﺩﺩﻴ‬n number, amount
ﻋﺩل	s.o./sth. exactly suitable or fitting	n	NA	ʿadal	ʿadal ‫ ﻋﺩل‬n 1 s.o./sth. exactly suitable or fitting 2 reinfibulation of circumcised women
ﻋﺩل	reinfibulation of circumcised women	n	NA	ʿadal	ʿadal ‫ ﻋﺩل‬n 1 s.o./sth. exactly suitable or fitting 2 reinfibulation of circumcised women
ﻋﺩل	to mend; to adjust	vt	i, ʿadil	ʿadal	ʿadal ‫ ﻋﺩل‬vt (i, ʿadil) to mend; to adjust
ﻋﺩﻟﺔ	right side of a piece of cloth, the side with the pattern	n	NA	ʿadala	ʿadala ‫ ﻋﺩﻟﺔ‬n right side of a piece of cloth, the side with the pattern
ﻋﺩﻡ	non-existence, absence (of things); ʿadam al-ʿirfa ḍalaam absence of knowledge means darkness	n	NA	ʿadam	ʿadam ‫ ﻋﺩﻡ‬n 1 non-existence, absence (of things); ʿadam al-ʿirfa ḍalaam absence of knowledge means darkness 2 extreme poverty, destitution
ﻋﺩﻡ	extreme poverty, destitution	n	NA	ʿadam	ʿadam ‫ ﻋﺩﻡ‬n 1 non-existence, absence (of things); ʿadam al-ʿirfa ḍalaam absence of knowledge means darkness 2 extreme poverty, destitution
ﻋﺩﺱ	lentil(s)	coll n	unit n ʿadasa, ʿadasaaya	ʿadas	ʿadas ‫ ﻋﺩﺱ‬coll n (unit n ʿadasa, ʿadasaaya) lentil(s)
ﻋﺩﺴﺔ	lens	n	NA	ʿadasa	ʿadasa ‫ ﻋﺩﺴﺔ‬n lens
 ﻋﺩ	to count	vt	i, ʿadd	ʿadda 	ʿadda ‫ ﻋﺩ‬vt (i, ʿadd) to count
ﻯ ﻋﺩ	ʿala to call in at, pass by at	vi	NA	ʿadda	ʿadda ‫ﻯ‬‫ ﻋﺩ‬(-i, ʿiddeey) vi ʿala to call in at, pass by at • vt 1 to pass, go past, overtake 2 to cross, pass (street, bridge) 3 to last, take time; ash- shughul ʿadda maʿaa-na shahar the work took us a month
ﻯ ﻋﺩ	to pass, go past, overtake	vt	NA	ʿadda	ʿadda ‫ﻯ‬‫ ﻋﺩ‬(-i, ʿiddeey) vi ʿala to call in at, pass by at • vt 1 to pass, go past, overtake 2 to cross, pass (street, bridge) 3 to last, take time; ash- shughul ʿadda maʿaa-na shahar the work took us a month
ﻯ ﻋﺩ	to cross, pass (street, bridge)	vt	NA	ʿadda	ʿadda ‫ﻯ‬‫ ﻋﺩ‬(-i, ʿiddeey) vi ʿala to call in at, pass by at • vt 1 to pass, go past, overtake 2 to cross, pass (street, bridge) 3 to last, take time; ash- shughul ʿadda maʿaa-na shahar the work took us a month
ﻯ ﻋﺩ	to last, take time; ash- shughul ʿadda maʿaa-na shahar the work took us a month	vt	NA	ʿadda	ʿadda ‫ﻯ‬‫ ﻋﺩ‬(-i, ʿiddeey) vi ʿala to call in at, pass by at • vt 1 to pass, go past, overtake 2 to cross, pass (street, bridge) 3 to last, take time; ash- shughul ʿadda maʿaa-na shahar the work took us a month
ﺍﺩ ﻋﺩ	meter (e.g. for electricity)	n	pl -aat	ʿaddaad	ʿaddaad ‫ﺍﺩ‬‫ ﻋﺩ‬n (pl -aat) meter (e.g. for electricity)
ل ﻋﺩ	to adjust, straighten	vt	taʿdiil	ʿaddal	ʿaddal ‫ل‬‫ ﻋﺩ‬vt (taʿdiil) to adjust, straighten
ﻋﺩﻴل	sister-in-law’s husband	n	NA	ʿadiil	ʿadiil ‫ ﻋﺩﻴل‬n sister-in-law’s husband
ﻋﺩﻴل	straight	adj	NA	ʿadiil	ʿadiil ‫ ﻋﺩﻴل‬adj 1 straight 2 balancing (of loads) • adv straight ahead
ﻋﺩﻴل	balancing (of loads)	adj	NA	ʿadiil	ʿadiil ‫ ﻋﺩﻴل‬adj 1 straight 2 balancing (of loads) • adv straight ahead
ﻋﺩﻴل	straight ahead	adv	NA	ʿadiil	ʿadiil ‫ ﻋﺩﻴل‬adj 1 straight 2 balancing (of loads) • adv straight ahead
ﻋﺩﻴﻠﺔ	all right	interj	NA	ʿadiila	ʿadiila ‫ ﻋﺩﻴﻠﺔ‬interj all right
ﻋﺩل	justice	n	NA	ʿadl	ʿadl ‫ ﻋﺩل‬n justice
ﻋﺩﻤﺎﻥ	extremely poor	adj	NA	ʿadmaan	ʿadmaan ‫ ﻋﺩﻤﺎﻥ‬adj extremely poor
ﻋﺩﻭ	enemy	n	pl aʿdaa	ʿadu	ʿadu ‫ ﻋﺩﻭ‬n (pl aʿdaa) enemy
ﻋﻀﻠﺔ	muscle; shadd fi l- ʿaḍala/shadd ʿaḍali muscle cramp	n	NA	ʿaḍala	ʿaḍala ‫ ﻋﻀﻠﺔ‬n muscle; shadd fi l- ʿaḍala/shadd ʿaḍali muscle cramp
 ﻋﺽ	to bite; to sting (scorpion)	vt	u, ʿaḍḍ, ʿaḍḍa	ʿaḍḍa 	ʿaḍḍa ‫ ﻋﺽ‬vt (u, ʿaḍḍ, ʿaḍḍa) to bite; to sting (scorpion)
ﻋﻀﻴﺭ	handicapped	adj	NA	ʿaḍiir	ʿaḍiir ‫ ﻋﻀﻴﺭ‬adj handicapped
ﻋﻀﻭ	limb	n	NA	ʿaḍu	ʿaḍu ‫ ﻋﻀﻭ‬n (pl aʿḍaa) 1 limb 2 member
ﻋﻀﻭ	member	n	NA	ʿaḍu	ʿaḍu ‫ ﻋﻀﻭ‬n (pl aʿḍaa) 1 limb 2 member
ﻋﻀﻡ	bone; ʿaḍum aḍ-ḍahar spine, backbone; ʿaḍum ash-sheeṭaan ankle	n	NA	ʿaḍum	ʿaḍum ‫ ﻋﻀﻡ‬n (pl ʿuḍaam) 1 bone; ʿaḍum aḍ-ḍahar spine, backbone; ʿaḍum ash-sheeṭaan ankle 2 stone (of fruit)
ﻋﻀﻡ	stone (of fruit)	n	NA	ʿaḍum	ʿaḍum ‫ ﻋﻀﻡ‬n (pl ʿuḍaam) 1 bone; ʿaḍum aḍ-ḍahar spine, backbone; ʿaḍum ash-sheeṭaan ankle 2 stone (of fruit)
ﻋﻔﻰ	to forgive; ʿafeet-o I have forgiven him; ʿafeet lee-ho ghalaṭ-o maʿaa-y I have forgiven him for offending me	vt	le-/ʿan	ʿafa	ʿafa ‫ ﻋﻔﻰ‬(-i, ʿafu) vt (le-/ʿan) to forgive; ʿafeet-o I have forgiven him; ʿafeet lee-ho ghalaṭ-o maʿaa-y I have forgiven him for offending me
ﻋﻔﺎﻨﺔ	bad smell	n	NA	ʿafaana	ʿafaana ‫ ﻋﻔﺎﻨﺔ‬n bad smell
ﻋﻔﺎﺭﻡ	ʿafaarim ʿalee-k well done!	interj	NA	ʿafaarim	ʿafaarim ‫ ﻋﻔﺎﺭﻡ‬interj ʿafaarim ʿalee-k well done!
ﻋﻔﻥ	stench	n	NA	ʿafan	ʿafan ‫ ﻋﻔﻥ‬n stench
ﻋﻔﺹ	to dent	vt	a, ʿafiṣ, ʿafṣa	ʿafaṣ	ʿafaṣ ‫ ﻋﻔﺹ‬vt (a, ʿafiṣ, ʿafṣa) to dent
ﻋﻔﺵ	luggage, baggage	n	NA	ʿafash	ʿafash ‫ ﻋﻔﺵ‬n 1 luggage, baggage 2 furniture
ﻋﻔﺵ	furniture	n	NA	ʿafash	ʿafash ‫ ﻋﻔﺵ‬n 1 luggage, baggage 2 furniture
ﻋﻔﹼﻥ	to stink; to rot, decay	vi	ʿiffeen	ʿaffan	ʿaffan ‫ ﻋﻔﹼﻥ‬vi (ʿiffeen) to stink; to rot, decay
ﻋﻔﹼﺹ	to dent	vt	ʿiffeeṣ	ʿaffaṣ	ʿaffaṣ ‫ ﻋﻔﹼﺹ‬vt (ʿiffeeṣ) to dent
ﻋﻔﹼﺵ	to furnish	vt	ʿiffeesh, taʿfiish	ʿaffash	ʿaffash ‫ ﻋﻔﹼﺵ‬vt (ʿiffeesh, taʿfiish) to furnish
ﻋﻔﻴﻑ	odest	adj m	NA	ʿafiif	ʿafiif ‫ ﻋﻔﻴﻑ‬adj modest
ﻋﻔﻥ	stinking; ʿamal ḥaaja ʿafna he did a nasty thing	adj	NA	ʿafin	ʿafin ‫ ﻋﻔﻥ‬adj stinking; ʿamal ḥaaja ʿafna he did a nasty thing
ﻋﻔﺭﺕ	to jack up (e.g. a car)	vt	ʿifreet, ʿafrata	ʿafrat	ʿafrat ‫ ﻋﻔﺭﺕ‬vt (ʿifreet, ʿafrata) to jack up (e.g. a car)
ﻋﻔﺭﻴﺕ	ghost; dust devil	n	pl ʿafaariit	ʿafriit	ʿafriit ‫ ﻋﻔﺭﻴﺕ‬n (pl ʿafaariit) ghost; dust devil
ﻋﻔﺭﻴﺘﺔ	car jack; (hydraulic) lifting ramp	n	NA	ʿafriita	ʿafriita ‫ ﻋﻔﺭﻴﺘﺔ‬n (pl -aat, ʿafaariit) 1 car jack; (hydraulic) lifting ramp 2 overalls, boiler suit 3 negative of a film
ﻋﻔﺭﻴﺘﺔ	overalls, boiler suit	n	NA	ʿafriita	ʿafriita ‫ ﻋﻔﺭﻴﺘﺔ‬n (pl -aat, ʿafaariit) 1 car jack; (hydraulic) lifting ramp 2 overalls, boiler suit 3 negative of a film
ﻋﻔﺭﻴﺘﺔ	negative of a film	n	NA	ʿafriita	ʿafriita ‫ ﻋﻔﺭﻴﺘﺔ‬n (pl -aat, ʿafaariit) 1 car jack; (hydraulic) lifting ramp 2 overalls, boiler suit 3 negative of a film
ﻋﻔﹼﺼ ﺔ	dent	n	NA	ʿafṣa	ʿafṣa ‫ ﻋﻔﹼﺼ ﺔ‬n dent
ﻋﻔﻭ	forgiveness; amnesty, pardon; al-ʿafu I beg your pardon	n	NA	ʿafu	ʿafu ‫ ﻋﻔﻭ‬n forgiveness; amnesty, pardon; al-ʿafu I beg your pardon
ﻋﻔﻭﺍ	don't mention it; you're welcome!	interj	reply to thanks	ʿafwan	ʿafwan ‫ ﻋﻔﻭﺍ‬interj (reply to thanks) don't mention it; you're welcome!
ﻋﻘﺎﺏ	end; baji fi ʿagaab al- yoom I'll come at the end of the day	n	NA	ʿagaab	ʿagaab ‫ ﻋﻘﺎﺏ‬n 1 end; baji fi ʿagaab al- yoom I'll come at the end of the day 2 family (household); offspring, descendants; al-ʿagaab keef how's your family?
ﻋﻘﺎﺏ	family (household); offspring, descendants; al-ʿagaab keef how's your family?	n	NA	ʿagaab	ʿagaab ‫ ﻋﻘﺎﺏ‬n 1 end; baji fi ʿagaab al- yoom I'll come at the end of the day 2 family (household); offspring, descendants; al-ʿagaab keef how's your family?
ﻋﻘﺏ	to succeed (come after)	vt	i, ʿagib	ʿagab	ʿagab ‫ ﻋﻘﺏ‬vt (i, ʿagib) to succeed (come after)
ﻋﻘﺒﺔ	mountain pass	n	NA	ʿagaba	ʿagaba ‫ ﻋﻘﺒﺔ‬n mountain pass
ﻋﻘﺩ	to make up a contract	vi	i, ʿagid	ʿagad	ʿagad ‫ ﻋﻘﺩ‬vi (i, ʿagid) to make up a contract • vt ʿagad ijtimaaʿ to fix a meeting
ﻋﻘﺩ	ʿagad ijtimaaʿ to fix a meeting	vt	NA	ʿagad	ʿagad ‫ ﻋﻘﺩ‬vi (i, ʿagid) to make up a contract • vt ʿagad ijtimaaʿ to fix a meeting
ﻋﻕﹼ	to be disrespectful (towards elders)	vt	u, ʿuguug	ʿagga	ʿagga ‫ ﻋﻕﹼ‬vt (u, ʿuguug) to be disrespectful (towards elders)
