term	en_term	cat
تزوير الانتخابات	rig the vote	ELECTION FRAUD
تزوير الانتخابات	vote fraud	ELECTION FRAUD
التلاعب التصويت	vote manipulation	ELECTION FRAUD
قمع الناخبين	voter suppression	ELECTION FRAUD
ترهيب الناخبين	voter intimidation	ELECTION FRAUD
تخويف الناخبين	intimidate voter	ELECTION FRAUD
تزوير	voter fraud	ELECTION FRAUD
تلاعب التصويت	vote rig	ELECTION FRAUD
تزوير الانتخابات	vote rigging	ELECTION FRAUD
الانتخابات المزورة	rigged elections	ELECTION FRAUD
تزوير الانتخابات	rig the election	ELECTION FRAUD
التصويت العبث	vote tampering	ELECTION FRAUD
انتهاكات التصويت	voting violations	ELECTION FRAUD
مخالفات انتخابية	election irregularities	ELECTION FRAUD
مخالفات التصويت	vote irregularities	ELECTION FRAUD
القبض على كشك	booth capture	ELECTION FRAUD
كشك التقاط	capture booth	ELECTION FRAUD
خصخصة	privatize	PRIVATIZATION
خصخصة	privatise	PRIVATIZATION
الخصخصة	privatization	PRIVATIZATION
الخصخصة	privatisation	PRIVATIZATION
رفع القيود	deregulation	DEREGULATION
رفع الضوابط	deregulate	DEREGULATION
تأميم	nationalize	NATIONALIZE
المؤممة	nationalizing	NATIONALIZE
تؤمم	nationalizes	NATIONALIZE
تؤمم	nationalizes	NATIONALIZE
في إضراب	on strike	LABOR STRIKE
إضراب عام	general strike	LABOR STRIKE
مدهش	striking	LABOR STRIKE
تركه وراءه	lock out	LABOR STRIKE
اقفل	locked out	LABOR STRIKE
إضراب وطني	national strike	LABOR STRIKE
إضراب	nationwide strike	LABOR STRIKE
إضراب على مستوى الولاية	statewide strike	LABOR STRIKE
إضراب ما لم	strike unless	LABOR STRIKE
إضراب المرحلة	stage strike	LABOR STRIKE
بعيدا عن العمل	off the job	LABOR STRIKE
ستضرب ل	will strike for	LABOR STRIKE
إضراب اليوم	day strike	LABOR STRIKE
توقف العمل	work stoppage	LABOR STRIKE
في إضراب مستمر	on continuous strike	LABOR STRIKE
إضراب المحامين	lawyers strike	LABOR STRIKE
إضراب الكسارة	strike breaker	LABOR STRIKE
زعيم الإضراب	strike leader	LABOR STRIKE
مفسد الضراب	strikebreaker	LABOR STRIKE
إنقاذ	bail out	BAILOUT
مؤامرة انتحارية	suicide plot	TERROR
هجوم إرهابي	terror attack	TERROR
مؤامرة إرهابية	terror plot	TERROR
إرهابي	terrorist	TERROR
إرهاب	terrorism	TERROR
حزام ناسف	suicide vest	TERROR
انفجار سيارة	car bomb	TERROR
شاحنة مفخخة	truck bomb	TERROR
السيارات المفخخة	vehicle bomb	TERROR
هجوم انتحاري	suicide attack	SUICIDE ATTACK
الهجمات الانتحارية	suicide attacks	SUICIDE ATTACK
تفجير انتحاري	suicide bombing	SUICIDE ATTACK
تفجير انتحاري	suicide bomb	SUICIDE ATTACK
انتحاري	suicide bomber	SUICIDE ATTACK
فجر نفسه	blew himself	SUICIDE ATTACK
فجرت نفسها	blew herself	SUICIDE ATTACK
فجروا أنفسهم	blew themselves	SUICIDE ATTACK
يفجر نفسه	blowing himself	SUICIDE ATTACK
تهب نفسها	blowing herself	SUICIDE ATTACK
تهب نفسها	blowing themselves	SUICIDE ATTACK
