term	en_term	cat
النشاط التجاري الزراعي	agrobusiness	BUSAGR
صناعة الأسلحة	arms industry	BUSMIL
أنجليكاني	anglican	CHRPRO
القمص	archpriest	CHRCTH
الأسقف الكاثوليكي	catholic bishop	CHRCTH
المبشر الكاثوليكي	catholic missionary	CHRCTH
موناستاري الكاثوليكي	catholic monastary	CHRCTH
الراهب الكاثوليكي	catholic monk	CHRCTH
كاهن كاثوليكي	catholic priest	CHRCTH
القديس الكاثوليكي	catholic saint	CHRCTH
رجال الدين المسيحي	christian clergy	CHRCTH
زعيم دينى	hierarch	CHRCTH
الكاهن الاكبر	high priest	CHRCTH
المارونية	maronite	CHRMAR
الكنيسة الميثودية	methodist church	CHRPRO
أسقف	prelate	CHRCTH
المبشر البروتستانتي	protestant missionary	CHRPRO
الموحدين	unitarian	RELCHR
السريرية للبيئة	deparment of environment	ENV}
المحامي العام	advocate general	GOVJUD
الزراعة والري وزارة	agriculture and irrigation ministry	GOVAGR
وزير الزراعة	agriculture minister	GOVAGR
وزير الزراعة	agriculture secretary	GOVAGR
وزير الثروة الحيوانية والمائية	animal husbandry and aquatics minister	GOVAGR
قسم مراقبة البنوك	bank control department	GOVBUS
قسم التجارة الحدودية	border trade department	GOVBUS
بث minist	broadcast minist	GOVMED
مكتب تحقيق خاص	bureau of special investigation	GOVCOP
مكتب العمليات الخاصة	bureau of special operations	GOVSPY
البنك المركزي	central bank	GOVBUS
محافظ البنك المركزي	central bank governor	GOVBUS
رئيس أركان الدفاع	chief of defence staff	GOVMIL
قسم الدفاع المدني	civil defense department	GOVMIL
minist الدفاع المدني	civil defense minist	GOVMIL
وزير الدفاع المدني	civil defense secretary	GOVMIL
مكتب الاتصالات	communications bureau	GOVMED
minist البناء	construction minist	GOVDEV
minist الدفاع	defence minist	GOVMIL
وزير الدفاع	defence secretary	GOVMIL
قسم الدفاع	defense department	GOVMIL
minist الدفاع	defense minist	GOVMIL
وزير الدفاع	defense secretary	GOVMIL
خدمات الدفاع	defense services	GOVMIL
قسم الزراعة	department of agriculture	GOVAGR
قسم الرقابة المصرفية	department of bank control	GOVBUS
قسم التجارة الحدودية	department of border trade	GOVBUS
قسم الدفاع المدني	department of civil defense	GOVMIL
وزارة التجارة	department of commerce	GOVBUS
قسم الدفاع	department of defense	GOVMIL
قسم التربية	department of education	GOVEDU
قسم البيئة	department of environment	GOVENV
قسم البيئة	department of the environment	GOVENV
قسم جودة البيئة	department of environmental quality	GOVENV
قسم الزراعة	dept of agriculture	GOVAGR
مجلس تنمية	development council	GOVDEV
مدير المخابرات خدمات الدفاع	director of defence services intelligence	GOVMIL
قسم التعليم	education department	GOVEDU
minist التعليم	education minist	GOVEDU
مسؤول التعليم	education official	GOVEDU
وزير التعليم	education secretary	GOVEDU
minist البيئة	environment minist	GOVENV
قسم التنفيذية	executive department	GOVMIL
مصايد الأسماك وتربية الماشية minist	fisheries and livestock minist	GOVAGR
العمل الحكومي	government employer	GOVBUS
النائب الحكومة	government lawmaker	GOVPTY
شركة تديرها الحكومة	government run firm	GOVBUS
الصحة والأسرة minist	health and family minist	GOVHLH
وزارة الصحة	health department	GOVHLH
minist الصحة	health minist	GOVHLH
مسؤول صحي	health official	GOVHLH
العاملين في مجال الصحة	health personnel	GOVHLH
minist التعليم العالي	higher education minist	GOVEDU
المنزل والشؤون الدينية minist	home and religious affairs minist	GOVREL
هيئة حقوق الانسان	human rights commission	GOVHRI
اللجنة الإعلامية	information committee	GOVMED
المكتب الإعلامي	information office	GOVMED
المفتش العام	inspector general	GOVCOP
إدارة العمل	labor department	GOVLAB
وزير العمل	labor secretary	GOVLAB
: هيئة الثروة الحيوانية	livestock authorit	GOVAGR
مسؤول طبي	medical official	GOVHLH
الدكتاتور العسكري	military dictator	GOVMIL
الحكومة العسكرية	military government	GOVMIL
المجلس العسكري	military junta	GOVMIL
النظام العسكري	military regime	GOVMIL
حكم عسكري	military rule	GOVMIL
شركة الطيران الوطنية	national airline	GOVBUS
البنك الوطني	national bank	GOVBUS
مجلس التنمية الوطنية	national development council	GOVDEV
المجلس الاقتصادي الوطني	national economic council	GOVBUS
اللجنة الوطنية للتعليم	national education committee	GOVEDU
اللجنة الوطنية للصحة	national health committee	GOVHLH
هيئة الاستثمار الوطني	national investment committee	GOVBUS
وكالة الانباء الوطنية	national news agency	GOVMED
مجلس الغذائي الوطني	national nutritional council	GOVHLH
مستشار الأمن القومي	national security adviser	GOVMIL
مستشار الأمن القومي	national security advisor	GOVMIL
رئيس مجلس الامن القومي	national security chief	GOVMIL
مجلس الأمن الوطني	national security council	GOVMIL
مكتب الأمن القومي	national security office	GOVMIL
وكالة الأنباء الرسمية	official news agency	GOVMED
مكتب براءات الاختراع	patent office	GOVBUS
بنك الشعب	people's bank	GOVBUS
البنك الشعوب	peoples bank	GOVBUS
لجنة الخصخصة	privatization commission	GOVBUS
لجنة privitization	privitization commission	GOVBUS
المدعي العام	prosecutor general	GOVJUD
رئيس الصحة العامة	public health chief	GOVHLH
لجنة الخدمات العامة	public service commission	GOVDEV
مكتب الشؤون الدينية	religious affairs bureau	GOVREL
بنك احتياطي	reserve bank	GOVBUS
محافظ البنك الاحتياطي	reserve bank governor	GOVBUS
التحالف الحاكم	ruling alliance	GOVPTY
عام الحاكم	ruling general	GOVMIL
الحاكم الحكومة العسكرية	ruling military government	GOVMIL
وزير الزراعة	secretary of agriculture	GOVAGR
وزير الدفاع	secretary of defense	GOVMIL
وزير التعليم	secretary of education	GOVEDU
وزير العمل	secretary of labor	GOVLAB
وزير العمل	secretary of labour	GOVLAB
لجنة الاوراق المالية والبورصات	securities and exchange commission	GOVBUS
المملوكة للدولة	state-owned	GOVBUS
وسائل الإعلام المملوكة للدولة	state-owned media	GOVMED
وكالة أنباء المملوكة للدولة	state-owned news agency	GOVMED
التلفزيون المملوكة للدولة	state-owned television	GOVMED
مجلس تنمية الدولة	state development council	GOVDEV
المستشفى العام الدولة	state general hospital	GOVHLH
مستشفى الدولة	state hospital	GOVHLH
وسائل اعلام حكومية	state media	GOVMED
وكالة الانباء	state news agency	GOVMED
مؤسسة مملوكة للدولة	state owned enterprise	GOVBUS
وحدة صناعية مملوكة للدولة	state owned industrial unit	GOVBUS
المملوكة للدولة مشروع التأمين	state owned insurance enterprise	GOVBUS
المدعي العام للدولة	state prosecutor general	GOVJUD
تلفزيون تديرها الدولة	state run television	GOVMED
وسائل الإعلام التي تديرها الدولة	state run media	GOVMED
الدولة المدى التلفزيون	state run tv	GOVMED
مجلس الاتصالات السلكية واللاسلكية	telecommunication board	GOVMED
وفد التجارة	trade delegation	GOVBUS
مسؤول تجاري	trade official	GOVBUS
متشدد هندوسي	hindu hardliner	HINRAD
محكمة دينية	religious court	JUDREL
المحكمة الشرعية	shariah court	JUDMUS
المحكمة الشرعية	sharia court	JUDMUS
رئيس اركان الجيش	army chief of staff	MILGOV
رئيس هيئة الاركان العامة	army general chief of staff	MILGOV
مخابرات الجيش	army intelligence	MILSPY
فرقة الطبي الجيش	army medical squad	MILHLH
رئيس أركان الجيش	chief of staff of the army	MILGOV
قائد القوات الجوية	chief of the air force	MILGOV
المخابرات خدمات الدفاع	defense services intelligence	MILSPY
الاستخبارات العسكرية	military intelligence	MILSPY
جهاز المخابرات العسكرية	military intelligence agency	MILSPY
جهاز الاستخبارات العسكرية	military intelligence apparatus	MILSPY
الشرطة السرية الاستخبارات العسكرية	military intelligence secret police	MILSPY
قاض عسكري	military judge	MILJUD
القضاء العسكري	military justice	MILJUD
الشرطة العسكرية	military police	MILCOP
محكمة عسكرية	military tribunal	MILJUD
الشرطة شبه العسكرية	paramilitary police	MILGOV
دورية الشاطئ	shore patrol	MILCOP
طائرة تجسس	spy plane	MILSPY
الوهابية المتطرفة	extremist wahhabi	MUSRAD
المسلمين الأصوليين	fundamentalist muslims	MUSRAD
مجموعة اسلامية متطرفة	islamic extremist group	MUSRAD
الجبهة الاسلامية	islamic front 	MUSREB
المقاومة الاسلامية	islamic militant	MUSUAF
الطبيب بنت	muslim doctor	MUSHLH
المتطرفة بنت	muslim extremist	MUSRAD
مستشفى بنت	muslim hospital	MUSHLH
متشدد بنت	muslim militant	MUSUAF
مسلم متطرف	muslim radical	MUSRAD
الإسلاميين المتطرفين	radical islamists	MUSRAD
السلفية المتطرفة	radical salafi	MUSRAD
السلفية الجهادية	salafi jihadist	MUSRAD
جماعة اغاثة	aid group	NGODEV
طلاب المهتاج	agitated students	OPPEDU
طالب المضادة الحكومة	anti government student	OPPEDU
مكافحة الشباب الحكومة	anti government youth	OPPEDU
طالب المنشق	dissident student	OPPEDU
المعارضة الجماهيرية	mass opposition	OPPCVL
يوميا المعارضة	opposition daily	OPPMED
محرر المعارضة	opposition editor	OPPMED
قوى المعارضة	opposition forces	OPPUAF
الصحفي المعارض	opposition journalist	OPPMED
صحيفة معارضة	opposition newspaper	OPPMED
الناشر المعارضة	opposition publisher	OPPMED
مراسل المعارضة	opposition reporter	OPPMED
طالب زعيم المعارضة	opposition student leader	OPPEDU
مجموعة مؤيدة للديمقراطية	pro-democracy group	OPPDEV
احتجاجا طالب	protesting student	OPPEDU
عامل يحتجون	protesting worker	OPPLAB
مجموعة الديمقراطية الموالية	pro democracy group	OPPDEV
ناشط إضراب	strike activist	OPPLAB
ممرضة لفتا	striking nurse	OPPHLH
متظاهر طالب	student demonstrator	OPPEDU
المنشق طالب	student dissident	OPPEDU
المعارضة طالب	student opposition	OPPEDU
متظاهر طالب	student protester	OPPEDU
متظاهر الشباب	youth protester	OPPEDU
التمرد البوذية	buddhist rebel	REBBUD
جماعة متمردة البوذية	buddhist rebel group	REBBUD
زعيم المتمردين البوذية	buddhist rebel leader	REBBUD
التمرد المسيحي	christian rebel	REBCHR
جماعة متمردة المسيحية	christian rebel group	REBCHR
زعيم المتمردين المسيحي	christian rebel leader	REBCHR
التمرد الهندوسي	hindu rebel	REBHIN
جماعة متمردة الهندوس	hindu rebel group	REBHIN
زعيم المتمردين الهندوسي	hindu rebel leader	REBHIN
التمرد الإسلامي	islamic rebel	REBMUS
جماعة متمردة اسلامية	islamic rebel group	REBMUS
زعيم المتمردين الاسلامي	islamic rebel leader	REBMUS
متطرف مسلم	moslem extremist	REBMUS
التمرد بنت	muslim rebel	REBMUS
جماعة اسلامية متمردة	muslim rebel group	REBMUS
زعيم المتمردين بنت	muslim rebel leader	REBMUS
التمرد الانفصالي بنت	muslim separatist rebel	REBMUS
طالب المتمردين	rebel student	REBEDU
ميليشيا شيعة	shia militia	REBMUS
الميليشيات الشيعية	shi'a militia	REBMUS
الميليشيات الشيعية	shiite militia	REBMUS
ميليشيا شيعية	shi'ite militia	REBMUS
للمسلحين السنة	sunni insurgent	REBMUS
الراهب المتشدد	militant monk	RELUAF
كاهن المتشددين	militant priest	RELUAF
الجهادية	jihadist	UAFMUS
الجهاديين	jihadists	UAFMUS
متشدد مسلم	moslem militant	UAFMUS
متشدد بنت	muslim militant	UAFMUS
المتطرف القاتل	murderous extremist	UAFRAD
وزير الصناعات	industries minister	GOVBUS
وزراء الصناعات	industries ministers	GOVBUS
وزارة الصناعات	industries ministry	GOVBUS
الوزارات الصناعات	industries ministries	GOVBUS
وزير الصناعة	industry minister	GOVBUS
وزراء الصناعة	industry ministers	GOVBUS
وزارة الصناعة	industry ministry	GOVBUS
وزارات الصناعة	industry ministries	GOVBUS
وزير الإعلام والثقافة	information and culture minister	GOVMED
وزراء الاعلام والثقافة	information and culture ministers	GOVMED
الإعلام والثقافة وزارة	information and culture ministry	GOVMED
وزارات الإعلام والثقافة	information and culture ministries	GOVMED
وزير الإعلام	information minister	GOVMED
وزراء الإعلام	information ministers	GOVMED
وزارة الإعلام	information ministry	GOVMED
الوزارات المعلومات	information ministries	GOVMED
وزير الري	irrigation minister	GOVAGR
وزراء الري	irrigation ministers	GOVAGR
وزارة الري	irrigation ministry	GOVAGR
وزارات الري	irrigation ministries	GOVAGR
وزير العمل والتوظيف	labor and employment minister	GOVLAB
وزراء العمل والتوظيف	labor and employment ministers	GOVLAB
العمل والتوظيف الوزارة	labor and employment ministry	GOVLAB
وزارات العمل والتوظيف	labor and employment ministries	GOVLAB
وزير العمل	labor minister	GOVLAB
وزراء العمل	labor ministers	GOVLAB
وزارة العمل	labor ministry	GOVLAB
وزارات العمل	labor ministries	GOVLAB
وزير العمل	labour minister	GOVLAB
وزراء العمل	labour ministers	GOVLAB
وزارة العمل	labour ministry	GOVLAB
وزارات العمل	labour ministries	GOVLAB
تربية الماشية وزير الثروة السمكية	livestock breeding and fishery minister	GOVAGR
تربية الماشية وزراء الثروة السمكية	livestock breeding and fishery ministers	GOVAGR
تربية الماشية وزارة الثروة السمكية	livestock breeding and fishery ministry	GOVAGR
تربية الماشية وصيد الأسماك الوزارات	livestock breeding and fishery ministries	GOVAGR
التنمية والتعاونيات وزير الحكومة المحلية في المناطق الريفية	local government rural development and cooperatives minister	GOVDEV
وزراء التنمية والتعاونيات الريفية في الحكومة المحلية	local government rural development and cooperatives ministers	GOVDEV
التنمية الريفية الحكومة المحلية ووزارة التعاونيات	local government rural development and cooperatives ministry	GOVDEV
وزارات التنمية والتعاونيات الريفية الحكومة المحلية	local government rural development and cooperatives ministries	GOVDEV
وزير القوى العاملة	manpower minister	GOVLAB
وزراء القوى العاملة	manpower ministers	GOVLAB
وزارة القوى العاملة	manpower ministry	GOVLAB
وزارات القوى العاملة	manpower ministries	GOVLAB
وزير الثروة السمكية لقطاع الزراعة والغذاء	minister for agriculture fisheries and food	GOVAGR
وزراء لمصايد الأسماك والزراعة والغذاء	ministers for agriculture fisheries and food	GOVAGR
وزارة الثروة السمكية للزراعة والغذاء	ministry for agriculture fisheries and food	GOVAGR
الوزارات لمصايد الأسماك والزراعة والغذاء	ministries for agriculture fisheries and food	GOVAGR
وزير الزراعة	minister for agriculture	GOVAGR
وزراء للزراعة	ministers for agriculture	GOVAGR
وزارة الزراعة	ministry for agriculture	GOVAGR
وزارات الزراعة	ministries for agriculture	GOVAGR
وزير الثروة الحيوانية والمائية	minister for animal husbandry and aquatics	GOVAGR
وزراء الثروة الحيوانية والمائية	ministers for animal husbandry and aquatics	GOVAGR
وزارة الثروة الحيوانية والمائية	ministry for animal husbandry and aquatics	GOVAGR
الوزارات لتربية المواشي والمائية	ministries for animal husbandry and aquatics	GOVAGR
وزير الموارد الحيوانية	minister for animal resources	GOVAGR
وزراء الثروة الحيوانية	ministers for animal resources	GOVAGR
وزارة الموارد الحيوانية	ministry for animal resources	GOVAGR
وزارات للموارد الحيوانية	ministries for animal resources	GOVAGR
وزير لالمدنية	minister for civil	GOVMIL
وزراء المدنية	ministers for civil	GOVMIL
الوزارة لالمدنية	ministry for civil	GOVMIL
الوزارات لالمدنية	ministries for civil	GOVMIL
وزير الاتصالات	minister for communications	GOVMED
وزراء للاتصالات	ministers for communications	GOVMED
وزارة الاتصالات	ministry for communications	GOVMED
الوزارات للاتصالات	ministries for communications	GOVMED
وزير للاتصال	minister for communication	GOVMED
وزراء للاتصال	ministers for communication	GOVMED
وزارة الاتصالات ل	ministry for communication	GOVMED
الوزارات للاتصال	ministries for communication	GOVMED
وزير للاتصال والثقافة	minister for communication and culture	GOVMED
وزراء للاتصال والثقافة	ministers for communication and culture	GOVMED
وزارة للاتصال والثقافة	ministry for communication and culture	GOVMED
الوزارات للاتصال والثقافة	ministries for communication and culture	GOVMED
وزير البناء	minister for construction	GOVDEV
وزراء البناء	ministers for construction	GOVDEV
وزارة البناء	ministry for construction	GOVDEV
الوزارات لبناء	ministries for construction	GOVDEV
وزير للدفاع	minister for defence	GOVMIL
وزراء للدفاع	ministers for defence	GOVMIL
وزارة الدفاع	ministry for defence	GOVMIL
وزارات للدفاع	ministries for defence	GOVMIL
وزير للدفاع	minister for defense	GOVMIL
وزراء للدفاع	ministers for defense	GOVMIL
وزارة الدفاع	ministry for defense	GOVMIL
وزارات للدفاع	ministries for defense	GOVMIL
وزير التعليم	minister for education	GOVEDU
وزراء للتعليم	ministers for education	GOVEDU
وزارة للتعليم	ministry for education	GOVEDU
الوزارات للتعليم	ministries for education	GOVEDU
وزير التعليم والعلوم	minister for education and science	GOVEDU
وزراء للتعليم والعلوم	ministers for education and science	GOVEDU
وزارة التعليم والعلوم	ministry for education and science	GOVEDU
الوزارات للتعليم والعلوم	ministries for education and science	GOVEDU
وزير للعمل والتدريب المهني	minister for employment and vocational training	GOVLAB
وزراء العمل والتدريب المهني	ministers for employment and vocational training	GOVLAB
وزارة للعمل والتدريب المهني	ministry for employment and vocational training	GOVLAB
الوزارات للعمل والتدريب المهني	ministries for employment and vocational training	GOVLAB
وزير للبيئة	minister for environment	GOVENV
وزراء البيئة	ministers for environment	GOVENV
وزارة للبيئة	ministry for environment	GOVENV
وزارات للبيئة	ministries for environment	GOVENV
وزير للمعدات	minister for equipment	GOVDEV
وزراء للمعدات	ministers for equipment	GOVDEV
وزارة للمعدات	ministry for equipment	GOVDEV
الوزارات للمعدات	ministries for equipment	GOVDEV
وزير لمصايد الأسماك	minister for fisheries	GOVAGR
وزراء لمصايد الأسماك	ministers for fisheries	GOVAGR
الوزارة لمصايد الأسماك	ministry for fisheries	GOVAGR
الوزارات لمصايد الأسماك	ministries for fisheries	GOVAGR
وزير للصحة	minister for health	GOVHLH
وزراء الصحة ل	ministers for health	GOVHLH
وزارة للصحة	ministry for health	GOVHLH
وزارات للصحة	ministries for health	GOVHLH
وزير التعليم العالي	minister for higher education	GOVEDU
وزراء للتعليم العالي	ministers for higher education	GOVEDU
وزارة التعليم العالي	ministry for higher education	GOVEDU
وزارات التعليم العالي	ministries for higher education	GOVEDU
وزير للشؤون الداخلية والدينية	minister for home and religious affairs	GOVREL
وزراء للشؤون الداخلية والدينية	ministers for home and religious affairs	GOVREL
وزارة للشؤون الداخلية والدينية	ministry for home and religious affairs	GOVREL
الوزارات للشؤون الداخلية والدينية	ministries for home and religious affairs	GOVREL
وزير عن النفط والغاز	minister for hydrocarbons	GOVENV
وزراء عن النفط والغاز	ministers for hydrocarbons	GOVENV
الوزارة عن النفط والغاز	ministry for hydrocarbons	GOVENV
الوزارات عن النفط والغاز	ministries for hydrocarbons	GOVENV
وزير للصناعة	minister for industry	GOVBUS
وزراء للصناعة	ministers for industry	GOVBUS
وزارة للصناعة	ministry for industry	GOVBUS
الوزارات لصناعة	ministries for industry	GOVBUS
وزير الإعلام	minister for information	GOVMED
وزراء للحصول على معلومات	ministers for information	GOVMED
الوزارة للحصول على معلومات	ministry for information	GOVMED
الوزارات للحصول على معلومات	ministries for information	GOVMED
وزير البنى التحتية	minister for infrastructure	GOVDEV
وزراء للبنية التحتية	ministers for infrastructure	GOVDEV
وزارة للبنية التحتية	ministry for infrastructure	GOVDEV
وزارات للبنية التحتية	ministries for infrastructure	GOVDEV
وزير التنمية الدولية	minister for international development	GOVDEV
وزراء للتنمية الدولية	ministers for international development	GOVDEV
وزارة التنمية الدولية	ministry for international development	GOVDEV
الوزارات للتنمية الدولية	ministries for international development	GOVDEV
وزير الري	minister for irrigation	GOVAGR
وزراء الري	ministers for irrigation	GOVAGR
وزارة الري	ministry for irrigation	GOVAGR
الوزارات للري	ministries for irrigation	GOVAGR
وزير العمل	minister for labor	GOVLAB
وزراء العمل	ministers for labor	GOVLAB
وزارة العمل ل	ministry for labor	GOVLAB
الوزارات للعمل	ministries for labor	GOVLAB
وزير العمل	minister for labour	GOVLAB
وزراء العمل	ministers for labour	GOVLAB
وزارة العمل ل	ministry for labour	GOVLAB
الوزارات للعمل	ministries for labour	GOVLAB
وزير للثروة الحيوانية	minister for livestock	GOVAGR
وزراء للثروة الحيوانية	ministers for livestock	GOVAGR
وزارة للثروة الحيوانية	ministry for livestock	GOVAGR
الوزارات للثروة الحيوانية	ministries for livestock	GOVAGR
وزير الحكم المحلي	minister for local government	GOVDEV
وزراء للحكومة المحلية	ministers for local government	GOVDEV
وزارة الحكم المحلي	ministry for local government	GOVDEV
وزارات الحكم المحلي	ministries for local government	GOVDEV
وزير الموارد المعدنية	minister for mineral resources	GOVENV
وزراء عن الموارد المعدنية	ministers for mineral resources	GOVENV
الوزارة للثروة المعدنية	ministry for mineral resources	GOVENV
الوزارات عن الموارد المعدنية	ministries for mineral resources	GOVENV
وزير الدفاع الوطني	minister for national defence	GOVMIL
وزراء للدفاع وطني	ministers for national defence	GOVMIL
وزارة الدفاع الوطني	ministry for national defence	GOVMIL
وزارات للدفاع الوطني	ministries for national defence	GOVMIL
وزير التنمية الوطنية	minister for national development	GOVDEV
وزراء التنمية الوطنية	ministers for national development	GOVDEV
وزارة التنمية الوطنية	ministry for national development	GOVDEV
وزارات التنمية الوطنية	ministries for national development	GOVDEV
وزير التربية الوطنية	minister for national education	GOVEDU
وزراء للتعليم وطني	ministers for national education	GOVEDU
وزارة التربية الوطنية	ministry for national education	GOVEDU
وزارات التربية الوطنية	ministries for national education	GOVEDU
وزير التخطيط الوطني والتنمية الاقتصادية	minister for national planning and economic development	GOVDEV
وزراء التخطيط الوطني والتنمية الاقتصادية	ministers for national planning and economic development	GOVDEV
وزارة للتخطيط الوطني والتنمية الاقتصادية	ministry for national planning and economic development	GOVDEV
الوزارات من أجل التخطيط الوطني والتنمية الاقتصادية	ministries for national planning and economic development	GOVDEV
وزير الموارد الطبيعية	minister for natural resources	GOVENV
وزراء للموارد الطبيعية	ministers for natural resources	GOVENV
وزارة الموارد الطبيعية	ministry for natural resources	GOVENV
الوزارات على الموارد الطبيعية	ministries for natural resources	GOVENV
وزير الموارد الطبيعية والبيئة	minister for natural resources and environment	GOVENV
وزراء على الموارد الطبيعية والبيئة	ministers for natural resources and environment	GOVENV
وزارة الموارد الطبيعية والبيئة	ministry for natural resources and environment	GOVENV
الوزارات على الموارد الطبيعية والبيئة	ministries for natural resources and environment	GOVENV
وزير التخطيط	minister for planning	GOVDEV
وزراء للتخطيط	ministers for planning	GOVDEV
وزارة للتخطيط	ministry for planning	GOVDEV
الوزارات للتخطيط	ministries for planning	GOVDEV
وزير للتخطيط والتنمية	minister for planning and development	GOVDEV
وزراء التخطيط والتنمية	ministers for planning and development	GOVDEV
الوزارة للتخطيط والتطوير	ministry for planning and development	GOVDEV
الوزارات للتخطيط والتنمية	ministries for planning and development	GOVDEV
وزير لآخر والاتصالات السلكية واللاسلكية	minister for post and telecommunication	GOVMED
وزراء البريد والاتصالات السلكية واللاسلكية	ministers for post and telecommunication	GOVMED
الوزارة لمنصب والاتصالات السلكية واللاسلكية	ministry for post and telecommunication	GOVMED
الوزارات لمنصب والاتصالات السلكية واللاسلكية	ministries for post and telecommunication	GOVMED
وزير الإنتاج	minister for production	GOVBUS
وزراء للإنتاج	ministers for production	GOVBUS
وزارة للإنتاج	ministry for production	GOVBUS
الوزارات للإنتاج	ministries for production	GOVBUS
وزير للصحة العامة	minister for public health	GOVHLH
وزراء للصحة العامة	ministers for public health	GOVHLH
وزارة للصحة العامة	ministry for public health	GOVHLH
وزارات للصحة العامة	ministries for public health	GOVHLH
وزير الصحة العامة والرعاية الاجتماعية	minister for public health and social welfare	GOVHLH
وزراء للصحة العامة والرعاية الاجتماعية	ministers for public health and social welfare	GOVHLH
وزارة للصحة العامة والرعاية الاجتماعية	ministry for public health and social welfare	GOVHLH
وزارات للصحة العامة والرعاية الاجتماعية	ministries for public health and social welfare	GOVHLH
وزير للخدمة العامة	minister for public service	GOVDEV
وزراء للخدمة العامة	ministers for public service	GOVDEV
وزارة للخدمة العامة	ministry for public service	GOVDEV
الوزارات للخدمة العامة	ministries for public service	GOVDEV
وزير للخدمة العامة والإصلاح administerrative	minister for public service and administerrative reform	GOVDEV
وزراء الخدمة العامة والإصلاح administersrative	ministers for public service and administersrative reform	GOVDEV
وزارة للخدمة العامة والإصلاح administryrative	ministry for public service and administryrative reform	GOVDEV
الوزارات للخدمة العامة والإصلاح administriesrative	ministries for public service and administriesrative reform	GOVDEV
وزير للنقل بالسكك الحديدية	minister for rail transport	GOVMED
وزراء للنقل بالسكك الحديدية	ministers for rail transport	GOVMED
وزارة للنقل بالسكك الحديدية	ministry for rail transport	GOVMED
الوزارات للنقل بالسكك الحديدية	ministries for rail transport	GOVMED
وزير الشؤون الدينية	minister for religious affairs	GOVREL
وزراء الشؤون الدينية	ministers for religious affairs	GOVREL
وزارة الشؤون الدينية	ministry for religious affairs	GOVREL
وزارات الشؤون الدينية	ministries for religious affairs	GOVREL
وزير التنمية الريفية	minister for rural development	GOVDEV
وزراء للتنمية الريفية	ministers for rural development	GOVDEV
وزارة للتنمية الريفية	ministry for rural development	GOVDEV
الوزارات للتنمية الريفية	ministries for rural development	GOVDEV
وزير الشؤون الاجتماعية والعمل	minister for social affairs and labor	GOVLAB
وزراء الشؤون الاجتماعية والعمل	ministers for social affairs and labor	GOVLAB
وزارة الشؤون الاجتماعية والعمل	ministry for social affairs and labor	GOVLAB
وزارات الشؤون الاجتماعية والعمل	ministries for social affairs and labor	GOVLAB
وزير للرعاية الاجتماعية	minister for social welfare	GOVHLH
