year,iso," country_name","disaster type",occurrence,"Total deaths",Injured,Affected,Homeless,"Total affected","Total damage  ('000 US$)"
1963,CHL,Chile,Earthquake,1,280,460,,,460,235000
1963,DOM,"Dominican Republic (the)",Storm,1,400,,,,,60000
1963,IND,India,Flood,1,200,,,,,
1963,IND,India,Storm,2,312,,5000000,,5000000,
1963,IDN,Indonesia,"Volcanic activity",2,1690,,78000,,78000,
1963,ITA,Italy,Landslide,1,1917,,,,,
1963,JPN,Japan,Storm,3,133,,,,,
1963,KOR,"Korea (the Republic of)",Landslide,1,116,,,,,
1963,MAR,Morocco,Flood,2,169,10,35000,,35010,
1963,PHL,"Philippines (the)",Storm,1,1,,,2000,2000,
1963,USA,"United States of America (the)","Extreme temperature ",1,150,,,,,
1963,USA,"United States of America (the)",Storm,2,229,,,,,
1964,BGD,Bangladesh,Flood,1,,,1000000,,1000000,5000
1964,BGD,Bangladesh,Storm,1,300,,800,,800,250
1964,BRA,Brazil,Flood,3,100,,120000,,120000,500
1964,CHL,Chile,"Volcanic activity",1,4,,2000,,2000,
1964,CHN,China,Storm,1,686,,,,,
1964,DOM,"Dominican Republic (the)",Storm,1,7,,,,,1000
1964,FJI,Fiji,Flood,1,1,,8000,10000,18000,1100
1964,IND,India,Drought,2,,,666000,,666000,
1964,IND,India,Flood,4,232,,770610,,770610,500
1964,IND,India,Storm,1,500,,,,,
1964,JPN,Japan,Earthquake,1,25,376,35000,,35376,800000
1964,JPN,Japan,Flood,1,136,,,,,
1964,JPN,Japan,Landslide,1,108,,,,,
1964,JPN,Japan,Storm,1,42,,,,,
1964,KOR,"Korea (the Republic of)",Storm,1,210,300,43530,43000,86830,1000
1964,MEX,Mexico,Earthquake,1,45,,4000,,4000,3000
1964,MAR,Morocco,Flood,1,76,,,,,
1964,PAK,Pakistan,Flood,1,,,74427,,74427,500
1964,PAK,Pakistan,Storm,1,450,,400000,,400000,4100
1964,PHL,"Philippines (the)",Storm,2,636,1421,1224125,,1225546,43000
1964,SAU,"Saudi Arabia",Flood,1,20,,1000,,1000,
1964,ZAF,"South Africa",Drought,1,,,5000,,5000,
1964,TWN,"Taiwan (Province of China)",Earthquake,1,107,2485,37000,23000,62485,
1964,USA,"United States of America (the)",Earthquake,1,131,,,,,1020000
1964,USA,"United States of America (the)",Flood,2,109,,,,,820000
1964,USA,"United States of America (the)",Storm,3,183,,,,,250000
1964,VNM,"Viet Nam",Epidemic,1,598,,10848,,10848,
1964,VNM,"Viet Nam",Flood,1,400,,,,,
1964,VNM,"Viet Nam",Storm,1,7000,,700000,,700000,50000
1965,ARG,Argentina,Landslide,1,45,,,,,
1965,BGD,Bangladesh,Storm,3,48921,600000,10060000,5000000,15660000,57700
1965,BRA,Brazil,Flood,2,22,,230000,40000,270000,17000
1965,CAN,Canada,Landslide,1,26,22,,,22,
1965,CHL,Chile,Earthquake,1,400,350,20000,,20350,125000
1965,CHL,Chile,Flood,1,600,,350000,25000,375000,10000
1965,CHL,Chile,Landslide,1,26,,,,,
1965,CHL,Chile,Storm,1,58,,,,,
1965,CHN,China,Drought,1,,,,,,27118
1965,COL,Colombia,Landslide,1,32,,,,,
1965,DOM,"Dominican Republic (the)",Wildfire,1,,,,,,1000
1965,FJI,Fiji,Storm,1,2,,10000,,10000,
1965,GRC,Greece,Earthquake,1,38,253,30000,,30253,8000
1965,IND,India,Drought,1,1500000,,100000000,,100000000,100000
1965,IND,India,"Extreme temperature ",1,100,,,,,
1965,IDN,Indonesia,Earthquake,2,111,,,,,
1965,ITA,Italy,Flood,1,55,,,,,
1965,ITA,Italy,Storm,1,37,,,,,
1965,JPN,Japan,Flood,2,142,,3000000,,3000000,90000
1965,JPN,Japan,Storm,3,147,770,30000,,30770,
1965,KOR,"Korea (the Republic of)",Flood,1,323,245,321000,23214,344459,36500
1965,MYS,Malaysia,Flood,1,6,,300000,,300000,1000
1965,MEX,Mexico,Flood,1,27,,,,,8000
1965,MAR,Morocco,Flood,2,75,,47813,,47813,5000
1965,PAK,Pakistan,Storm,1,10000,,,,,
1965,PER,Peru,Flood,1,60,,,,,
1965,PHL,"Philippines (the)",Storm,1,37,,,,,
1965,PHL,"Philippines (the)","Volcanic activity",1,355,785,50000,8000,58785,10000
1965,TWN,"Taiwan (Province of China)",Storm,2,55,166,,,166,
1965,USA,"United States of America (the)",Earthquake,1,7,,,,,28000
1965,USA,"United States of America (the)",Storm,2,570,1000,,,1000,1610000
1966,ARG,Argentina,Flood,1,62,,120000,,120000,30000
1966,BGD,Bangladesh,Flood,1,39,,500000,,500000,1000
1966,BGD,Bangladesh,Storm,1,850,,1500000,300000,1800000,22400
1966,BEL,Belgium,Storm,1,,,,,,
1966,BRA,Brazil,Flood,3,560,1757,177381,29000,208138,60914
1966,BRA,Brazil,Landslide,1,350,,4000000,,4000000,27
1966,BRA,Brazil,Storm,1,36,,,,,
1966,CAN,Canada,Storm,1,,,,,,
1966,CHL,Chile,Earthquake,1,4,6,3000,,3006,400
1966,CHN,China,Earthquake,1,,,,,,
1966,DOM,"Dominican Republic (the)",Storm,1,74,442,7000,5500,12942,5000
1966,GRC,Greece,Earthquake,2,2,173,26000,,26173,18000
1966,IND,India,Flood,1,47,,900000,,900000,1400
1966,IND,India,Storm,1,18,,150000,,150000,4200
1966,IDN,Indonesia,Drought,1,8000,,204000,,204000,
1966,IDN,Indonesia,Flood,1,176,100,524000,,524100,33000
1966,IDN,Indonesia,"Volcanic activity",2,1088,2060,45000,,47060,
1966,ITA,Italy,Flood,1,70,,,1300000,1300000,2000000
1966,JPN,Japan,Storm,2,358,121,13764,,13885,7900
1966,KOR,"Korea (the Republic of)",Flood,1,95,85,131904,65630,197619,1900
1966,MEX,Mexico,Storm,1,14,69,80000,10000,90069,24000
1966,MAR,Morocco,Drought,1,,,,,,
1966,MAR,Morocco,Epidemic,1,200,,2942,,2942,
1966,PER,Peru,Drought,1,,,156000,,156000,
1966,PER,Peru,Earthquake,1,120,1500,57600,49256,108356,15000
1966,PHL,"Philippines (the)",Storm,1,18,,196000,90000,286000,1000
1966,PRT,Portugal,Wildfire,1,25,,,,,
1966,SUN,"Soviet Union",Earthquake,1,10,,100000,,100000,300000
1966,TWN,"Taiwan (Province of China)",Storm,1,36,21,5000,,5021,17322
1966,THA,Thailand,Flood,1,6,200,200000,5000,205200,1000
1966,USA,"United States of America (the)","Extreme temperature ",2,262,,,,,
1966,USA,"United States of America (the)",Storm,4,290,,,,,100000
1966,VNM,"Viet Nam",Flood,1,31,,125541,70361,195902,10000
1967,ARG,Argentina,Flood,1,56,,142000,70000,212000,3000
1967,AUS,Australia,Drought,1,600,,,,,600000
1967,AUS,Australia,Wildfire,1,62,100,3000,,3100,68500
1967,BGD,Bangladesh,Storm,2,91,200,,,200,
1967,BEL,Belgium,Storm,1,,100,,,100,
1967,BRA,Brazil,Flood,4,820,1307,172836,15400,189543,15300
1967,BRA,Brazil,Landslide,1,436,,,,,
1967,COL,Colombia,Earthquake,1,61,200,40000,,40200,600
1967,FRA,France,Storm,1,5,,,,,20000
1967,GRC,Greece,Earthquake,1,9,56,16527,,16583,5000
1967,IND,India,Earthquake,1,177,2272,50000,,52272,400
1967,IND,India,Epidemic,1,3029,,13576,,13576,
1967,IND,India,Flood,1,300,,1000000,,1000000,
1967,IND,India,Storm,1,1000,,,,,
1967,IDN,Indonesia,Earthquake,2,125,221,,8290,8511,
1967,IDN,Indonesia,Flood,4,160,,164000,40000,204000,
1967,JPN,Japan,Flood,2,489,34,117,,151,20000
1967,JPN,Japan,Storm,2,290,429,2655,,3084,
1967,KOR,"Korea (the Republic of)",Drought,1,,,2800000,,2800000,
1967,MYS,Malaysia,Flood,1,50,,125000,15000,140000,25600
1967,MEX,Mexico,Flood,1,,,8345,,8345,500
1967,MEX,Mexico,Storm,2,111,,271000,,271000,184000
1967,MOZ,Mozambique,Flood,1,,,50000,,50000,180000
1967,PAK,Pakistan,Flood,1,32,,150000,,150000,2800
1967,PER,Peru,Flood,1,25,300,40000,10000,50300,15000
1967,PHL,"Philippines (the)",Earthquake,1,200,,,,,
1967,PHL,"Philippines (the)",Storm,1,107,,137000,,137000,26500
1967,PRT,Portugal,Flood,1,462,100,1000,,1100,3000
1967,TWN,"Taiwan (Province of China)",Storm,1,69,67,100,,167,
1967,USA,"United States of America (the)",Storm,5,275,,,,,200000
1968,AUS,Australia,Earthquake,1,,16,3874,400,4290,2600
1968,AUS,Australia,Wildfire,1,12,,1000,800,1800,1000
1968,BGD,Bangladesh,Flood,1,221,100000,14910892,878724,15889616,199400
1968,BGD,Bangladesh,Storm,1,118,1045,15093,,16138,1500
1968,BRA,Brazil,"Extreme temperature ",1,113,,,,,
1968,CHL,Chile,Drought,1,,,120000,,120000,55000
1968,CHL,Chile,Storm,1,,,,,,
1968,COL,Colombia,Storm,1,,,1020,63,1083,50
1968,DOM,"Dominican Republic (the)",Drought,1,,,240000,,240000,5000
1968,GHA,Ghana,Flood,1,,,25000,,25000,74700
1968,GRC,Greece,Earthquake,1,19,18,4000,3600,7618,600
1968,IND,India,Flood,4,6452,,8500000,,8500000,94200
1968,IND,India,Landslide,1,1000,,,,,
1968,IND,India,Storm,1,7,,15000,,15000,
1968,IDN,Indonesia,Earthquake,1,200,,,,,
1968,IDN,Indonesia,Epidemic,1,40,,94,,94,
1968,IDN,Indonesia,Flood,1,12,,150000,,150000,7831
1968,ITA,Italy,Earthquake,1,224,563,55000,,55563,250000
1968,ITA,Italy,Flood,1,72,,,3000,3000,
1968,JPN,Japan,Earthquake,1,47,281,2500,,2781,131000
1968,JPN,Japan,Storm,3,124,,,,,
1968,KOR,"Korea (the Republic of)",Storm,1,18,,,,,3000
1968,MYS,Malaysia,Epidemic,1,2,,5,,5,
1968,MYS,Malaysia,Storm,1,21,,10000,,10000,
1968,MEX,Mexico,Earthquake,1,15,500,,,500,
1968,MEX,Mexico,"Extreme temperature ",1,40,,,,,
1968,NZL,"New Zealand",Earthquake,1,3,14,300,,314,2669
1968,NZL,"New Zealand",Storm,1,50,,1000,,1000,
1968,PAK,Pakistan,Epidemic,1,37,,1075,,1075,
1968,PER,Peru,Earthquake,1,11,120,300,,420,100
1968,PHL,"Philippines (the)",Earthquake,1,271,261,,,261,5000
1968,PHL,"Philippines (the)",Flood,1,29,,,,,
1968,PHL,"Philippines (the)",Storm,2,50,,187330,39313,226643,9600
1968,PHL,"Philippines (the)","Volcanic activity",1,3,,45000,6000,51000,5000
1968,ZAF,"South Africa",Flood,1,,,,,,30000
1968,USA,"United States of America (the)",Storm,3,159,,458,,458,8000
1969,AFG,Afghanistan,Drought,1,,,48000,,48000,200
1969,BGD,Bangladesh,Storm,1,849,15530,160000,23943,199473,8329
1969,BRA,Brazil,Flood,1,316,3221,17700,17384,38305,5770
1969,CHN,China,Earthquake,1,3000,,,,,
1969,CHN,China,Flood,1,,,,,,
1969,COL,Colombia,Flood,1,,,70000,,70000,500
1969,FRA,France,Storm,1,23,,,,,
1969,IND,India,Storm,4,815,,280092,,280092,8330
1969,IDN,Indonesia,Earthquake,1,64,97,,,97,
1969,IDN,Indonesia,"Volcanic activity",1,,,250000,,250000,200
1969,JPN,Japan,Storm,1,72,,,,,
1969,KOR,"Korea (the Republic of)",Epidemic,1,137,,1538,,1538,
1969,KOR,"Korea (the Republic of)",Flood,1,408,409,227264,,227673,22400
1969,KOR,"Korea (the Republic of)",Storm,1,85,15,120000,,120015,
1969,MEX,Mexico,Landslide,1,18,,,,,
1969,MEX,Mexico,Storm,1,58,,,,,
1969,NGA,Nigeria,Epidemic,1,2000,,80000,,80000,
1969,PER,Peru,Drought,1,,,128604,,128604,10000
1969,PER,Peru,Earthquake,1,150,216,3000,,3216,5000
1969,PHL,"Philippines (the)",Storm,1,11,,,,,
1969,PHL,"Philippines (the)","Volcanic activity",1,,,1700,,1700,
1969,ZAF,"South Africa",Earthquake,1,9,,1000,,1000,
1969,TWN,"Taiwan (Province of China)",Storm,2,269,408,40000,,40408,88000
1969,USA,"United States of America (the)",Flood,1,115,,,,,400000
1969,USA,"United States of America (the)",Storm,6,715,,,,,1420000
1970,ARG,Argentina,Flood,1,36,,,,,25000
1970,AUS,Australia,Storm,1,13,,,,,72475
1970,BGD,Bangladesh,Flood,1,,,10000000,,10000000,25000
1970,BGD,Bangladesh,Storm,3,300317,,3648110,,3648110,86400
1970,BRA,Brazil,Drought,1,,,10000000,,10000000,100
1970,BRA,Brazil,Flood,1,172,,104371,,104371,46000
1970,CAN,Canada,Storm,1,10,,,,,
1970,CHN,China,Earthquake,1,10000,,,,,
1970,CHN,China,Storm,1,107,55,6065,7880,14000,
1970,COL,Colombia,Earthquake,2,430,6,3000,,3006,400
1970,COL,Colombia,Flood,3,407,,5004000,105000,5109000,138850
1970,FRA,France,Landslide,2,114,37,,,37,
1970,IND,India,Earthquake,1,26,,,,,
1970,IND,India,Flood,2,1027,1000,10000000,350000,10351000,101200
1970,IND,India,Storm,1,,,,2000,2000,
1970,IDN,Indonesia,Flood,1,82,,,,,
1970,ITA,Italy,Flood,1,37,,1300000,1650,1301650,268300
1970,ITA,Italy,Storm,1,35,,200,,200,3200
1970,KOR,"Korea (the Republic of)",Flood,1,28,,7000,,7000,
1970,KOR,"Korea (the Republic of)",Storm,1,39,,2500,,2500,5100
1970,MYS,Malaysia,Flood,1,61,,243000,,243000,37000
1970,MEX,Mexico,Flood,1,35,,,,,
1970,MAR,Morocco,Flood,1,11,3,266441,,266444,30000
1970,PER,Peru,Earthquake,2,66823,143583,3087909,,3231492,532000
1970,PER,Peru,Flood,1,3,50,131000,5000,136050,5200
1970,PHL,"Philippines (the)",Earthquake,1,14,200,,,200,
1970,PHL,"Philippines (the)",Storm,8,3802,4977,1740370,67200,1812547,258399
1970,USA,"United States of America (the)",Storm,2,37,,,,,597000
1970,USA,"United States of America (the)",Wildfire,1,,,,,,100000
1970,VNM,"Viet Nam",Flood,1,237,,204000,,204000,
1971,AFG,Afghanistan,Drought,1,,,,,,
1971,AFG,Afghanistan,Landslide,1,100,,,,,
1971,AUS,Australia,Flood,1,27,,,,,20000
1971,AUS,Australia,Storm,1,3,,,,,119219
1971,BGD,Bangladesh,Storm,1,163,,,,,
1971,BEL,Belgium,Flood,1,,,600,,600,
1971,BRA,Brazil,Flood,2,239,2000,11000,,13000,5200
1971,CAN,Canada,"Mass movement (dry)",1,31,,,1500,1500,
1971,CAN,Canada,Storm,1,,,,,,
1971,CHL,Chile,Earthquake,1,85,451,2348522,,2348973,236400
1971,CHL,Chile,Storm,1,,,90000,,90000,2500
1971,COL,Colombia,Flood,2,51,,,,,
1971,COL,Colombia,Landslide,1,200,,,,,
1971,GHA,Ghana,Drought,1,,,12000,,12000,100
1971,IND,India,Flood,3,1323,,165000,,165000,530000
1971,IND,India,Storm,2,9718,,4900000,2000000,6900000,30000
1971,ITA,Italy,Earthquake,1,22,100,4120,,4220,41600
1971,JPN,Japan,Storm,1,135,,,,,
1971,KOR,"Korea (the Republic of)",Storm,2,109,,50,,50,
1971,MEX,Mexico,Storm,1,17,,,,,
1971,MAR,Morocco,Drought,1,,,137000,,137000,100
1971,MOZ,Mozambique,Flood,1,500,,500000,,500000,
1971,PER,Peru,Flood,1,250,,330000,,330000,600
1971,PER,Peru,Landslide,1,600,,,,,
1971,PHL,"Philippines (the)",Storm,4,246,11,,46500,46511,1290
1971,ESP,Spain,"Extreme temperature ",1,400,,,,,100000
1971,ESP,Spain,Storm,1,,,,,,55000
1971,USA,"United States of America (the)",Earthquake,1,65,1000,,,1000,535000
1971,USA,"United States of America (the)",Storm,2,158,,,,,
1971,VNM,"Viet Nam",Storm,2,112,,50000,,50000,
1972,AFG,Afghanistan,Flood,1,150,,250000,,250000,
1972,ARG,Argentina,"Extreme temperature ",1,100,,,,,
1972,BGD,Bangladesh,Flood,1,50,,,,,
1972,BGD,Bangladesh,Storm,1,200,,25000,,25000,
1972,BEL,Belgium,Storm,1,,,,,,
1972,COL,Colombia,Landslide,1,70,,,,,
1972,FJI,Fiji,Storm,1,3,,120000,,120000,22500
1972,IND,India,Drought,1,,,200000000,,200000000,100000
1972,IND,India,Earthquake,1,100,,,,,
1972,IND,India,Storm,3,230,,4530075,,4530075,
1972,IDN,Indonesia,Drought,1,,,3500000,,3500000,70000
1972,ITA,Italy,Earthquake,1,1,,450,,450,
1972,JPN,Japan,Flood,1,458,,,,,
1972,JPN,Japan,Landslide,1,80,,,,,
1972,JPN,Japan,Storm,1,50,,,,,
1972,KOR,"Korea (the Republic of)",Flood,2,747,839,801500,326000,1128339,73434
1972,MEX,Mexico,Flood,1,37,70,100000,,100070,
1972,NLD,"Netherlands (the)",Storm,1,,,,,,
1972,PER,Peru,Earthquake,1,12,,1500000,75000,1575000,20000
1972,PHL,"Philippines (the)",Flood,1,653,,2400000,370647,2770647,220000
1972,PHL,"Philippines (the)",Storm,3,435,678,465000,27000,492678,48000
1972,ESP,Spain,Flood,1,,,,,,20000
1972,USA,"United States of America (the)","Extreme temperature ",1,10,,,,,
1972,USA,"United States of America (the)",Flood,1,237,,3000,,3000,120000
1972,USA,"United States of America (the)",Landslide,1,400,,,,,
1972,USA,"United States of America (the)",Storm,2,256,,,,,2100000
1973,ARG,Argentina,Storm,1,60,300,,,300,
1973,AUS,Australia,Flood,1,12,,11000,1000,12000,71000
1973,BGD,Bangladesh,Flood,2,427,,,,,
1973,BGD,Bangladesh,Storm,3,1900,15000,25000,10000,50000,
1973,BRA,Brazil,Flood,1,20,,,,,16000
1973,COL,Colombia,Flood,1,9,172,5000,,5172,
1973,COL,Colombia,Landslide,2,216,,,,,
1973,FJI,Fiji,Storm,2,59,,6150,,6150,
1973,ISL,Iceland,"Volcanic activity",1,,,5200,,5200,24700
1973,IND,India,"Extreme temperature ",2,261,,,,,
1973,IDN,Indonesia,Storm,1,1650,,,,,
1973,ITA,Italy,Storm,3,38,,5000,,5000,480000
1973,JPN,Japan,Storm,1,101,,,,,
1973,MEX,Mexico,Earthquake,2,517,,,,,
1973,MEX,Mexico,Flood,2,130,27,150000,,150027,100000
1973,PAK,Pakistan,Flood,1,474,,4800000,,4800000,661500
1973,PER,Peru,Landslide,1,500,,,,,
1973,PHL,"Philippines (the)",Earthquake,1,14,64,,,64,450
1973,PHL,"Philippines (the)",Flood,1,3,,5000,,5000,493
1973,PHL,"Philippines (the)",Storm,3,346,24,3400000,45000,3445024,7000
1973,PRT,Portugal,Storm,1,11,,,,,
1973,ESP,Spain,Flood,1,500,,,,,400000
1973,ESP,Spain,Storm,1,19,,,,,
1973,USA,"United States of America (the)","Extreme temperature ",1,22,,,,,
1973,USA,"United States of America (the)",Flood,2,56,,,,,500000
1973,USA,"United States of America (the)",Storm,2,50,,246,,246,50000
1973,VNM,"Viet Nam",Storm,1,100,,150000,,150000,
1974,ARG,Argentina,Storm,1,100,,100000,,100000,
1974,AUS,Australia,Drought,1,,,,,,
1974,AUS,Australia,Flood,1,14,,,,,5972
1974,AUS,Australia,Storm,2,76,640,45000,,45640,1096717
1974,BGD,Bangladesh,Drought,1,,,,,,
1974,BGD,Bangladesh,Flood,1,28700,,36000000,2000000,38000000,579200
1974,BGD,Bangladesh,Storm,3,2800,,,,,
1974,BRA,Brazil,Epidemic,1,1500,,30000,,30000,
1974,BRA,Brazil,Flood,1,205,,325000,,325000,121000
1974,BRA,Brazil,Landslide,2,121,,,,,
1974,CAN,Canada,Flood,2,,,,,,89500
1974,CHL,Chile,Flood,1,32,,40000,,40000,10000
1974,CHN,China,Earthquake,1,20000,,,,,
1974,COL,Colombia,Landslide,2,390,1000,,,1000,
1974,ISL,Iceland,Landslide,1,12,,,,,
1974,IND,India,Flood,2,260,,,,,
1974,IND,India,Storm,2,20,100,25000,,25100,
1974,IDN,Indonesia,Storm,1,10,,2000,,2000,
1974,JPN,Japan,Earthquake,1,30,73,,,73,
1974,JPN,Japan,Landslide,1,17,,,,,
1974,JPN,Japan,Storm,3,284,50,,,50,400000
1974,MEX,Mexico,Storm,1,13,,,,,
1974,PAK,Pakistan,Earthquake,1,4700,15000,30000,5200,50200,3255
1974,PER,Peru,Earthquake,1,78,2414,41260,,43674,10000
1974,PER,Peru,Landslide,1,310,,12000,1500,13500,21700
1974,PHL,"Philippines (the)",Flood,2,94,,1201823,,1201823,17800
1974,PHL,"Philippines (the)",Storm,7,203,117,97095,6441,103653,55300
1974,ZAF,"South Africa",Flood,1,26,,,,,
1974,SUN,"Soviet Union",Landslide,1,13,,,,,
1974,USA,"United States of America (the)",Storm,2,352,,,,,1000000
1975,ARG,Argentina,Storm,1,20,,,,,
1975,AUS,Australia,Flood,1,,,,,,54684
1975,AUS,Australia,Storm,1,,,,,,63861
1975,AUS,Australia,Wildfire,2,,,,,,
1975,BRA,Brazil,Epidemic,1,,,107,,107,
1975,BRA,Brazil,"Extreme temperature ",2,126,600,,,600,600000
1975,BRA,Brazil,Flood,1,118,,748000,80000,828000,254900
1975,CAN,Canada,Storm,2,14,40,,300,340,2500
1975,CHN,China,Earthquake,1,10000,,,,,
1975,CHN,China,Flood,1,20000,,11000000,,11000000,
1975,EGY,Egypt,Flood,1,15,,,,,
1975,FJI,Fiji,Storm,1,,,23000,,23000,1000
1975,IND,India,Earthquake,1,47,,,,,
1975,IND,India,Flood,1,350,,27000000,7000000,34000000,714259
1975,IND,India,Storm,5,501,,,2000,2000,200000
1975,ITA,Italy,Landslide,1,12,,,,,
1975,JPN,Japan,Landslide,1,30,,,,,
1975,JPN,Japan,Storm,1,68,52,123,,175,505000
1975,MEX,Mexico,Storm,1,29,,,,,
1975,MAR,Morocco,Flood,1,10,,12000,,12000,
1975,MOZ,Mozambique,Flood,2,1,,75000,,75000,
1975,PAK,Pakistan,"Extreme temperature ",1,14,,,,,
1975,PHL,"Philippines (the)",Flood,1,,,99,,99,
1975,PHL,"Philippines (the)","Insect infestation",1,,,,,,925
1975,PHL,"Philippines (the)",Storm,1,39,8,4518,698,5224,2161
1975,THA,Thailand,Flood,1,239,93,3000000,,3000093,45000
1975,USA,"United States of America (the)",Storm,4,102,,200,,200,550000
1976,AFG,Afghanistan,Earthquake,1,50,,90000,,90000,
1976,AFG,Afghanistan,Flood,1,51,,80000,,80000,
1976,AUS,Australia,Drought,2,,,,,,
1976,AUS,Australia,Flood,1,,,10000,,10000,
1976,AUS,Australia,Storm,6,,,,,,107011
1976,BGD,Bangladesh,Flood,1,168,,4000000,,4000000,
1976,BGD,Bangladesh,Storm,2,47,200,,,200,201
1976,BEL,Belgium,Drought,1,,,,,,
1976,BEL,Belgium,Storm,1,,,,,,
1976,CAN,Canada,Flood,1,,,,,,20000
1976,CHN,China,Earthquake,2,242000,164000,,,164000,5600000
1976,COL,Colombia,Flood,1,47,,,,,
1976,COL,Colombia,Landslide,1,13,16,,,16,
1976,DNK,Denmark,Storm,1,,,,,,
1976,FRA,France,Storm,1,,,,,,
1976,ISL,Iceland,Earthquake,1,1,6,,,6,
1976,IND,India,Storm,6,270,,600000,,600000,266756
1976,IDN,Indonesia,Earthquake,3,1126,4755,472000,,476755,195000
1976,IDN,Indonesia,Flood,1,163,20,20000,,20020,
1976,IDN,Indonesia,Storm,1,25,,,,,
1976,IDN,Indonesia,"Volcanic activity",1,40,,,,,
1976,ITA,Italy,Earthquake,2,934,1750,111472,137000,250222,3600000
1976,JPN,Japan,Flood,1,,,,,,40000
1976,JPN,Japan,Storm,1,169,107,325000,,325107,800000
1976,KOR,"Korea (the Republic of)",Landslide,1,25,,,,,100000
1976,MEX,Mexico,Storm,2,720,1400,475000,100000,576400,100000
1976,NLD,"Netherlands (the)",Storm,1,,,,,,
1976,NZL,"New Zealand",Earthquake,1,,,,,,
1976,NZL,"New Zealand",Flood,1,,,129,,129,
1976,PAK,Pakistan,Flood,1,338,,5566000,,5566000,505000
1976,PHL,"Philippines (the)",Earthquake,1,6000,6348,175000,,181348,134000
1976,PHL,"Philippines (the)",Flood,2,18,,15878,,15878,1553
1976,PHL,"Philippines (the)",Storm,3,387,17,2704443,110,2704570,178426
1976,PHL,"Philippines (the)","Volcanic activity",1,,,11510,,11510,679
1976,SUN,"Soviet Union",Earthquake,1,,,,,,85000
1976,SWE,Sweden,Storm,1,,,,,,
1976,USA,"United States of America (the)",Flood,1,139,,,,,41000
1977,ARG,Argentina,Earthquake,1,70,100,,40000,40100,80000
1977,ARG,Argentina,Flood,1,,,2500,,2500,
1977,AUS,Australia,Flood,1,,,,,,17686
1977,AUS,Australia,Storm,2,,,,,,48949
1977,AUS,Australia,Wildfire,2,3,,,,,24760
1977,BGD,Bangladesh,Epidemic,1,260,,10461,,10461,
1977,BGD,Bangladesh,Flood,2,13,,213650,,213650,
1977,BGD,Bangladesh,Storm,3,634,10600,,,10600,50000
1977,BRA,Brazil,Drought,1,,,,,,
1977,BRA,Brazil,Flood,3,62,,81000,50000,131000,
1977,BRA,Brazil,Storm,1,10,100,,,100,
1977,CAN,Canada,Drought,1,,,,,,3000000
