agencyName,continentName,countryCode,countryName,dateUSGSignature,emergencyTypeName,projectCode,projectID,projectTitle,regionName,tableName,totalAmountApproved,windowFullName,year,projectsectors,projectclusters,projectgroupings,projectcapcodes
"Food and Agriculture Organization",Africa,DJI,Djibouti,2006-04-07,Drought,06-FAO-010-A,1,"Immediate support to pastoral communities as a drought mitigation response","Eastern Africa",M,200000.0,"Rapid Response",2006,Agriculture,"Food Security","",""
"World Food Programme",Africa,DJI,Djibouti,2006-03-23,Drought,06-WFP-007,79,"Emergency Food Assistance to victims of Drought","Eastern Africa",M,250000.0,"Rapid Response",2006,"Food Aid","Food Security","",""
"World Health Organization",Africa,DJI,Djibouti,2006-04-10,Drought,06-WHO-023,115,"Strengthening of health service delivery in drought-affected areas","Eastern Africa",M,150000.0,"Rapid Response",2006,Health,Health,"",""
"World Health Organization",Africa,DJI,Djibouti,2006-03-15,Drought,06-WHO-002,110,"Health and Nutrition","Eastern Africa",M,70000.0,"Rapid Response",2006,Health,Health,"",""
"United Nations Children’s Fund",Africa,DJI,Djibouti,2006-04-13,Drought,06-CEF-026,54,"Drought response in Djibouti, Health and nutrion and water and sanitation","Eastern Africa",M,693000.0,"Rapid Response",2006,"Multi-sector ",Multi-Cluster,"",""
"World Health Organization",Africa,ERI,Eritrea,2006-04-10,Drought,06-WHO-027,116,"Drought response in Eritrea, Health and nutrition","Eastern Africa",M,890000.0,"Rapid Response",2006,Health,Health,"",""
"World Health Organization",Africa,ERI,Eritrea,2006-09-06,Multiple,06-WHO-165,255,"Reducing avoidable mortality and morbidity in the western and eastern lowlands of Eritrea","Eastern Africa",M,400020.0,"Underfunded Emergencies",2006,Health,Health,"",""
"United Nations Children’s Fund",Africa,ERI,Eritrea,2006-06-06,Multiple,06-CEF-168,219,"Resettlement assistance to IDPs and Drought affected areas.","Eastern Africa",M,299600.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"Food and Agriculture Organization",Africa,ERI,Eritrea,2006-04-07,Drought,06-FAO-010-B,2,"Immediate support to pastoral communities as a drought mitigation response","Eastern Africa",M,200000.0,"Rapid Response",2006,Agriculture,"Food Security","",""
"United Nations High Commissioner for Refugees",Africa,ERI,Eritrea,2006-09-06,Multiple,06-HCR-166,213,06/AB/ERT/CM/200,"Eastern Africa",M,299993.0,"Underfunded Emergencies",2006,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,ERI,Eritrea,2006-09-06,Multiple,06-CEF-167,218,"To decrease the child morbidity and mortality rate due to acute malnutrition, measles, diarrhoea, ARI and vitamin A deficiency.","Eastern Africa",M,499690.0,"Underfunded Emergencies",2006,Health,Health,"",""
"United Nations Children’s Fund",Africa,ERI,Eritrea,2006-04-07,Drought,06-CEF-012,50,"Drought response in Eritrea","Eastern Africa",M,1205600.0,"Rapid Response",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Children’s Fund",Africa,ETH,Ethiopia,2006-10-04,Flood,06-CEF-272,78,"Emergency Response to the floods combined to the outbreak of acute watery diarrhoea in Ethiopia","Eastern Africa",M,927000.0,"Rapid Response",2006,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Food Programme",Africa,ETH,Ethiopia,2006-05-11,Drought,06-WFP-032,92,"No title. PRRO 10362.0","Eastern Africa",M,180000.0,"Rapid Response",2006,"Common Telecommunications","Emergency Telecommunications","",""
"United Nations Children’s Fund",Africa,ETH,Ethiopia,2006-04-13,Drought,06-CEF-030,56,"Emergency response to the drought affected areas of Ethiopia","Eastern Africa",M,949999.93,"Rapid Response",2006,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Children’s Fund",Africa,ETH,Ethiopia,2006-04-13,Drought,06-CEF-013,51,"Emergency response in the drought affected areas of Ethiopia","Eastern Africa",M,1155000.0,"Rapid Response",2006,Nutrition,Nutrition,"",""
"Food and Agriculture Organization",Africa,ETH,Ethiopia,2006-04-07,Drought,06-FAO-010-C,3,"Immediate support to pastoral communities as a drought mitigation response
","Eastern Africa",M,400000.0,"Rapid Response",2006,Agriculture,"Food Security","",""
"United Nations Population Fund",Africa,ETH,Ethiopia,2006-08-07,Drought,06-FPA-059,31,"Reduce mortality and morbidity due to life threatening reproductive health conditions as well as GBV resulting from food insecurity and water shortage in Somali region and Borena zone","Eastern Africa",M,49755.0,"Rapid Response",2006,Health,Health,"",""
"World Health Organization",Africa,ETH,Ethiopia,2006-03-15,Drought,06-WHO-004,112,"No title.","Eastern Africa",M,350000.0,"Rapid Response",2006,Health,Health,"",""
"Food and Agriculture Organization",Africa,ETH,Ethiopia,2006-05-02,Drought,06-FAO-031,7,"To provide immediate support to agro-pastoral communities as a drought mitigation response.","Eastern Africa",M,349884.11,"Rapid Response",2006,Agriculture,"Food Security","",""
"World Health Organization",Africa,ETH,Ethiopia,2006-11-24,Flood,06-WHO-296,310,"Supporting the Federal Ministry of Health and Regional Health Bureaux in controlling and preventing acute watery diarrhoea, malaria and polio outbreaks in Somali region.","Eastern Africa",M,300000.0,"Rapid Response",2006,Health,Health,"",""
"United Nations Children’s Fund",Africa,ERI,Eritrea,2006-08-07,Drought,06-CEF-028,55,"Meningitis Control in Eritrea","Eastern Africa",M,1141140.0,"Rapid Response",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Children’s Fund",Africa,ERI,Eritrea,2006-09-06,Multiple,06-CEF-169,220,"Water supply and enviromental sanitation for drought-affected population.","Eastern Africa",M,499262.0,"Underfunded Emergencies",2006,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Health Organization",Africa,ERI,Eritrea,2006-03-15,Drought,06-WHO-003,111,"Health and Nutrition","Eastern Africa",M,450000.0,"Rapid Response",2006,Health,Health,"",""
"World Food Programme",Africa,ETH,Ethiopia,2006-10-04,Flood,06-WFP-271,107,"PRRO 10362.0 Enabling livelihood protection and promotion.","Eastern Africa",M,1790602.0,"Rapid Response",2006,"Food Aid","Food Security","",""
"World Health Organization",Africa,ETH,Ethiopia,2006-10-04,Flood,06-WHO-273,127,"Health sector respnse to save lives through prevention and control of acute watery diarrhoea (AWD) epidemic in Ethiopia","Eastern Africa",M,150000.0,"Rapid Response",2006,Health,Health,"",""
"World Health Organization",Africa,ETH,Ethiopia,2006-04-10,Drought,06-WHO-029,117,"No title.","Eastern Africa",M,463600.0,"Rapid Response",2006,Nutrition,Nutrition,"",""
"World Health Organization",Africa,ETH,Ethiopia,2006-10-04,Flood,06-WHO-274,128,"Health sector response to save life through prevention and control of malaria in flood affected regions in Ethiopia","Eastern Africa",M,100000.0,"Rapid Response",2006,Health,Health,"",""
"World Food Programme",Africa,ETH,Ethiopia,2006-11-24,Flood,06-WFP-295,309,"Special Operation ""Air operation in Support of Flood Affected Population in Ethiopia","Eastern Africa",M,803086.0,"Rapid Response",2006,"Common Humanitarian Air Services","Coordination and Support Services","",""
"United Nations Children’s Fund",Africa,ETH,Ethiopia,2006-11-29,Flood,06-CEF-297,311,"EMERGENCY RESPONSE TO SOMALI REGION FLOODS","Eastern Africa",M,763093.0,"Rapid Response",2006,Health,Health,"",""
"Food and Agriculture Organization",Africa,ETH,Ethiopia,2006-11-24,Flood,06-FAO-294,308,"Urgent provision of seeds to flood affected Agro-Pastoralists and Farmers in Somali Regional State of Ethiopia","Eastern Africa",M,160966.0,"Rapid Response",2006,Agriculture,"Food Security","",""
"United Nations Development Programme",Africa,ETH,Ethiopia,2006-06-13,Drought,06-DSS-033,29,"Security and safety","Eastern Africa",M,80000.0,"Rapid Response",2006,"Common Safety and Security","Coordination and Support Services","",""
"United Nations High Commissioner for Refugees",Africa,ETH,Ethiopia,2006-06-28,Displacement,06-HCR-130,144,"Care and Maintenance for Eritrean Refugees in Northern Ethiopia","Eastern Africa",M,184610.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations High Commissioner for Refugees",Africa,ETH,Ethiopia,2006-06-28,Displacement,06-HCR-128,143,"Care and Maintenance for Sudanese Refugees in Western Ethiopia","Eastern Africa",M,222686.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations High Commissioner for Refugees",Africa,ETH,Ethiopia,2006-06-28,Displacement,06-HCR-129,151,"Care and Maintenance for Somali refugees in Eastern Ethiopia","Eastern Africa",M,192704.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"World Food Programme",Africa,ETH,Ethiopia,2006-06-28,Displacement,06-WFP-127,176,"Food Assistance to Somali, Sudanese and Eritrean Refugees, PRRO 10127.0","Eastern Africa",M,400000.0,"Underfunded Emergencies",2006,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,KEN,Kenya,2006-04-07,Drought,06-CEF-014,52,"Emergency outreach services in health and nutrition  for children and women in ten worst drought afeected districts in Kenya.","Eastern Africa",M,1570079.5,"Rapid Response",2006,Nutrition,Nutrition,"",""
"World Food Programme",Africa,KEN,Kenya,2006-05-11,Drought,06-WFP-038,87,"WFP Regional Logistics Coordination Cell in Support of Drought Affected Countries in the Horn of Africa","Eastern Africa",M,150000.0,"Rapid Response",2006,"Common Logistics",Logistics,"",""
"United Nations Children’s Fund",Africa,KEN,Kenya,2006-04-13,Drought,06-CEF-039,57,"Water for Health facilities, Feeding centres and schools","Eastern Africa",M,600000.01,"Rapid Response",2006,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Children’s Fund",Africa,KEN,Kenya,2006-11-16,Flood,06-CEF-285,284,"Protection of women and children","Eastern Africa",M,178690.0,"Rapid Response",2006,Protection,Protection,"",""
"United Nations Children’s Fund",Africa,KEN,Kenya,2006-11-16,Flood,06-CEF-286,285,"Provision of essential health services to flood affected population.","Eastern Africa",M,1070000.0,"Rapid Response",2006,Health,Health,"",""
"World Food Programme",Africa,KEN,Kenya,2006-11-17,Flood,06-WFP-288,287,"Refugee and Emergency operation","Eastern Africa",M,3276656.0,"Rapid Response",2006,"Food Aid","Food Security","",""
"World Health Organization",Africa,KEN,Kenya,2006-11-17,Flood,06-WHO-289,289,"Emergency helath intervention in flood areas of Kenya","Eastern Africa",M,440840.0,"Rapid Response",2006,Health,Health,"",""
"United Nations High Commissioner for Refugees",Africa,KEN,Kenya,2006-11-16,Flood,06-HCR-290,290,"Emergency assistance for flood recovery in Dadaab refugee camp","Eastern Africa",M,3621942.51,"Rapid Response",2006,"Multi-sector ",Multi-Cluster,"",""
"Food and Agriculture Organization",Africa,KEN,Kenya,2006-11-16,Flood,06-FAO-291,291,"Animal health interventions in flood conditions","Eastern Africa",M,1033166.0,"Rapid Response",2006,Agriculture,"Food Security","",""
"World Health Organization",Africa,KEN,Kenya,2006-04-10,Drought,06-WHO-036,118,"Reduce avoidable mortality and morbidity due to life-threatening health conditions resulting from food insecurity, and strengthen service delivery","Eastern Africa",M,300000.0,"Rapid Response",2006,Health,Health,"",""
"United Nations High Commissioner for Refugees",Africa,KEN,Kenya,2006-09-26,Displacement,06-HCR-269,44,"Emergency assistance for Somali new arrivals in Dadaab camps","Eastern Africa",M,1483836.5,"Rapid Response",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Children’s Fund",Africa,KEN,Kenya,2006-11-16,Flood,06-CEF-284,283,"Provision of safe drinking water and emergency hygiene and sanitation to flood affected populations","Eastern Africa",M,1623874.0,"Rapid Response",2006,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Health Organization",Africa,KEN,Kenya,2006-03-15,Drought,06-WHO-005,113,"Health and Nutrition","Eastern Africa",M,430000.0,"Rapid Response",2006,Health,Health,"",""
"Food and Agriculture Organization",Africa,KEN,Kenya,2006-05-02,Drought,06-FAO-037,8,"Emergency Animal Health","Eastern Africa",M,1065420.13,"Rapid Response",2006,Agriculture,"Food Security","",""
"Food and Agriculture Organization",Africa,KEN,Kenya,2006-04-07,Drought,06-FAO-010-D,4,"Immediate support to pastoral communities as a drought mitigation response","Eastern Africa",M,500000.0,"Rapid Response",2006,Agriculture,"Food Security","",""
"World Food Programme",Africa,KEN,Kenya,2006-06-11,Multiple,06-WFP-034,84,Communications,"Eastern Africa",M,50000.0,"Rapid Response",2006,"Food Aid","Food Security","",""
"World Food Programme",Africa,KEN,Kenya,2006-03-23,Drought,06-WFP-008,80,"Food assistance to drought affected people B/R No.06","Eastern Africa",M,3600000.0,"Rapid Response",2006,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,KEN,Kenya,2006-09-26,Displacement,06-CEF-267,73,"Water development for Somali refugees influx to Dadaab Camp","Eastern Africa",M,278093.0,"Rapid Response",2006,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Food Programme",Africa,KEN,Kenya,2006-09-28,Displacement,06-WFP-268,108,"Food assistance to Somali and Sudanese refugees PRRO 10258.1","Eastern Africa",M,1738070.5,"Rapid Response",2006,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,KEN,Kenya,2006-11-16,Flood,06-CEF-283,282,"Response to increase in malnutrition related to communicable diseases and dietary inadequacy and support to flood affected households' nutritional needs.","Eastern Africa",M,588500.0,"Rapid Response",2006,Nutrition,Nutrition,"",""
"World Food Programme",Africa,KEN,Kenya,2006-12-28,Flood,06-WFP-346,334,"Refugee and Emergency Operation","Eastern Africa",M,2487750.0,"Rapid Response",2006,"Common Humanitarian Air Services","Coordination and Support Services","",""
"World Food Programme",Africa,KEN,Kenya,2006-06-28,Multiple,06-WFP-131,172,"Food Assistance to Somali and Sudanese Refugees","Eastern Africa",M,500000.0,"Underfunded Emergencies",2006,"Food Aid","Food Security","",""
"United Nations High Commissioner for Refugees",Africa,KEN,Kenya,2006-06-28,Multiple,06-HCR-118,145,"Life-sustaining Humanitarian Assistance to Refugees in Camps in Kenya","Eastern Africa",M,500000.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Population Fund",Africa,KEN,Kenya,2006-04-26,Drought,06-FPA-035,30,"Provide trainings on the Minimum Initial Service Package (MISP) for Reproductive Health and Post-Exposure Prophylaxis","Eastern Africa",M,100000.0,"Rapid Response",2006,Health,Health,"",""
"World Food Programme",Africa,SOM,Somalia,2006-05-11,Drought,06-WFP-043-B,93,"Inter-Agency Security Telecommunications Support for Drought Operations in Somalia","Eastern Africa",M,499984.0,"Rapid Response",2006,"Common Telecommunications","Emergency Telecommunications","",""
"World Health Organization",Africa,SOM,Somalia,2006-08-02,Drought,06-WHO-144,125,"Water quality monitoring for the drought affected population in South/Central Somalia","Eastern Africa",M,149800.0,"Rapid Response",2006,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Development Programme",Africa,SOM,Somalia,2006-11-29,Flood,06-UDP-311,297,"Somalia Humanitarian Flood Response Fund","Eastern Africa",M,2080000.0,"Rapid Response",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Children’s Fund",Africa,SOM,Somalia,2006-04-07,Drought,06-CEF-015,275,"Drought response in Somalia","Eastern Africa",M,1128025.8,"Rapid Response",2006,"Multi-sector ",Multi-Cluster,"",""
"Food and Agriculture Organization",Africa,SOM,Somalia,2006-04-07,Drought,06-FAO-010-E,5,"Immediate support to pastoral communities as a drought mitigation response","Eastern Africa",M,600000.0,"Rapid Response",2006,Agriculture,"Food Security","",""
"World Health Organization",Africa,SOM,Somalia,2006-03-15,Drought,06-WHO-006,114,"Health and Nutrition","Eastern Africa",M,404540.0,"Rapid Response",2006,Health,Health,"",""
"Food and Agriculture Organization",Africa,SOM,Somalia,2006-11-16,Flood,06-FAO-282,281,"Emergency Livelihood support to flood-affected riverine farmers","Eastern Africa",M,508200.0,"Rapid Response",2006,Agriculture,"Food Security","",""
"United Nations Children’s Fund",Africa,SOM,Somalia,2006-11-29,Flood,06-CEF-312,298,"Provision of essential NFIs to flood affected populaiton","Eastern Africa",M,2000000.0,"Rapid Response",2006,Shelter,"Emergency Shelter and NFI","",""
"World Food Programme",Africa,SOM,Somalia,2006-03-23,Drought,06-WFP-009,81,"Somalia PRRO 10191.0 Food aid for relief and recovery","Eastern Africa",M,852000.0,"Rapid Response",2006,"Food Aid","Food Security","",""
"World Food Programme",Africa,SOM,Somalia,2006-11-16,Flood,06-WFP-287,286,"Air operations in support of inter-agency flood response in Somalia - Food and non-food relief","Eastern Africa",M,2837000.0,"Rapid Response",2006,"Multi-sector ",Multi-Cluster,"",""
"World Food Programme",Africa,SOM,Somalia,2006-11-29,Flood,06-WFP-310,296,"Air Drops of Food aid in support of Flood Response in Somalia","Eastern Africa",M,3011841.35,"Rapid Response",2006,"Common Humanitarian Air Services","Coordination and Support Services","",""
"Food and Agriculture Organization",Africa,SOM,Somalia,2006-05-02,Drought,06-FAO-042,9,"Immediate support to pastoral communities as a drought mitigation response","Eastern Africa",M,287663.58,"Rapid Response",2006,Agriculture,"Food Security","",""
"World Food Programme",Africa,SOM,Somalia,2006-05-11,Drought,06-WFP-043-A,88,"Emergency School Feeding for the Drough-Affected Population of Southern and Central Somalia","Eastern Africa",M,500000.0,"Rapid Response",2006,"Food Aid","Food Security","",""
"World Health Organization",Africa,SOM,Somalia,2006-04-10,Drought,06-WHO-041,119,Health,"Eastern Africa",M,300000.0,"Rapid Response",2006,Health,Health,"",""
"World Food Programme",Africa,SOM,Somalia,2006-05-11,Drought,06-WFP-043-C,85,"Logistics for Somalia Drought Operation","Eastern Africa",M,1450000.0,"Rapid Response",2006,"Common Logistics",Logistics,"",""
"United Nations High Commissioner for Refugees",Africa,ZMB,Zambia,2006-08-10,Displacement,06-HCR-086,154,"Assistance for the voluntary repatriation of Angolan Refugees","Eastern Africa",M,500000.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Children’s Fund",Africa,ZWE,Zimbabwe,2006-06-28,Multiple,06-CEF-122,166,"Provide care and protection to vulnerable children affected by internal displacement in Harare, Bulawayo, Mutare, Gweru and Masvingo.","Eastern Africa",M,250000.0,"Underfunded Emergencies",2006,Protection,Protection,"",""
"International Organization for Migration",Africa,ZWE,Zimbabwe,2006-09-11,Multiple,06-IOM-172,200,"Emergency provision of temporary shelter and related humanitarian assistance","Eastern Africa",M,250000.0,"Underfunded Emergencies",2006,Shelter,"Emergency Shelter and NFI","",""
"United Nations Children’s Fund",Africa,ZWE,Zimbabwe,2006-09-11,Multiple,06-CEF-171,233,"Provision of emergency safe water supply, sanitation, and hygiene education to targeted vulnerable populations in urban and rural areas ","Eastern Africa",M,250000.0,"Underfunded Emergencies",2006,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"International Organization for Migration",Africa,ZWE,Zimbabwe,2006-06-28,Multiple,06-IOM-120,136,"Emergency Provision of Shelter Assistance","Eastern Africa",M,250000.0,"Underfunded Emergencies",2006,Shelter,"Emergency Shelter and NFI","",""
"United Nations Children’s Fund",Africa,ZWE,Zimbabwe,2006-06-28,Multiple,06-CEF-121,165,"Nutrition surveillance","Eastern Africa",M,250000.0,"Underfunded Emergencies",2006,Nutrition,Nutrition,"",""
"World Health Organization",Africa,ZWE,Zimbabwe,2006-06-28,Multiple,06-WHO-119,182,"Cholera Response Plan","Eastern Africa",M,249973.29,"Underfunded Emergencies",2006,Health,Health,"",""
"World Health Organization",Africa,ZWE,Zimbabwe,2006-09-11,Multiple,06-WHO-173,249,"Procurement of ARVs and Laboratory Reagents","Eastern Africa",M,249990.09,"Underfunded Emergencies",2006,Health,Health,"",""
"World Food Programme",Africa,ZWE,Zimbabwe,2006-09-11,Multiple,06-WFP-170,241,"Targeted food support for vulnerable groups","Eastern Africa",M,250000.0,"Underfunded Emergencies",2006,"Food Aid","Food Security","",""
"United Nations High Commissioner for Refugees",Africa,CMR,Cameroon,2006-12-08,Displacement,06-HCR-318,342,"Assistance to Central African Refugees in Cameroon","Middle Africa",M,500000.0,"Rapid Response",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Population Fund",Africa,COG,"Republic of Congo",2006-07-19,Multiple,06-FPA-097,140,"Amélioration des conditions de vie  des femmes par la maternité à moindre risque.","Middle Africa",M,179787.0,"Underfunded Emergencies",2006,Health,Health,"",""
"United Nations High Commissioner for Refugees",Africa,COG,"Republic of Congo",2006-06-28,Multiple,06-HCR-098,147,"Care and maintenance of DRC refugees in the north of the Republic of Congo","Middle Africa",M,287800.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations High Commissioner for Refugees",Africa,COG,"Republic of Congo",2006-06-28,Multiple,06-HCR-099,148,"Local Integration of urban refugees in the Republic of Congo","Middle Africa",M,108000.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Children’s Fund",Africa,COG,"Republic of Congo",2006-07-10,Multiple,06-CEF-100,159,"Amélioration des conditions d'accés à l'eau potable et assainissement du millieu dans le département du Pool","Middle Africa",M,50000.0,"Underfunded Emergencies",2006,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Food Programme",Africa,COG,"Republic of Congo",2006-06-28,Multiple,06-WFP-101,175,"Improving the nutriotional status of 3000 HIV/AIDS poor patients through inculcation of good nutritional and food preparation practices.","Middle Africa",M,89823.18,"Underfunded Emergencies",2006,"Food Aid","Food Security","",""
"World Health Organization",Africa,COG,"Republic of Congo",2006-07-12,Multiple,06-WHO-134,187,"Renforcement des capacités du Centre de Santé de LINZOLO pou l'amélioration des conditions de vie des femmes et des enfants, par la maternité sans risqué","Middle Africa",M,193000.0,"Underfunded Emergencies",2006,Health,Health,"",""
"Food and Agriculture Organization",Africa,COG,"Republic of Congo",2006-09-20,Multiple,06-FAO-174,190,"Appui aux élevages à cycle court et à la pisciculture dans les zones à épidémies d'Ebola dans la Cuvetter Ouest","Middle Africa",M,150000.0,"Underfunded Emergencies",2006,Agriculture,"Food Security","",""
"United Nations Development Programme",Africa,COG,"Republic of Congo",2006-09-21,Multiple,06-UDP-245,205,"Support to food production and agro-pastoral activities in pool.","Middle Africa",M,161189.0,"Underfunded Emergencies",2006,Agriculture,"Food Security","",""
"United Nations High Commissioner for Refugees",Africa,COG,"Republic of Congo",2006-09-11,Multiple,06-HCR-175,214,"Soin et entretien des refugies de la RDC dans le nord de la Republique du Congo","Middle Africa",M,247811.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations Children’s Fund",Africa,COG,"Republic of Congo",2006-09-07,Multiple,06-CEF-177,223,"Relaunching EPI activities in department of Pool","Middle Africa",M,214000.0,"Underfunded Emergencies",2006,Health,Health,"",""
"World Health Organization",Africa,COG,"Republic of Congo",2006-09-08,Multiple,06-WHO-180,271,"Renforcement des laboratoires d'analyse d'eau et des aliments notamment dans le département du Pool.","Middle Africa",M,120000.0,"Underfunded Emergencies",2006,Health,Health,"",""
"United Nations Children’s Fund",Africa,COG,"Republic of Congo",2006-09-06,Multiple,06-CEF-178,224,"Improving access to potable water and environment sanitation in the Pool Department.","Middle Africa",M,107000.0,"Underfunded Emergencies",2006,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"Food and Agriculture Organization",Africa,COG,"Republic of Congo",2006-06-28,Multiple,06-FAO-102,133,"Programme d'urgence de fournitures d'infrats agricoles aux populations retournées après la guerre dans la Département du POOL","Middle Africa",M,91590.0,"Underfunded Emergencies",2006,Agriculture,"Food Security","",""
"World Food Programme",Africa,COD,"Democratic Republic of the Congo",2006-09-11,Displacement,06-WFP-214,242,"Establishment of a UN Joint Logistics Centre","Middle Africa",M,150000.0,"Underfunded Emergencies",2006,"Common Logistics",Logistics,"",""
"World Health Organization",Africa,COD,"Democratic Republic of the Congo",2006-07-07,Multiple,06-WHO-103,184,"Controle du paludisme dans les zones touches par les conflits a l'Est de la Republique Democratique du Congo","Middle Africa",M,301000.0,"Underfunded Emergencies",2006,Health,Health,"",""
"World Food Programme",Africa,COD,"Democratic Republic of the Congo",2006-07-07,Multiple,06-WFP-112,174,"Prestation de service aérien humanitaire commun pour le RDC","Middle Africa",M,1100000.0,"Underfunded Emergencies",2006,"Common Humanitarian Air Services","Coordination and Support Services","",""
"United Nations Development Programme",Africa,COD,"Democratic Republic of the Congo",2006-07-14,Multiple,06-UDP-141,138,"Emergency Assistance to Returning Refugees and IDPs in South Kivu","Middle Africa",M,849462.0,"Underfunded Emergencies",2006,"Multi-sector ",Multi-Cluster,"",""
"United Nations High Commissioner for Refugees",Africa,COD,"Democratic Republic of the Congo",2006-07-07,Multiple,06-HCR-115,149,"Support to the Protection and Return of Internally Displaced Persons (IDPs) within the Assistance Strategy of the UN Country Team. ","Middle Africa",M,600000.0,"Underfunded Emergencies",2006,Protection,Protection,"",""
"United Nations Children’s Fund",Africa,COD,"Democratic Republic of the Congo",2006-07-07,Multiple,06-CEF-110,162,"Réhabilitation nutritionelle","Middle Africa",M,800000.0,"Underfunded Emergencies",2006,Nutrition,Nutrition,"",""
