"","ym","alertOrNot","countryName","sumFundingAll","year","disaster.type","total_Affected"
"67",200604,"LOW","Djibouti",1069000,2006,"Mass movement (dry)",0
"68",200604,"LOW","Djibouti",1069000,2006,"Storm",66293714
"69",200604,"LOW","Djibouti",1069000,2006,"Volcanic activity",74849
"70",200604,"LOW","Djibouti",1069000,2006,"Wildfire",0
"71",200604,"LOW","Eritrea",2295600,2006,"Drought",19900000
"72",200604,"LOW","Eritrea",2295600,2006,"Earthquake",2649849
"73",200604,"LOW","Eritrea",2295600,2006,"Epidemic",13083
"74",200604,"LOW","Eritrea",2295600,2006,"Extreme temperature ",0
"75",200604,"LOW","Eritrea",2295600,2006,"Flood",22837930
"76",200604,"LOW","Eritrea",2295600,2006,"Landslide",317757
"77",200604,"LOW","Eritrea",2295600,2006,"Mass movement (dry)",0
"78",200604,"LOW","Eritrea",2295600,2006,"Storm",66293714
"79",200604,"LOW","Eritrea",2295600,2006,"Volcanic activity",74849
"80",200604,"LOW","Eritrea",2295600,2006,"Wildfire",0
"81",200604,"LOW","Ethiopia",2968599.93,2006,"Drought",19900000
"82",200604,"LOW","Ethiopia",2968599.93,2006,"Earthquake",2649849
"83",200604,"LOW","Ethiopia",2968599.93,2006,"Epidemic",13083
"84",200604,"LOW","Ethiopia",2968599.93,2006,"Extreme temperature ",0
"85",200604,"LOW","Ethiopia",2968599.93,2006,"Flood",22837930
"86",200604,"LOW","Ethiopia",2968599.93,2006,"Landslide",317757
"87",200604,"LOW","Ethiopia",2968599.93,2006,"Mass movement (dry)",0
"88",200604,"LOW","Ethiopia",2968599.93,2006,"Storm",66293714
"89",200604,"LOW","Ethiopia",2968599.93,2006,"Volcanic activity",74849
"90",200604,"LOW","Ethiopia",2968599.93,2006,"Wildfire",0
"91",200604,"LOW","Kenya",3070079.51,2006,"Drought",19900000
"92",200604,"LOW","Kenya",3070079.51,2006,"Earthquake",2649849
"93",200604,"LOW","Kenya",3070079.51,2006,"Epidemic",13083
"94",200604,"LOW","Kenya",3070079.51,2006,"Extreme temperature ",0
"95",200604,"LOW","Kenya",3070079.51,2006,"Flood",22837930
"96",200604,"LOW","Kenya",3070079.51,2006,"Landslide",317757
"97",200604,"LOW","Kenya",3070079.51,2006,"Mass movement (dry)",0
"98",200604,"LOW","Kenya",3070079.51,2006,"Storm",66293714
"99",200604,"LOW","Kenya",3070079.51,2006,"Volcanic activity",74849
"100",200604,"LOW","Kenya",3070079.51,2006,"Wildfire",0
"101",200604,"LOW","Niger",5503822.91,2006,"Drought",19900000
"102",200604,"LOW","Niger",5503822.91,2006,"Earthquake",2649849
"103",200604,"LOW","Niger",5503822.91,2006,"Epidemic",13083
"104",200604,"LOW","Niger",5503822.91,2006,"Extreme temperature ",0
"105",200604,"LOW","Niger",5503822.91,2006,"Flood",22837930
"106",200604,"LOW","Niger",5503822.91,2006,"Landslide",317757
"107",200604,"LOW","Niger",5503822.91,2006,"Mass movement (dry)",0
"108",200604,"LOW","Niger",5503822.91,2006,"Storm",66293714
"109",200604,"LOW","Niger",5503822.91,2006,"Volcanic activity",74849
"110",200604,"LOW","Niger",5503822.91,2006,"Wildfire",0
"111",200604,"LOW","Somalia",2028025.8,2006,"Drought",19900000
"112",200604,"LOW","Somalia",2028025.8,2006,"Earthquake",2649849
"113",200604,"LOW","Somalia",2028025.8,2006,"Epidemic",13083
"114",200604,"LOW","Somalia",2028025.8,2006,"Extreme temperature ",0
"115",200604,"LOW","Somalia",2028025.8,2006,"Flood",22837930
"116",200604,"LOW","Somalia",2028025.8,2006,"Landslide",317757
"117",200604,"LOW","Somalia",2028025.8,2006,"Mass movement (dry)",0
"118",200604,"LOW","Somalia",2028025.8,2006,"Storm",66293714
"119",200604,"LOW","Somalia",2028025.8,2006,"Volcanic activity",74849
"120",200604,"LOW","Somalia",2028025.8,2006,"Wildfire",0
"121",200605,"LOW","Cote d'Ivoire",249599,2006,"Drought",19900000
"122",200605,"LOW","Cote d'Ivoire",249599,2006,"Earthquake",2649849
"123",200605,"LOW","Cote d'Ivoire",249599,2006,"Epidemic",13083
"124",200605,"LOW","Cote d'Ivoire",249599,2006,"Extreme temperature ",0
"125",200605,"LOW","Cote d'Ivoire",249599,2006,"Flood",22837930
"126",200605,"LOW","Cote d'Ivoire",249599,2006,"Landslide",317757
"127",200605,"LOW","Cote d'Ivoire",249599,2006,"Mass movement (dry)",0
"128",200605,"LOW","Cote d'Ivoire",249599,2006,"Storm",66293714
"129",200605,"LOW","Cote d'Ivoire",249599,2006,"Volcanic activity",74849
"130",200605,"LOW","Cote d'Ivoire",249599,2006,"Wildfire",0
"131",200605,"LOW","Djibouti",516355.16,2006,"Drought",19900000
"132",200605,"LOW","Djibouti",516355.16,2006,"Earthquake",2649849
"133",200605,"LOW","Djibouti",516355.16,2006,"Epidemic",13083
"134",200605,"LOW","Djibouti",516355.16,2006,"Extreme temperature ",0
"135",200605,"LOW","Djibouti",516355.16,2006,"Flood",22837930
"136",200605,"LOW","Djibouti",516355.16,2006,"Landslide",317757
"137",200605,"LOW","Djibouti",516355.16,2006,"Mass movement (dry)",0
"138",200605,"LOW","Djibouti",516355.16,2006,"Storm",66293714
"139",200605,"LOW","Djibouti",516355.16,2006,"Volcanic activity",74849
"140",200605,"LOW","Djibouti",516355.16,2006,"Wildfire",0
"141",200605,"LOW","Ethiopia",529884.11,2006,"Drought",19900000
"142",200605,"LOW","Ethiopia",529884.11,2006,"Earthquake",2649849
"143",200605,"LOW","Ethiopia",529884.11,2006,"Epidemic",13083
"144",200605,"LOW","Ethiopia",529884.11,2006,"Extreme temperature ",0
"145",200605,"LOW","Ethiopia",529884.11,2006,"Flood",22837930
"146",200605,"LOW","Ethiopia",529884.11,2006,"Landslide",317757
"147",200605,"LOW","Ethiopia",529884.11,2006,"Mass movement (dry)",0
"148",200605,"LOW","Ethiopia",529884.11,2006,"Storm",66293714
"149",200605,"LOW","Ethiopia",529884.11,2006,"Volcanic activity",74849
"150",200605,"LOW","Ethiopia",529884.11,2006,"Wildfire",0
"151",200605,"LOW","Guinea-Bissau",1044730.51,2006,"Drought",19900000
"152",200605,"LOW","Guinea-Bissau",1044730.51,2006,"Earthquake",2649849
"153",200605,"LOW","Guinea-Bissau",1044730.51,2006,"Epidemic",13083
"154",200605,"LOW","Guinea-Bissau",1044730.51,2006,"Extreme temperature ",0
"155",200605,"LOW","Guinea-Bissau",1044730.51,2006,"Flood",22837930
"156",200605,"LOW","Guinea-Bissau",1044730.51,2006,"Landslide",317757
"157",200605,"LOW","Guinea-Bissau",1044730.51,2006,"Mass movement (dry)",0
"158",200605,"LOW","Guinea-Bissau",1044730.51,2006,"Storm",66293714
"159",200605,"LOW","Guinea-Bissau",1044730.51,2006,"Volcanic activity",74849
"160",200605,"LOW","Guinea-Bissau",1044730.51,2006,"Wildfire",0
"161",200605,"LOW","Kenya",1215420.13,2006,"Drought",19900000
"162",200605,"LOW","Kenya",1215420.13,2006,"Earthquake",2649849
"163",200605,"LOW","Kenya",1215420.13,2006,"Epidemic",13083
"164",200605,"LOW","Kenya",1215420.13,2006,"Extreme temperature ",0
"165",200605,"LOW","Kenya",1215420.13,2006,"Flood",22837930
"166",200605,"LOW","Kenya",1215420.13,2006,"Landslide",317757
"167",200605,"LOW","Kenya",1215420.13,2006,"Mass movement (dry)",0
"168",200605,"LOW","Kenya",1215420.13,2006,"Storm",66293714
"169",200605,"LOW","Kenya",1215420.13,2006,"Volcanic activity",74849
"170",200605,"LOW","Kenya",1215420.13,2006,"Wildfire",0
"171",200605,"LOW","Republic of the Sudan",2e+07,2006,"Drought",19900000
"172",200605,"LOW","Republic of the Sudan",2e+07,2006,"Earthquake",2649849
"173",200605,"LOW","Republic of the Sudan",2e+07,2006,"Epidemic",13083
"174",200605,"LOW","Republic of the Sudan",2e+07,2006,"Extreme temperature ",0
"175",200605,"LOW","Republic of the Sudan",2e+07,2006,"Flood",22837930
"176",200605,"LOW","Republic of the Sudan",2e+07,2006,"Landslide",317757
"177",200605,"LOW","Republic of the Sudan",2e+07,2006,"Mass movement (dry)",0
"178",200605,"LOW","Republic of the Sudan",2e+07,2006,"Storm",66293714
"179",200605,"LOW","Republic of the Sudan",2e+07,2006,"Volcanic activity",74849
"180",200605,"LOW","Republic of the Sudan",2e+07,2006,"Wildfire",0
"181",200605,"LOW","Somalia",2737647.58,2006,"Drought",19900000
"182",200605,"LOW","Somalia",2737647.58,2006,"Earthquake",2649849
"183",200605,"LOW","Somalia",2737647.58,2006,"Epidemic",13083
"184",200605,"LOW","Somalia",2737647.58,2006,"Extreme temperature ",0
"185",200605,"LOW","Somalia",2737647.58,2006,"Flood",22837930
"186",200605,"LOW","Somalia",2737647.58,2006,"Landslide",317757
"187",200605,"LOW","Somalia",2737647.58,2006,"Mass movement (dry)",0
"188",200605,"LOW","Somalia",2737647.58,2006,"Storm",66293714
"189",200605,"LOW","Somalia",2737647.58,2006,"Volcanic activity",74849
"190",200605,"LOW","Somalia",2737647.58,2006,"Wildfire",0
"191",200606,"LOW","Burundi",999955.2,2006,"Drought",19900000
"192",200606,"LOW","Burundi",999955.2,2006,"Earthquake",2649849
"193",200606,"LOW","Burundi",999955.2,2006,"Epidemic",13083
"194",200606,"LOW","Burundi",999955.2,2006,"Extreme temperature ",0
"195",200606,"LOW","Burundi",999955.2,2006,"Flood",22837930
"196",200606,"LOW","Burundi",999955.2,2006,"Landslide",317757
"197",200606,"LOW","Burundi",999955.2,2006,"Mass movement (dry)",0
"198",200606,"LOW","Burundi",999955.2,2006,"Storm",66293714
"199",200606,"LOW","Burundi",999955.2,2006,"Volcanic activity",74849
"200",200606,"LOW","Burundi",999955.2,2006,"Wildfire",0
"201",200606,"LOW","Central African Republic",1192985.99,2006,"Drought",19900000
"202",200606,"LOW","Central African Republic",1192985.99,2006,"Earthquake",2649849
"203",200606,"LOW","Central African Republic",1192985.99,2006,"Epidemic",13083
"204",200606,"LOW","Central African Republic",1192985.99,2006,"Extreme temperature ",0
"205",200606,"LOW","Central African Republic",1192985.99,2006,"Flood",22837930
"206",200606,"LOW","Central African Republic",1192985.99,2006,"Landslide",317757
"207",200606,"LOW","Central African Republic",1192985.99,2006,"Mass movement (dry)",0
"208",200606,"LOW","Central African Republic",1192985.99,2006,"Storm",66293714
"209",200606,"LOW","Central African Republic",1192985.99,2006,"Volcanic activity",74849
"210",200606,"LOW","Central African Republic",1192985.99,2006,"Wildfire",0
"211",200606,"LOW","Chad",8620705,2006,"Drought",19900000
"212",200606,"LOW","Chad",8620705,2006,"Earthquake",2649849
"213",200606,"LOW","Chad",8620705,2006,"Epidemic",13083
"214",200606,"LOW","Chad",8620705,2006,"Extreme temperature ",0
"215",200606,"LOW","Chad",8620705,2006,"Flood",22837930
"216",200606,"LOW","Chad",8620705,2006,"Landslide",317757
"217",200606,"LOW","Chad",8620705,2006,"Mass movement (dry)",0
"218",200606,"LOW","Chad",8620705,2006,"Storm",66293714
"219",200606,"LOW","Chad",8620705,2006,"Volcanic activity",74849
"220",200606,"LOW","Chad",8620705,2006,"Wildfire",0
"221",200606,"LOW","Cote d'Ivoire",1e+06,2006,"Drought",19900000
"222",200606,"LOW","Cote d'Ivoire",1e+06,2006,"Earthquake",2649849
"223",200606,"LOW","Cote d'Ivoire",1e+06,2006,"Epidemic",13083
"224",200606,"LOW","Cote d'Ivoire",1e+06,2006,"Extreme temperature ",0
"225",200606,"LOW","Cote d'Ivoire",1e+06,2006,"Flood",22837930
"226",200606,"LOW","Cote d'Ivoire",1e+06,2006,"Landslide",317757
"227",200606,"LOW","Cote d'Ivoire",1e+06,2006,"Mass movement (dry)",0
"228",200606,"LOW","Cote d'Ivoire",1e+06,2006,"Storm",66293714
"229",200606,"LOW","Cote d'Ivoire",1e+06,2006,"Volcanic activity",74849
"230",200606,"LOW","Cote d'Ivoire",1e+06,2006,"Wildfire",0
"231",200606,"LOW","Eritrea",299600,2006,"Drought",19900000
"232",200606,"LOW","Eritrea",299600,2006,"Earthquake",2649849
"233",200606,"LOW","Eritrea",299600,2006,"Epidemic",13083
"234",200606,"LOW","Eritrea",299600,2006,"Extreme temperature ",0
"235",200606,"LOW","Eritrea",299600,2006,"Flood",22837930
"236",200606,"LOW","Eritrea",299600,2006,"Landslide",317757
"237",200606,"LOW","Eritrea",299600,2006,"Mass movement (dry)",0
"238",200606,"LOW","Eritrea",299600,2006,"Storm",66293714
"239",200606,"LOW","Eritrea",299600,2006,"Volcanic activity",74849
"240",200606,"LOW","Eritrea",299600,2006,"Wildfire",0
"241",200606,"LOW","Ethiopia",1080000,2006,"Drought",19900000
"242",200606,"LOW","Ethiopia",1080000,2006,"Earthquake",2649849
"243",200606,"LOW","Ethiopia",1080000,2006,"Epidemic",13083
"244",200606,"LOW","Ethiopia",1080000,2006,"Extreme temperature ",0
"245",200606,"LOW","Ethiopia",1080000,2006,"Flood",22837930
"246",200606,"LOW","Ethiopia",1080000,2006,"Landslide",317757
"247",200606,"LOW","Ethiopia",1080000,2006,"Mass movement (dry)",0
"248",200606,"LOW","Ethiopia",1080000,2006,"Storm",66293714
"249",200606,"LOW","Ethiopia",1080000,2006,"Volcanic activity",74849
"250",200606,"LOW","Ethiopia",1080000,2006,"Wildfire",0
"251",200606,"LOW","Guinea-Bissau",316800,2006,"Drought",19900000
"252",200606,"LOW","Guinea-Bissau",316800,2006,"Earthquake",2649849
"253",200606,"LOW","Guinea-Bissau",316800,2006,"Epidemic",13083
"254",200606,"LOW","Guinea-Bissau",316800,2006,"Extreme temperature ",0
"255",200606,"LOW","Guinea-Bissau",316800,2006,"Flood",22837930
"256",200606,"LOW","Guinea-Bissau",316800,2006,"Landslide",317757
"257",200606,"LOW","Guinea-Bissau",316800,2006,"Mass movement (dry)",0
"258",200606,"LOW","Guinea-Bissau",316800,2006,"Storm",66293714
"259",200606,"LOW","Guinea-Bissau",316800,2006,"Volcanic activity",74849
"260",200606,"LOW","Guinea-Bissau",316800,2006,"Wildfire",0
"261",200606,"LOW","Haiti",1e+06,2006,"Drought",19900000
"262",200606,"LOW","Haiti",1e+06,2006,"Earthquake",2649849
"263",200606,"LOW","Haiti",1e+06,2006,"Epidemic",13083
"264",200606,"LOW","Haiti",1e+06,2006,"Extreme temperature ",0
"265",200606,"LOW","Haiti",1e+06,2006,"Flood",22837930
"266",200606,"LOW","Haiti",1e+06,2006,"Landslide",317757
"267",200606,"LOW","Haiti",1e+06,2006,"Mass movement (dry)",0
"268",200606,"LOW","Haiti",1e+06,2006,"Storm",66293714
"269",200606,"LOW","Haiti",1e+06,2006,"Volcanic activity",74849
"270",200606,"LOW","Haiti",1e+06,2006,"Wildfire",0
"271",200606,"LOW","Kenya",1050000,2006,"Drought",19900000
"272",200606,"LOW","Kenya",1050000,2006,"Earthquake",2649849
"273",200606,"LOW","Kenya",1050000,2006,"Epidemic",13083
"274",200606,"LOW","Kenya",1050000,2006,"Extreme temperature ",0
"275",200606,"LOW","Kenya",1050000,2006,"Flood",22837930
"276",200606,"LOW","Kenya",1050000,2006,"Landslide",317757
"277",200606,"LOW","Kenya",1050000,2006,"Mass movement (dry)",0
"278",200606,"LOW","Kenya",1050000,2006,"Storm",66293714
"279",200606,"LOW","Kenya",1050000,2006,"Volcanic activity",74849
"280",200606,"LOW","Kenya",1050000,2006,"Wildfire",0
"281",200606,"LOW","Republic of Congo",577213.18,2006,"Drought",19900000
"282",200606,"LOW","Republic of Congo",577213.18,2006,"Earthquake",2649849
"283",200606,"LOW","Republic of Congo",577213.18,2006,"Epidemic",13083
"284",200606,"LOW","Republic of Congo",577213.18,2006,"Extreme temperature ",0
"285",200606,"LOW","Republic of Congo",577213.18,2006,"Flood",22837930
"286",200606,"LOW","Republic of Congo",577213.18,2006,"Landslide",317757
"287",200606,"LOW","Republic of Congo",577213.18,2006,"Mass movement (dry)",0
"288",200606,"LOW","Republic of Congo",577213.18,2006,"Storm",66293714
"289",200606,"LOW","Republic of Congo",577213.18,2006,"Volcanic activity",74849
"290",200606,"LOW","Republic of Congo",577213.18,2006,"Wildfire",0
"291",200606,"LOW","Republic of the Sudan",1024699,2006,"Drought",19900000
"292",200606,"LOW","Republic of the Sudan",1024699,2006,"Earthquake",2649849
"293",200606,"LOW","Republic of the Sudan",1024699,2006,"Epidemic",13083
"294",200606,"LOW","Republic of the Sudan",1024699,2006,"Extreme temperature ",0
"295",200606,"LOW","Republic of the Sudan",1024699,2006,"Flood",22837930
"296",200606,"LOW","Republic of the Sudan",1024699,2006,"Landslide",317757
"297",200606,"LOW","Republic of the Sudan",1024699,2006,"Mass movement (dry)",0
"298",200606,"LOW","Republic of the Sudan",1024699,2006,"Storm",66293714
"299",200606,"LOW","Republic of the Sudan",1024699,2006,"Volcanic activity",74849
"300",200606,"LOW","Republic of the Sudan",1024699,2006,"Wildfire",0
"301",200606,"LOW","Timor-Leste",4047931,2006,"Drought",19900000
"302",200606,"LOW","Timor-Leste",4047931,2006,"Earthquake",2649849
"303",200606,"LOW","Timor-Leste",4047931,2006,"Epidemic",13083
"304",200606,"LOW","Timor-Leste",4047931,2006,"Extreme temperature ",0
"305",200606,"LOW","Timor-Leste",4047931,2006,"Flood",22837930
"306",200606,"LOW","Timor-Leste",4047931,2006,"Landslide",317757
"307",200606,"LOW","Timor-Leste",4047931,2006,"Mass movement (dry)",0
"308",200606,"LOW","Timor-Leste",4047931,2006,"Storm",66293714
"309",200606,"LOW","Timor-Leste",4047931,2006,"Volcanic activity",74849
"310",200606,"LOW","Timor-Leste",4047931,2006,"Wildfire",0
"311",200606,"LOW","Zimbabwe",999973.29,2006,"Drought",19900000
"312",200606,"LOW","Zimbabwe",999973.29,2006,"Earthquake",2649849
"313",200606,"LOW","Zimbabwe",999973.29,2006,"Epidemic",13083
"314",200606,"LOW","Zimbabwe",999973.29,2006,"Extreme temperature ",0
"315",200606,"LOW","Zimbabwe",999973.29,2006,"Flood",22837930
"316",200606,"LOW","Zimbabwe",999973.29,2006,"Landslide",317757
"317",200606,"LOW","Zimbabwe",999973.29,2006,"Mass movement (dry)",0
"318",200606,"LOW","Zimbabwe",999973.29,2006,"Storm",66293714
"319",200606,"LOW","Zimbabwe",999973.29,2006,"Volcanic activity",74849
"320",200606,"LOW","Zimbabwe",999973.29,2006,"Wildfire",0
"321",200607,"LOW","Burundi",1083375,2006,"Drought",19900000
"322",200607,"LOW","Burundi",1083375,2006,"Earthquake",2649849
"323",200607,"LOW","Burundi",1083375,2006,"Epidemic",13083
"324",200607,"LOW","Burundi",1083375,2006,"Extreme temperature ",0
"325",200607,"LOW","Burundi",1083375,2006,"Flood",22837930
"326",200607,"LOW","Burundi",1083375,2006,"Landslide",317757
"327",200607,"LOW","Burundi",1083375,2006,"Mass movement (dry)",0
"328",200607,"LOW","Burundi",1083375,2006,"Storm",66293714
"329",200607,"LOW","Burundi",1083375,2006,"Volcanic activity",74849
"330",200607,"LOW","Burundi",1083375,2006,"Wildfire",0
"331",200607,"LOW","Central African Republic",2047170,2006,"Drought",19900000
"332",200607,"LOW","Central African Republic",2047170,2006,"Earthquake",2649849
"333",200607,"LOW","Central African Republic",2047170,2006,"Epidemic",13083
"334",200607,"LOW","Central African Republic",2047170,2006,"Extreme temperature ",0
"335",200607,"LOW","Central African Republic",2047170,2006,"Flood",22837930
"336",200607,"LOW","Central African Republic",2047170,2006,"Landslide",317757
"337",200607,"LOW","Central African Republic",2047170,2006,"Mass movement (dry)",0
"338",200607,"LOW","Central African Republic",2047170,2006,"Storm",66293714
"339",200607,"LOW","Central African Republic",2047170,2006,"Volcanic activity",74849
"340",200607,"LOW","Central African Republic",2047170,2006,"Wildfire",0
"341",200607,"LOW","Chad",800360,2006,"Drought",19900000
"342",200607,"LOW","Chad",800360,2006,"Earthquake",2649849
"343",200607,"LOW","Chad",800360,2006,"Epidemic",13083
"344",200607,"LOW","Chad",800360,2006,"Extreme temperature ",0
"345",200607,"LOW","Chad",800360,2006,"Flood",22837930
"346",200607,"LOW","Chad",800360,2006,"Landslide",317757
"347",200607,"LOW","Chad",800360,2006,"Mass movement (dry)",0
"348",200607,"LOW","Chad",800360,2006,"Storm",66293714
"349",200607,"LOW","Chad",800360,2006,"Volcanic activity",74849
"350",200607,"LOW","Chad",800360,2006,"Wildfire",0
"351",200607,"LOW","Democratic Republic of the Congo",1.7e+07,2006,"Drought",19900000
"352",200607,"LOW","Democratic Republic of the Congo",1.7e+07,2006,"Earthquake",2649849
"353",200607,"LOW","Democratic Republic of the Congo",1.7e+07,2006,"Epidemic",13083
"354",200607,"LOW","Democratic Republic of the Congo",1.7e+07,2006,"Extreme temperature ",0
"355",200607,"LOW","Democratic Republic of the Congo",1.7e+07,2006,"Flood",22837930
"356",200607,"LOW","Democratic Republic of the Congo",1.7e+07,2006,"Landslide",317757
"357",200607,"LOW","Democratic Republic of the Congo",1.7e+07,2006,"Mass movement (dry)",0
"358",200607,"LOW","Democratic Republic of the Congo",1.7e+07,2006,"Storm",66293714
"359",200607,"LOW","Democratic Republic of the Congo",1.7e+07,2006,"Volcanic activity",74849
"360",200607,"LOW","Democratic Republic of the Congo",1.7e+07,2006,"Wildfire",0
"361",200607,"LOW","Guinea",497550,2006,"Drought",19900000
"362",200607,"LOW","Guinea",497550,2006,"Earthquake",2649849
"363",200607,"LOW","Guinea",497550,2006,"Epidemic",13083
"364",200607,"LOW","Guinea",497550,2006,"Extreme temperature ",0
"365",200607,"LOW","Guinea",497550,2006,"Flood",22837930
"366",200607,"LOW","Guinea",497550,2006,"Landslide",317757
"367",200607,"LOW","Guinea",497550,2006,"Mass movement (dry)",0
"368",200607,"LOW","Guinea",497550,2006,"Storm",66293714
"369",200607,"LOW","Guinea",497550,2006,"Volcanic activity",74849
"370",200607,"LOW","Guinea",497550,2006,"Wildfire",0
"371",200607,"LOW","Lebanon",5e+06,2006,"Drought",19900000
"372",200607,"LOW","Lebanon",5e+06,2006,"Earthquake",2649849
"373",200607,"LOW","Lebanon",5e+06,2006,"Epidemic",13083
"374",200607,"LOW","Lebanon",5e+06,2006,"Extreme temperature ",0
"375",200607,"LOW","Lebanon",5e+06,2006,"Flood",22837930
"376",200607,"LOW","Lebanon",5e+06,2006,"Landslide",317757
"377",200607,"LOW","Lebanon",5e+06,2006,"Mass movement (dry)",0
"378",200607,"LOW","Lebanon",5e+06,2006,"Storm",66293714
"379",200607,"LOW","Lebanon",5e+06,2006,"Volcanic activity",74849
"380",200607,"LOW","Lebanon",5e+06,2006,"Wildfire",0
"381",200607,"LOW","Republic of Congo",422787,2006,"Drought",19900000
"382",200607,"LOW","Republic of Congo",422787,2006,"Earthquake",2649849
"383",200607,"LOW","Republic of Congo",422787,2006,"Epidemic",13083
"384",200607,"LOW","Republic of Congo",422787,2006,"Extreme temperature ",0
"385",200607,"LOW","Republic of Congo",422787,2006,"Flood",22837930
"386",200607,"LOW","Republic of Congo",422787,2006,"Landslide",317757
"387",200607,"LOW","Republic of Congo",422787,2006,"Mass movement (dry)",0
"388",200607,"LOW","Republic of Congo",422787,2006,"Storm",66293714
"389",200607,"LOW","Republic of Congo",422787,2006,"Volcanic activity",74849
"390",200607,"LOW","Republic of Congo",422787,2006,"Wildfire",0
