freezing,1
freight transport,1
friendship,4
frigate,2
fun,6
function hall,1
furniture,2
games,4
general aviation,1
gentleman,1
geological phenomenon,2
geology,1
glass bottle,1
glasses,1
gold medal,0
government,2
graphic design,73
graphics,93
grass,7
grass family,1
grassland,1
guided missile destroyer,1
gun,8
gun accessory,1
gun turret,2
hairstyle,1
hand,6
handshake,1
handwriting,1
happiness,3
headquarters,2
heat,1
heavy cruiser,2
helicopter,1
helicopter pilot,1
helicopter rotor,2
helmet,0
hill,1
history,4
house,1
human,4
human behavior,67
human body,1
ice,2
icon,1
illustration,98
indoor games and sports,0
infantry,82
inflatable boat,1
interaction,2
jaw,1
jazz,1
jet aircraft,2
jet engine,1
job,9
joint,6
journalist,1
label,3
land lot,2
landmark,1
landscape,7
lane,1
laughter,1
law enforcement,45
leaf,1
learning,2
lecture,4
leisure,2
light aircraft,1
light cruiser,1
lighting,1
line,94
line art,2
lip,1
lipstick,1
littoral combat ship,1
logo,48
lunch,1
m113 armored personnel carrier,3
machine,2
machine gun,3
magazine,1
male,6
mammal,12
man,1
management,3
map,3
marching,6
marine biology,2
marine mammal,1
marines,79
material,13
medal,1
media,13
meeting,7
memorial,2
metropolis,4
metropolitan area,2
midnight,1
military,89
military aircraft,3
military camouflage,15
military engineer,40
military high school,1
military officer,39
military organization,88
military person,52
military rank,21
military uniform,37
military vehicle,10
missile,1
mixed use,1
mode of transport,16
modern art,3
monochrome,17
monochrome photography,8
monoplane,1
motor glider,1
motor vehicle,11
mountain,0
mouth,1
multimedia,3
mural,3
muscle,1
music,3
musical instrument,1
musical instrument accessory,1
musical theatre,1
mythical creature,2
narrow body aircraft,3
naval architecture,3
naval ship,1
navy,3
neighbourhood,3
news,1
news conference,9
newscaster,3
night,1
non commissioned officer,25
nose,2
number,9
ocean,1
off road vehicle,2
official,16
online advertising,8
orator,5
organ,9
organism,35
organization,76
painting,4
panorama,1
paper,8
paper product,2
parade,2
parallel,6
paratrooper,2
pattern,14
pc game,1
pedestrian,3
people,1
performance,3
performance art,1
performing arts,1
person,3
personal protective equipment,6
photo caption,13
photography,2
pilot,1
plain,1
plant,5
play,1
plot,1
police,1
postage stamp,1
poster,27
practical shooting,1
prairie,1
presentation,11
printmaking,7
private school,1
product,121
propeller,2
protest,1
public event,5
public speaking,12
purple,1
real estate,3
recreation,39
rectangle,2
red,0
reflection,1
residential area,3
rifle,5
rigid hulled inflatable boat,1
road,2
rock,2
rotorcraft,2
rubble,1
safari,1
sand,5
savanna,1
saving,1
screenshot,6
sea,1
seabird,1
secondary school,1
security,1
self propelled artillery,7
selfie,1
seminar,7
senior citizen,3
service,2
ship,2
shipping container,1
shooting,6
shooting range,1
shotgun,1
sign,2
signage,10
skeleton,2
sketch,4
sky,29
skyscraper,1
slum,1
smile,3
sniper rifle,2
snout,1
snow,5
social group,1
software,1
soil,1
soldier,86
song,2
space,1
speaker,5
speech,9
spokesperson,6
sport utility vehicle,2
sport venue,4
sports equipment,3
sportswear,1
square,1
stage,4
star,4
steppe,3
stock photography,1
stone wall,1
strap,0
street,7
street sign,1
string instrument,1
structure,5
student,1
submarine chaser,3
suburb,2
suit,2
superhero,1
swat,4
symbol,29
symmetry,30
t shirt,1
tabletop game,1
tail,1
tank,5
tarpaulin,1
team,3
technology,34
television,1
television program,1
temple,1
text,60
theatre,1
thumb,1
tiger,1
tire,1
toddler,2
tourism,4
tower block,1
town,1
training,4
travel,1
tree,21
triangle,7
troop,94
tuxedo,1
tyrannosaurus,2
ultralight aviation,1
umbrella,0
uniform,2
urban area,2
urban design,1
vacation,1
vehicle,57
velociraptor,1
vertebrate,9
video game software,1
village,1
vision care,1
visual arts,9
wall,1
war,2
warship,2
watch accessory,1
watch strap,1
water,13
water bird,1
water resources,7
water transportation,1
watercraft,7
wave,1
weapon,7
web page,1
website,5
white,2
wide body aircraft,3
wind,4
wing,10
winter,3
world,28
writing,3
yellow,5
