term	cat
state run media	GOVMED
state run tv	GOVMED
telecommunication board	GOVMED
trade delegation	GOVBUS
trade official	GOVBUS
hindu hardliner	HINRAD
religious court	JUDREL
shariah court	JUDMUS
sharia court	JUDMUS
army chief of staff	MILGOV
army general chief of staff	MILGOV
army intelligence	MILSPY
army medical squad	MILHLH
chief of staff of the army	MILGOV
chief of the air force	MILGOV
defense services intelligence	MILSPY
military intelligence	MILSPY
military intelligence agency	MILSPY
military intelligence apparatus	MILSPY
military intelligence secret police	MILSPY
military judge	MILJUD
military justice	MILJUD
military police	MILCOP
military tribunal	MILJUD
paramilitary police	MILGOV
shore patrol	MILCOP
spy plane	MILSPY
extremist wahhabi	MUSRAD
fundamentalist muslims	MUSRAD
islamic extremist group	MUSRAD
islamic front 	MUSREB
islamic militant	MUSUAF
muslim doctor	MUSHLH
muslim extremist	MUSRAD
muslim hospital	MUSHLH
muslim militant	MUSUAF
muslim radical	MUSRAD
radical islamists	MUSRAD
radical salafi	MUSRAD
salafi jihadist	MUSRAD
aid group	NGODEV
agitated students	OPPEDU
anti government student	OPPEDU
anti government youth	OPPEDU
dissident student	OPPEDU
mass opposition	OPPCVL
opposition daily	OPPMED
opposition editor	OPPMED
opposition forces	OPPUAF
opposition journalist	OPPMED
opposition newspaper	OPPMED
opposition publisher	OPPMED
opposition reporter	OPPMED
opposition student leader	OPPEDU
pro-democracy group	OPPDEV
protesting student	OPPEDU
protesting worker	OPPLAB
pro democracy group	OPPDEV
strike activist	OPPLAB
striking nurse	OPPHLH
student demonstrator	OPPEDU
student dissident	OPPEDU
student opposition	OPPEDU
student protester	OPPEDU
youth protester	OPPEDU
buddhist rebel	REBBUD
buddhist rebel group	REBBUD
buddhist rebel leader	REBBUD
christian rebel	REBCHR
christian rebel group	REBCHR
christian rebel leader	REBCHR
hindu rebel	REBHIN
hindu rebel group	REBHIN
hindu rebel leader	REBHIN
islamic rebel	REBMUS
islamic rebel group	REBMUS
islamic rebel leader	REBMUS
moslem extremist	REBMUS
muslim rebel	REBMUS
muslim rebel group	REBMUS
muslim rebel leader	REBMUS
muslim separatist rebel	REBMUS
rebel student	REBEDU
shia militia	REBMUS
shi'a militia	REBMUS
shiite militia	REBMUS
shi'ite militia	REBMUS
sunni insurgent	REBMUS
militant monk	RELUAF
militant priest	RELUAF
jihadist	UAFMUS
jihadists	UAFMUS
moslem militant	UAFMUS
muslim militant	UAFMUS
murderous extremist	UAFRAD
industries minister	GOVBUS
industries ministers	GOVBUS
industries ministry	GOVBUS
industries ministries	GOVBUS
industry minister	GOVBUS
industry ministers	GOVBUS
industry ministry	GOVBUS
industry ministries	GOVBUS
information and culture minister	GOVMED
information and culture ministers	GOVMED
information and culture ministry	GOVMED
information and culture ministries	GOVMED
information minister	GOVMED
information ministers	GOVMED
information ministry	GOVMED
information ministries	GOVMED
irrigation minister	GOVAGR
irrigation ministers	GOVAGR
irrigation ministry	GOVAGR
irrigation ministries	GOVAGR
labor and employment minister	GOVLAB
labor and employment ministers	GOVLAB
labor and employment ministry	GOVLAB
labor and employment ministries	GOVLAB
labor minister	GOVLAB
labor ministers	GOVLAB
labor ministry	GOVLAB
labor ministries	GOVLAB
labour minister	GOVLAB
labour ministers	GOVLAB
labour ministry	GOVLAB
labour ministries	GOVLAB
livestock breeding and fishery minister	GOVAGR
livestock breeding and fishery ministers	GOVAGR
livestock breeding and fishery ministry	GOVAGR
livestock breeding and fishery ministries	GOVAGR
local government rural development and cooperatives minister	GOVDEV
local government rural development and cooperatives ministers	GOVDEV
local government rural development and cooperatives ministry	GOVDEV
local government rural development and cooperatives ministries	GOVDEV
manpower minister	GOVLAB
manpower ministers	GOVLAB
manpower ministry	GOVLAB
manpower ministries	GOVLAB
minister for agriculture fisheries and food	GOVAGR
ministers for agriculture fisheries and food	GOVAGR
ministry for agriculture fisheries and food	GOVAGR
ministries for agriculture fisheries and food	GOVAGR
minister for agriculture	GOVAGR
ministers for agriculture	GOVAGR
ministry for agriculture	GOVAGR
ministries for agriculture	GOVAGR
minister for animal husbandry and aquatics	GOVAGR
ministers for animal husbandry and aquatics	GOVAGR
ministry for animal husbandry and aquatics	GOVAGR
ministries for animal husbandry and aquatics	GOVAGR
minister for animal resources	GOVAGR
ministers for animal resources	GOVAGR
ministry for animal resources	GOVAGR
ministries for animal resources	GOVAGR
minister for civil	GOVMIL
ministers for civil	GOVMIL
ministry for civil	GOVMIL
ministries for civil	GOVMIL
minister for communications	GOVMED
ministers for communications	GOVMED
ministry for communications	GOVMED
ministries for communications	GOVMED
minister for communication	GOVMED
ministers for communication	GOVMED
ministry for communication	GOVMED
ministries for communication	GOVMED
minister for communication and culture	GOVMED
ministers for communication and culture	GOVMED
ministry for communication and culture	GOVMED
ministries for communication and culture	GOVMED
minister for construction	GOVDEV
ministers for construction	GOVDEV
ministry for construction	GOVDEV
ministries for construction	GOVDEV
minister for defence	GOVMIL
ministers for defence	GOVMIL
ministry for defence	GOVMIL
ministries for defence	GOVMIL
minister for defense	GOVMIL
ministers for defense	GOVMIL
ministry for defense	GOVMIL
ministries for defense	GOVMIL
minister for education	GOVEDU
ministers for education	GOVEDU
ministry for education	GOVEDU
ministries for education	GOVEDU
minister for education and science	GOVEDU
ministers for education and science	GOVEDU
ministry for education and science	GOVEDU
ministries for education and science	GOVEDU
minister for employment and vocational training	GOVLAB
ministers for employment and vocational training	GOVLAB
ministry for employment and vocational training	GOVLAB
ministries for employment and vocational training	GOVLAB
minister for environment	GOVENV
ministers for environment	GOVENV
ministry for environment	GOVENV
ministries for environment	GOVENV
minister for equipment	GOVDEV
ministers for equipment	GOVDEV
ministry for equipment	GOVDEV
ministries for equipment	GOVDEV
minister for fisheries	GOVAGR
ministers for fisheries	GOVAGR
ministry for fisheries	GOVAGR
ministries for fisheries	GOVAGR
minister for health	GOVHLH
ministers for health	GOVHLH
ministry for health	GOVHLH
ministries for health	GOVHLH
minister for higher education	GOVEDU
ministers for higher education	GOVEDU
ministry for higher education	GOVEDU
ministries for higher education	GOVEDU
minister for home and religious affairs	GOVREL
ministers for home and religious affairs	GOVREL
ministry for home and religious affairs	GOVREL
ministries for home and religious affairs	GOVREL
minister for hydrocarbons	GOVENV
ministers for hydrocarbons	GOVENV
ministry for hydrocarbons	GOVENV
ministries for hydrocarbons	GOVENV
minister for industry	GOVBUS
ministers for industry	GOVBUS
ministry for industry	GOVBUS
ministries for industry	GOVBUS
minister for information	GOVMED
ministers for information	GOVMED
ministry for information	GOVMED
ministries for information	GOVMED
minister for infrastructure	GOVDEV
ministers for infrastructure	GOVDEV
ministry for infrastructure	GOVDEV
ministries for infrastructure	GOVDEV
minister for international development	GOVDEV
ministers for international development	GOVDEV
ministry for international development	GOVDEV
ministries for international development	GOVDEV
minister for irrigation	GOVAGR
ministers for irrigation	GOVAGR
ministry for irrigation	GOVAGR
ministries for irrigation	GOVAGR
minister for labor	GOVLAB
ministers for labor	GOVLAB
ministry for labor	GOVLAB
ministries for labor	GOVLAB
minister for labour	GOVLAB
ministers for labour	GOVLAB
ministry for labour	GOVLAB
ministries for labour	GOVLAB
minister for livestock	GOVAGR
ministers for livestock	GOVAGR
ministry for livestock	GOVAGR
ministries for livestock	GOVAGR
minister for local government	GOVDEV
ministers for local government	GOVDEV
ministry for local government	GOVDEV
ministries for local government	GOVDEV
minister for mineral resources	GOVENV
ministers for mineral resources	GOVENV
ministry for mineral resources	GOVENV
ministries for mineral resources	GOVENV
minister for national defence	GOVMIL
ministers for national defence	GOVMIL
ministry for national defence	GOVMIL
ministries for national defence	GOVMIL
minister for national development	GOVDEV
ministers for national development	GOVDEV
ministry for national development	GOVDEV
ministries for national development	GOVDEV
minister for national education	GOVEDU
ministers for national education	GOVEDU
ministry for national education	GOVEDU
ministries for national education	GOVEDU
minister for national planning and economic development	GOVDEV
ministers for national planning and economic development	GOVDEV
ministry for national planning and economic development	GOVDEV
ministries for national planning and economic development	GOVDEV
minister for natural resources	GOVENV
ministers for natural resources	GOVENV
ministry for natural resources	GOVENV
ministries for natural resources	GOVENV
minister for natural resources and environment	GOVENV
ministers for natural resources and environment	GOVENV
ministry for natural resources and environment	GOVENV
ministries for natural resources and environment	GOVENV
minister for planning	GOVDEV
ministers for planning	GOVDEV
ministry for planning	GOVDEV
ministries for planning	GOVDEV
minister for planning and development	GOVDEV
ministers for planning and development	GOVDEV
ministry for planning and development	GOVDEV
ministries for planning and development	GOVDEV
minister for post and telecommunication	GOVMED
ministers for post and telecommunication	GOVMED
ministry for post and telecommunication	GOVMED
ministries for post and telecommunication	GOVMED
minister for production	GOVBUS
ministers for production	GOVBUS
ministry for production	GOVBUS
ministries for production	GOVBUS
minister for public health	GOVHLH
ministers for public health	GOVHLH
ministry for public health	GOVHLH
ministries for public health	GOVHLH
minister for public health and social welfare	GOVHLH
ministers for public health and social welfare	GOVHLH
ministry for public health and social welfare	GOVHLH
ministries for public health and social welfare	GOVHLH
minister for public service	GOVDEV
ministers for public service	GOVDEV
ministry for public service	GOVDEV
ministries for public service	GOVDEV
minister for public service and administerrative reform	GOVDEV
ministers for public service and administersrative reform	GOVDEV
ministry for public service and administryrative reform	GOVDEV
ministries for public service and administriesrative reform	GOVDEV
minister for rail transport	GOVMED
ministers for rail transport	GOVMED
ministry for rail transport	GOVMED
ministries for rail transport	GOVMED
minister for religious affairs	GOVREL
ministers for religious affairs	GOVREL
ministry for religious affairs	GOVREL
ministries for religious affairs	GOVREL
minister for rural development	GOVDEV
ministers for rural development	GOVDEV
ministry for rural development	GOVDEV
ministries for rural development	GOVDEV
minister for social affairs and labor	GOVLAB
ministers for social affairs and labor	GOVLAB
ministry for social affairs and labor	GOVLAB
ministries for social affairs and labor	GOVLAB
minister for social welfare	GOVHLH
ministers for social welfare	GOVHLH
ministry for social welfare	GOVHLH
ministries for social welfare	GOVHLH
minister for state planning	GOVDEV
ministers for state planning	GOVDEV
ministry for state planning	GOVDEV
ministries for state planning	GOVDEV
minister for telecommunication	GOVMED
ministers for telecommunication	GOVMED
ministry for telecommunication	GOVMED
ministries for telecommunication	GOVMED
minister for the environment	GOVENV
ministers for the environment	GOVENV
ministry for the environment	GOVENV
ministries for the environment	GOVENV
minister for transport	GOVMED
ministers for transport	GOVMED
ministry for transport	GOVMED
ministries for transport	GOVMED
minister for transport and communication	GOVMED
ministers for transport and communication	GOVMED
ministry for transport and communication	GOVMED
ministries for transport and communication	GOVMED
minister for veterans affairs	GOVDEV
ministers for veterans affairs	GOVDEV
ministry for veterans affairs	GOVDEV
ministries for veterans affairs	GOVDEV
minister for welfare	GOVHLH
ministers for welfare	GOVHLH
ministry for welfare	GOVHLH
ministries for welfare	GOVHLH
minister for women	GOVHRI
ministers for women	GOVHRI
ministry for women	GOVHRI
ministries for women	GOVHRI
minister of agriculture	GOVAGR
ministers of agriculture	GOVAGR
ministry of agriculture	GOVAGR
ministries of agriculture	GOVAGR
minister of animal husbandry and aquatics	GOVAGR
ministers of animal husbandry and aquatics	GOVAGR
ministry of animal husbandry and aquatics	GOVAGR
ministries of animal husbandry and aquatics	GOVAGR
minister of animal resources	GOVAGR
ministers of animal resources	GOVAGR
ministry of animal resources	GOVAGR
ministries of animal resources	GOVAGR
minister of civil	GOVMIL
ministers of civil	GOVMIL
ministry of civil	GOVMIL
ministries of civil	GOVMIL
minister of communications	GOVMED
ministers of communications	GOVMED
ministry of communications	GOVMED
ministries of communications	GOVMED
minister of communication	GOVMED
ministers of communication	GOVMED
ministry of communication	GOVMED
ministries of communication	GOVMED
minister of communication and culture	GOVMED
ministers of communication and culture	GOVMED
ministry of communication and culture	GOVMED
ministries of communication and culture	GOVMED
minister of construction	GOVDEV
ministers of construction	GOVDEV
ministry of construction	GOVDEV
ministries of construction	GOVDEV
minister of defence	GOVMIL
ministers of defence	GOVMIL
ministry of defence	GOVMIL
ministries of defence	GOVMIL
minister of defense	GOVMIL
ministers of defense	GOVMIL
ministry of defense	GOVMIL
ministries of defense	GOVMIL
minister of education	GOVEDU
ministers of education	GOVEDU
ministry of education	GOVEDU
ministries of education	GOVEDU
minister of employment and vocational training	GOVLAB
ministers of employment and vocational training	GOVLAB
ministry of employment and vocational training	GOVLAB
ministries of employment and vocational training	GOVLAB
minister of environment	GOVENV
ministers of environment	GOVENV
ministry of environment	GOVENV
ministries of environment	GOVENV
minister of equipment	GOVDEV
ministers of equipment	GOVDEV
ministry of equipment	GOVDEV
ministries of equipment	GOVDEV
minister of fisheries	GOVAGR
ministers of fisheries	GOVAGR
ministry of fisheries	GOVAGR
ministries of fisheries	GOVAGR
minister of health	GOVHLH
ministers of health	GOVHLH
ministry of health	GOVHLH
ministries of health	GOVHLH
minister of higher education	GOVEDU
ministers of higher education	GOVEDU
ministry of higher education	GOVEDU
ministries of higher education	GOVEDU
minister of human development	GOVDEV
ministers of human development	GOVDEV
ministry of human development	GOVDEV
ministries of human development	GOVDEV
minister of human development and social transformation	GOVDEV
ministers of human development and social transformation	GOVDEV
ministry of human development and social transformation	GOVDEV
ministries of human development and social transformation	GOVDEV
minister of hydrocarbons	GOVENV
ministers of hydrocarbons	GOVENV
ministry of hydrocarbons	GOVENV
ministries of hydrocarbons	GOVENV
minister of industry	GOVBUS
ministers of industry	GOVBUS
ministry of industry	GOVBUS
ministries of industry	GOVBUS
minister of industry and trade	GOVBUS
ministers of industry and trade	GOVBUS
ministry of industry and trade	GOVBUS
ministries of industry and trade	GOVBUS
minister of information	GOVMED
ministers of information	GOVMED
ministry of information	GOVMED
ministries of information	GOVMED
minister of infrastructure	GOVDEV
ministers of infrastructure	GOVDEV
ministry of infrastructure	GOVDEV
ministries of infrastructure	GOVDEV
minister of irrigation	GOVAGR
ministers of irrigation	GOVAGR
ministry of irrigation	GOVAGR
ministries of irrigation	GOVAGR
minister of labor	GOVLAB
ministers of labor	GOVLAB
ministry of labor	GOVLAB
ministries of labor	GOVLAB
minister of labour	GOVLAB
ministers of labour	GOVLAB
ministry of labour	GOVLAB
ministries of labour	GOVLAB
minister of livestock	GOVAGR
ministers of livestock	GOVAGR
ministry of livestock	GOVAGR
ministries of livestock	GOVAGR
minister of local government	GOVDEV
ministers of local government	GOVDEV
ministry of local government	GOVDEV
ministries of local government	GOVDEV
minister of mineral resources	GOVENV
ministers of mineral resources	GOVENV
ministry of mineral resources	GOVENV
ministries of mineral resources	GOVENV
minister of national defence	GOVMIL
ministers of national defence	GOVMIL
ministry of national defence	GOVMIL
ministries of national defence	GOVMIL
minister of national development	GOVDEV
ministers of national development	GOVDEV
ministry of national development	GOVDEV
ministries of national development	GOVDEV
minister of national education	GOVEDU
ministers of national education	GOVEDU
ministry of national education	GOVEDU
ministries of national education	GOVEDU
minister of national planning and economic development	GOVDEV
ministers of national planning and economic development	GOVDEV
ministry of national planning and economic development	GOVDEV
ministries of national planning and economic development	GOVDEV
minister of national security	GOVMIL
ministers of national security	GOVMIL
ministry of national security	GOVMIL
ministries of national security	GOVMIL
minister of natural resources	GOVENV
ministers of natural resources	GOVENV
ministry of natural resources	GOVENV
ministries of natural resources	GOVENV
minister of natural resources and environment	GOVENV
ministers of natural resources and environment	GOVENV
ministry of natural resources and environment	GOVENV
ministries of natural resources and environment	GOVENV
minister of planning	GOVDEV
ministers of planning	GOVDEV
ministry of planning	GOVDEV
ministries of planning	GOVDEV
minister of planning and development	GOVDEV
ministers of planning and development	GOVDEV
ministry of planning and development	GOVDEV
ministries of planning and development	GOVDEV
minister of post and telecommunication	GOVMED
ministers of post and telecommunication	GOVMED
ministry of post and telecommunication	GOVMED
ministries of post and telecommunication	GOVMED
minister of production	GOVBUS
ministers of production	GOVBUS
ministry of production	GOVBUS
ministries of production	GOVBUS
minister of public health	GOVHLH
ministers of public health	GOVHLH
ministry of public health	GOVHLH
ministries of public health	GOVHLH
minister of public health and social welfare	GOVHLH
ministers of public health and social welfare	GOVHLH
ministry of public health and social welfare	GOVHLH
ministries of public health and social welfare	GOVHLH
minister of public service	GOVDEV
ministers of public service	GOVDEV
ministry of public service	GOVDEV
ministries of public service	GOVDEV
minister of public service and administerrative reform	GOVDEV
ministers of public service and administersrative reform	GOVDEV
ministry of public service and administryrative reform	GOVDEV
ministries of public service and administriesrative reform	GOVDEV
minister of rail transport	GOVMED
ministers of rail transport	GOVMED
ministry of rail transport	GOVMED
ministries of rail transport	GOVMED
minister of religious affairs	GOVREL
ministers of religious affairs	GOVREL
ministry of religious affairs	GOVREL
ministries of religious affairs	GOVREL
minister of rural development	GOVDEV
ministers of rural development	GOVDEV
ministry of rural development	GOVDEV
ministries of rural development	GOVDEV
minister of social affairs and labor	GOVLAB
ministers of social affairs and labor	GOVLAB
ministry of social affairs and labor	GOVLAB
ministries of social affairs and labor	GOVLAB
minister of social welfare	GOVHLH
ministers of social welfare	GOVHLH
ministry of social welfare	GOVHLH
ministries of social welfare	GOVHLH
minister of state planning	GOVDEV
ministers of state planning	GOVDEV
ministry of state planning	GOVDEV
ministries of state planning	GOVDEV
minister of telecommunication	GOVMED
ministers of telecommunication	GOVMED
ministry of telecommunication	GOVMED
ministries of telecommunication	GOVMED
minister of the environment	GOVENV
ministers of the environment	GOVENV
ministry of the environment	GOVENV
ministries of the environment	GOVENV
minister of transport	GOVMED
ministers of transport	GOVMED
ministry of transport	GOVMED
ministries of transport	GOVMED
minister of veterans affairs	GOVDEV
ministers of veterans affairs	GOVDEV
ministry of veterans affairs	GOVDEV
ministries of veterans affairs	GOVDEV
minister of welfare	GOVHLH
ministers of welfare	GOVHLH
ministry of welfare	GOVHLH
ministries of welfare	GOVHLH
minister of women	GOVHRI
ministers of women	GOVHRI
ministry of women	GOVHRI
ministries of women	GOVHRI
national planning and economic development minister	GOVDEV
national planning and economic development ministers	GOVDEV
national planning and economic development ministry	GOVDEV
national planning and economic development ministries	GOVDEV
post and telecommunications minister	GOVMED
post and telecommunications ministers	GOVMED
post and telecommunications ministry	GOVMED
post and telecommunications ministries	GOVMED
rail transport minister	GOVMED
rail transport ministers	GOVMED
rail transport ministry	GOVMED
rail transport ministries	GOVMED
religious affairs minister	GOVREL
religious affairs ministers	GOVREL
religious affairs ministry	GOVREL
religious affairs ministries	GOVREL
social welfare minister	GOVHLH
social welfare ministers	GOVHLH
social welfare ministry	GOVHLH
social welfare ministries	GOVHLH
state planning minister	GOVDEV
state planning ministers	GOVDEV
state planning ministry	GOVDEV
state planning ministries	GOVDEV
telecommunications minister	GOVMED
telecommunications ministers	GOVMED
telecommunications ministry	GOVMED
telecommunications ministries	GOVMED
telecommunication minister	GOVMED
telecommunication ministers	GOVMED
telecommunication ministry	GOVMED
telecommunication ministries	GOVMED
transportation minister	GOVMED
transportation ministers	GOVMED
transportation ministry	GOVMED
transportation ministries	GOVMED
transport and communication minister	GOVMED
transport and communication ministers	GOVMED
transport and communication ministry	GOVMED
transport and communication ministries	GOVMED
transport minister	GOVMED
transport ministers	GOVMED
transport ministry	GOVMED
transport ministries	GOVMED
welfare minister	GOVHLH
welfare ministers	GOVHLH
welfare ministry	GOVHLH
welfare ministries	GOVHLH
teacher	TEACHERS
educator	TEACHERS
faculty member	TEACHERS
student	STUDENTS
pupil	STUDENTS
classmate	STUDENTS
eu	EUROPEAN UNION
e.u.	EUROPEAN UNION
european central bank	EUROPEAN UNION
eec	EUROPEAN UNION
e.e.c.	EUROPEAN UNION
ecb	EUROPEAN UNION
e.c.b.	EUROPEAN UNION
e.c.b.	EUROPEAN UNION
eurozone	EUROPEAN UNION
european union	EUROPEAN UNION
european commission	EUROPEAN UNION
european parliament	EUROPEAN UNION
european community	EUROPEAN UNION
european coal and steel community	EUROPEAN UNION
european integration	EUROPEAN UNION
world bank	INT FINANCIAL INST
imf	INT FINANCIAL INST
international monetary fund	INT FINANCIAL INST
ibrd	INT FINANCIAL INST
international bank for reconstruction and development	INT FINANCIAL INST
international development association	INT FINANCIAL INST
international finance corporation	INT FINANCIAL INST
international centre for settlement of investment disputes	INT FINANCIAL INST
multilateral investment guarantee agency	INT FINANCIAL INST
asian development bank	INT FINANCIAL INST
inter american development bank	INT FINANCIAL INST
interamerican development bank	INT FINANCIAL INST
european investment bank	INT FINANCIAL INST
european bank for reconstruction and development	INT FINANCIAL INST
multilateral development bank	INT FINANCIAL INST
world trade organization	INT FINANCIAL INST
general agreement on tariffs and trade	INT FINANCIAL INST
ngo	CIVIL SOCIETY
civil society	CIVIL SOCIETY
non governmental organization	CIVIL SOCIETY
nongovernmental organization	CIVIL SOCIETY
non governmental organisation	CIVIL SOCIETY
nongovernmental organisation	CIVIL SOCIETY
non profit	CIVIL SOCIETY
non profits	CIVIL SOCIETY
nonprofit	CIVIL SOCIETY
nonprofits	CIVIL SOCIETY
voluntary association	CIVIL SOCIETY
social capital	CIVIL SOCIETY
community group	CIVIL SOCIETY
advocacy group	CIVIL SOCIETY
activist group	CIVIL SOCIETY
professional association	CIVIL SOCIETY
grassroots	CIVIL SOCIETY
civic organization	CIVIL SOCIETY
civic organisation	CIVIL SOCIETY
civic association	CIVIL SOCIETY
local organization	CIVIL SOCIETY
local organisation	CIVIL SOCIETY
local activist	CIVIL SOCIETY
rights group	CIVIL SOCIETY
right group	CIVIL SOCIETY
cartel	DRUG CARTELS
drug lord	DRUG CARTEL
drug lords	DRUG CARTEL
drug trafficker	DRUG CARTEL
drug trafficking	DRUG CARTEL
illicit trafficking	DRUG CARTEL
los zetas	DRUG CARTEL
zetas	DRUG CARTEL
sinaloa cartel	DRUG CARTEL
knights templar	DRUG CARTEL
jalisco new generation cartel	DRUG CARTEL
matazetas	DRUG CARTEL
ms 13	DRUG CARTEL
calle 18	DRUG CARTEL
barrio 18	DRUG CARTEL
la18	DRUG CARTEL
mara 18	DRUG CARTEL
m18	DRUG CARTEL
los urabenos	DRUG CARTEL
ndrangheta	DRUG CARTEL
erpac cartel	DRUG CARTEL
erpac	DRUG CARTEL
peacekeeper	PEACEKEEPERS
peacekeeping	PEACEKEEPERS
peacekeepers	PEACEKEEPERS
stabilization force	PEACEKEEPERS
stabilization forces	PEACEKEEPERS
un forces	PEACEKEEPERS
united nations forces	PEACEKEEPERS
african union mission in somalia	PEACEKEEPERS
united nations angola verification mission	PEACEKEEPERS
united nations operation in the congo	PEACEKEEPERS
united nations transition assistance group	PEACEKEEPERS
united nations observer mission in liberia	PEACEKEEPERS
united nations observer mission uganda-rwanda	PEACEKEEPERS
united nations operation in somalia	PEACEKEEPERS
united nations aouzou strip observer	PEACEKEEPERS
united nations observer mission in angola	PEACEKEEPERS
united nations observer mission in sierra leone	PEACEKEEPERS
united nations mission in the central african republic	PEACEKEEPERS
united nations mission in sierra leone	PEACEKEEPERS
