Cambodia;Unknown;United States of America;For wood and fibre;[2006] Concluded (Contract signed);9800;Accacia, Teak, Trees
Cambodia;Gold Foison (Cambodia) A/C Import Export & Construction Co Ltd;Cambodia;Non-food agricultural commodities;[2007] Concluded (Contract signed);12000;Rubber
Cambodia;Golden Land Development Co., Ltd;China;Food crops, Forestunspecified;[2004] Concluded (Contract signed);4900;Accacia, Cassava (Maniok), Corn (Maize), Eucalyptus, Mango
Cambodia;Grand Land Agricultural Development (Cambodia) Co Ltd;Cambodia;Agriunspecified, Forestunspecified;[2006] Concluded (Contract signed);9854;Teak, Trees
Cambodia;SRP International Group Ltd., International Woodlands Company A/S;China, Hong Kong Special Administrative Region, Denmark;Forestunspecified;[2009] Concluded (Contract signed);9820;Teak
Cambodia;;China;Agriunspecified, Forestunspecified;[2006] Concluded (Contract signed);8985;Trees
Cambodia;;China;Agriunspecified, Forestunspecified;[2006] Concluded (Contract signed);8178;Trees
Cambodia;Green Island Agricultural Development (Cambodia) Limited;Cambodia;For wood and fibre;[2006] Concluded (Contract signed);9583;Teak, Trees
Cambodia;"Green Sea Agriculture Co., Ltd.
";Cambodia;Agriunspecified, For wood and fibre, Non-food agricultural commodities;[2001] Concluded (Contract signed);100852;Accacia, Cassava (Maniok), Jatropha, Rubber, Sugar Cane, Trees
Cambodia;HBC INVESTMENT AND SERVICES JOINT STOCK COMPANY;Viet Nam;For wood and fibre;[2006] Concluded (Contract signed);5914;Accacia, Eucalyptus, Trees
Cambodia;Hoang Anh Gia Lai (HAGL);Viet Nam;Non-food agricultural commodities;[2009] Concluded (Contract signed);2361;Accacia, Rubber
Cambodia;Heng Development Co., Ltd.;Cambodia;Agriunspecified, Forestunspecified;[2006] Concluded (Contract signed);8654;Trees
Cambodia;"Heng Heap Investment
";Cambodia;Agriunspecified, Non-food agricultural commodities;[2009] Concluded (Contract signed);7000;Jatropha, Rubber
Cambodia;Heng Huy Agriculture Group Co. Ltd;Cambodia;Agriunspecified;Concluded (Contract signed);779;Sugar Cane
Cambodia;Indochina Gateway Capital Limited;Australia;Food crops;[2012] Failed (Contract canceled);14981;Banana
Cambodia;Kain Co., Ltd;Cambodia;Agriunspecified, Non-food agricultural commodities;[2006] Concluded (Contract signed);3445;Rubber
Cambodia;L.Y.P. Group Co., Ltd.;Cambodia;Food crops;[2010] Concluded (Contract signed);13752;Sugar Cane
Cambodia;Kapa Ltd;Republic of Korea;;Concluded (Oral Agreement);;
Cambodia;"Kiri Development
";Cambodia;Non-food agricultural commodities;[2009] Concluded (Contract signed);807;Rubber
Cambodia;Khon Kaen Sugar Industry Public Company Limited, Ve Wong Corporation;Thailand, China;Biofuels, Food crops;[2006] Concluded (Contract signed);9400;Sugar Cane
Cambodia;Khon Kaen Sugar Industry Public Company Limited, Ve Wong Corporation;Thailand, China;Biofuels, Food crops, Industry;[2006] Concluded (Contract signed);9700;Sugar Cane
Cambodia;;China;Non-food agricultural commodities;[2008] Concluded (Contract signed);7000;Accacia, Rubber
Cambodia;"LEANG HOUR HONG Import and Export, Agro Industry Development and Processing
";Cambodia;Agriunspecified;[2000] Concluded (Contract signed);8000;Cassava (Maniok), Sugar Cane
Cambodia;Leopard Capital;Cayman Islands;Food crops;;;Rice
Cambodia;Mitr Phol Group;Thailand;Biofuels, Food crops;[2008] Concluded (Contract signed);6595;Sugar Cane
Cambodia;BLD Plantation Bhd. ;Malaysia;Agriunspecified;[2006] Concluded (Contract signed);9784;
Cambodia;;Viet Nam;Non-food agricultural commodities;[2009] Concluded (Contract signed);8000;Rubber
Cambodia;Men Sarun Co. Ltd.;Cambodia;Agriunspecified, Non-food agricultural commodities;[2006] Concluded (Contract signed);4400;Rubber
Cambodia;Vietnam Rubber Group;Viet Nam;Non-food agricultural commodities;[2009] Concluded (Contract signed);6891;Rubber
Cambodia;Mieng Ly Heng Investment;Cambodia;For wood and fibre, Non-food agricultural commodities;[2005] Concluded (Contract signed);3000;Rubber, Trees
Cambodia;;Singapore;Non-food agricultural commodities;[2009] Concluded (Contract signed);9100;Rubber
Cambodia;Mong Reththy Group;Cambodia;Agriunspecified;[2000] Concluded (Contract signed);1800;Cassava (Maniok)
Cambodia;Oryung Construction;Republic of Korea;Non-food agricultural commodities;[2006] Concluded (Contract signed);6866;Rubber
Cambodia;PLT INDUSTRIAL ZONE INVESTMENT JOINT STOCK COMPANY;Viet Nam;Agriunspecified, Forestunspecified, Non-food agricultural commodities;[2009] Concluded (Contract signed);5256;Accacia, Cassava (Maniok), Rubber
Cambodia;Pelin Group Agricultural Development (Cambodia) Limited;Cambodia;Agriunspecified, Forestunspecified;Failed (Contract canceled);8847;Trees
Cambodia;"Phea Phimex Co., Ltd
";Cambodia;For wood and fibre;[2000] Concluded (Contract signed);307842;Eucalyptus, Trees
Cambodia;L.Y.P. Group Co., Ltd.;Cambodia;Food crops;[2010] Concluded (Contract signed);8343;Sugar Cane
Cambodia;Phou Mady Investment Group;Cambodia;Agriunspecified, For wood and fibre, Forestunspecified;[2006] Concluded (Contract signed);10000;Accacia, Trees
Cambodia;Plantation Agricultural Development (Cambodia) Limited;Cambodia;Agriunspecified, Forestunspecified;Failed (Contract canceled);9214;Trees
Cambodia;Rath Sambath;Cambodia;Non-food agricultural commodities;[2009] Concluded (Contract signed);5200;Rubber
Cambodia;(Cambodia) Research Mining and Development;Cambodia;Forestunspecified, Non-food agricultural commodities;[2009] Concluded (Contract signed);7200;Accacia, Rubber
Cambodia;Mitr Phol Group;Thailand;Biofuels, Food crops;[2008] Concluded (Contract signed);6618;Sugar Cane
Cambodia;Sal Sophea Peanich Co., Ltd.;Cambodia;Agriunspecified, For wood and fibre, Forestunspecified;[2001] Concluded (Contract signed);9917;Accacia, Trees
Cambodia;Samrong Rubber Industries Pte., Ltd;Cambodia;Forestunspecified, Non-food agricultural commodities;[2006] Concluded (Contract signed);9658;Rubber, Trees
Cambodia;Sekong Aphivath Co. Ltd.;Cambodia;Agriunspecified, Livestock;[2006] Concluded (Contract signed);9850;
Cambodia;HLH Group Limited;Singapore;Food crops, Non-food agricultural commodities;[2007] Concluded (Contract signed);9985;Corn (Maize)
Cambodia;HuaYue Group Co. Ltd.;China;Agriunspecified, Forestunspecified, Non-food agricultural commodities;[2006] Concluded (Contract signed);10000;Accacia, Rubber, Teak, Trees
Cambodia;Sopheak Nika Investment Agro-Industrial Plants Co. Ltd.;Cambodia;Agriunspecified, Forestunspecified, Non-food agricultural commodities;[2005] Concluded (Contract signed);10000;Accacia, Rubber, Trees
Cambodia;Sophorn Theary Peanich Co. Ltd.;Cambodia;Agriunspecified, Non-food agricultural commodities;[2006] Concluded (Contract signed);5042;Rubber
Cambodia;Sun Kuy Ty;Cambodia;Non-food agricultural commodities;[2008] Concluded (Contract signed);999;Rubber
Cambodia;Vietnam Rubber Group;Viet Nam;Non-food agricultural commodities;[2007] Concluded (Contract signed);8100;Rubber
Cambodia;;Viet Nam;Agriunspecified, Food crops, Non-food agricultural commodities;Failed (Contract canceled);7600;Cashew, Cassava (Maniok), Rubber
Cambodia;;Viet Nam;Agriunspecified, Food crops, Non-food agricultural commodities;Failed (Contract canceled);7560;Cashew, Cassava (Maniok), Rubber
Cambodia;Vietnam Rubber Group;Viet Nam;Non-food agricultural commodities;[2009] Concluded (Contract signed);6060;Rubber
Cambodia;China Asean Resources Ltd.;China, Hong Kong Special Administrative Region;For wood and fibre, Non-food agricultural commodities;[2007] Concluded (Contract signed);6971;Accacia, Jatropha, Rubber
Cambodia;TTY Industrial Crops Development Import-Export;Cambodia;Agriunspecified;[2000] Concluded (Contract signed);1070;Cassava (Maniok)
Cambodia;"Uk Khun Industrial Plants and Other  Development
";Cambodia;Agriunspecified, Food crops, Livestock;[2002] Concluded (Contract signed);12506;Cashew
Cambodia;Unigreen Resource Co., Ltd;Malaysia;Non-food agricultural commodities;[2009] Concluded (Contract signed);8000;Rubber
Cambodia;Un-Inter Trading and Development Group (Cambodia) Co. Ltd.;Cambodia;Forestunspecified, Non-food agricultural commodities;[2009] Concluded (Contract signed);7000;Accacia, Rubber
Cambodia;"VANNMA Import-Export Co.; Ltd
";Cambodia;Agriunspecified;[2004] Concluded (Contract signed);1200;Cassava (Maniok), Sugar Cane
Cambodia;So Nguon Group Company;Cambodia;Food crops;[2005] Concluded (Contract signed);9800;Corn (Maize)
Cambodia;"Wuzhishan L.S Group
";China;For wood and fibre;[2005] Concluded (Contract signed);10000;Pine, Trees
Cambodia;Kimsville Corp.;;Agriunspecified, Food crops;Failed (Contract canceled);3200;Apple, Cashew, Cassava (Maniok), Fruit
Cambodia;Real Green Co. Ltd.;Thailand;Agriunspecified;[2006] Concluded (Contract signed);8000;Cassava (Maniok), Sugar Cane
Cambodia;Vietnam Rubber Group;Viet Nam;Non-food agricultural commodities;[2008] Concluded (Contract signed);2502;Rubber
China;China Sandi Holdings Limited;China, Hong Kong Special Administrative Region;Biofuels;Concluded (Contract signed);;Jatropha
China;Asahi Breweries Ltd, Itochu Corp, Sumitomo Chemical Company Ltd.;Japan;Food crops, Industry, Livestock;[2006] Concluded (Contract signed);100;Tomatoes, Corn (Maize), Fruit, Vegetables
China;Fonterra Co-operative Group Limited;New Zealand;Industry, Livestock;[2012] Concluded (Contract signed);200;
Indonesia;Wilmar International Ltd;Singapore;Food crops, Non-food agricultural commodities;[2013] Concluded (Contract signed);40000;Sugar Cane
China;Stora Enso, Guangxi Guihai Forestry Ltd;Finland, China;For wood and fibre, Industry;Concluded (Contract signed);90200;Eucalyptus, Trees
China;Chinese Government;China;For carbon sequestration/REDD, For wood and fibre, Other (please specify);[2010] Failed (Negotiations failed);;Trees
China;Chaoda Modern Agriculture (Holdings) Limited;China;Food crops;[2001] Concluded (Contract signed);44282;Onion, Tea, Peas, Sweet Potatoes, Pepper , Corn (Maize), Fruit, Potatoes, Rice, Trees, Vegetables
China;China Huiyuan Juice Group Ltd ;China;Food crops, Industry;Concluded (Contract signed);200000;Flowers, Fruit, Trees, Vegetables
China;Yuen Foong Yu Group;China;Conservation, For wood and fibre, Industry;Concluded (Contract signed);;Trees
Timor-Leste;GTLeste Biotech;Indonesia;Biofuels, Food crops;[2008] Intended (Under negotiation);;Sugar Cane
Indonesia;NEOS Resources PLC;United Kingdom of Great Britain and Northern Ireland;Non-food agricultural commodities;[2007] Concluded (Contract signed);500;Jatropha
Indonesia;KS Oils Ltd;India;Food crops;[2008] Concluded (Contract signed);55847;Oil Palm
Indonesia;Unknown (2621);Republic of Korea;Agriunspecified;[2008] Concluded (Oral Agreement);10000;Corn (Maize)
Indonesia;"Bunge Ltd, PT Tiga Pilar Sejahtera Food Tbk (""TPS Food"")";United States of America, Indonesia;Food crops;[2011] Concluded (Contract signed);;Oil Palm
Indonesia;Harim Holdings Co Ltd;Republic of Korea;Food crops;Intended (Expression of interest);;Corn (Maize)
Indonesia;Nonghyup Feed Inc., Daewoo Logistics;Republic of Korea;Food crops;[2009] Failed (Negotiations failed);;Corn (Maize)
Indonesia;Wilmar International Ltd;Singapore;Biofuels, Food crops, Non-food agricultural commodities;Concluded (Contract signed);;Oil Palm
Indonesia;PT Hartati Inti Plantation (HIP) ;Indonesia;Agriunspecified;Concluded (Contract signed);75000;Oil Palm
Indonesia;Sime Darby;Malaysia;Biofuels, Food crops, Non-food agricultural commodities;Concluded (Contract signed);59721;Oil Palm
Indonesia;First Resources ;Singapore;Agriunspecified, Biofuels, Non-food agricultural commodities;[2011] Concluded (Oral Agreement);100000;Oil Palm, Rubber
Indonesia;Genting Group;Malaysia;Agriunspecified;[2006] Concluded (Contract signed);12500;Oil Palm
Indonesia;Sinar Mas Group;Indonesia;Biofuels, Food crops, Non-food agricultural commodities;Concluded (Oral Agreement);;Oil Palm
Indonesia;First Pacific;China, Hong Kong Special Administrative Region;Food crops, Non-food agricultural commodities;[2005] Concluded (Contract signed);27000;Oil Palm
Indonesia;Kuala Lumpur Kepong Berhad (KLK);Malaysia;Biofuels, Food crops, Non-food agricultural commodities;Concluded (Contract signed);137486;Oil Palm, Rubber
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Indonesia;Noble Group;China, Hong Kong Special Administrative Region;Biofuels, Food crops, Non-food agricultural commodities;[2004] Concluded (Contract signed);32500;Oil Palm
Indonesia;PT Bakrie Sumatera Plantations Tbk;Indonesia;Biofuels, Non-food agricultural commodities;Concluded (Contract signed);;Oil Palm, Rubber
Kazakhstan;Xinjiang Uygur Autonomous Region, Kazakhstan government;China, Kazakhstan;Food crops, Livestock;[2003] Concluded (Contract signed);;Soya Beans, Wheat
Kazakhstan;Government of Kazakhstan, Toyota Tsusho Co.;Kazakhstan, Japan;Food crops;Concluded (Contract signed);;Oil Seeds, Vegetables, Wheat
Iraq;Noor company;Egypt;Livestock;;;
Lao People's Democratic Republic;Aditya Birla Group;India;For wood and fibre;[2006] Concluded (Oral Agreement);50000;Eucalyptus
Lao People's Democratic Republic;Ari Construction and Building Repairment Co;China;Non-food agricultural commodities;Concluded (Oral Agreement);200;Rubber
Lao People's Democratic Republic;Cherchanghang Co;China;Non-food agricultural commodities;Concluded (Oral Agreement);200;Rubber
Lao People's Democratic Republic;Dac Lac Rubber Co;Viet Nam;Non-food agricultural commodities;Concluded (Oral Agreement);10000;Rubber
Lao People's Democratic Republic;Feuangdong Lao Co;Lao People's Democratic Republic;Forestunspecified, Livestock, Non-food agricultural commodities;Concluded (Oral Agreement);500;Rubber, Trees
Lao People's Democratic Republic;Municipal Government of Chongqing, Government of Laos;China, Lao People's Democratic Republic;Food crops, Livestock;[2004] Concluded (Oral Agreement);5000;Grains
Lao People's Democratic Republic;GO Crapkin Co Ltd;Republic of Korea;Agriunspecified, Livestock;Concluded (Oral Agreement);500;
Lao People's Democratic Republic;Hoang Anh Gia Lai (HAGL);Viet Nam;For wood and fibre, Non-food agricultural commodities;[2008] Concluded (Contract signed);10000;Rubber
Lao People's Democratic Republic;Kolao Group;Republic of Korea;Biofuels;Concluded (Oral Agreement);14507;Jatropha
Lao People's Democratic Republic;Kolao Group;Republic of Korea;Biofuels;Concluded (Oral Agreement);1016;Jatropha
Lao People's Democratic Republic;Kolao Group;Republic of Korea;Biofuels;Concluded (Oral Agreement);;Jatropha
Lao People's Democratic Republic;Kaosouyaotiang Viet-Lao Company;Viet Nam;Non-food agricultural commodities;[2006] Concluded (Contract signed);10000;Rubber
Lao People's Democratic Republic;Khon Kaen Sugar Industry Public Company Limited;Thailand;Biofuels, Food crops, Non-food agricultural commodities;[2006] Concluded (Contract signed);10000;Sugar Cane
Lao People's Democratic Republic;KV Import-Export Co. Ltd.;Malaysia;Agriunspecified;Concluded (Oral Agreement);500;Jatropha
Lao People's Democratic Republic;Lao Bio Energy Group Co. Ltd.;Lao People's Democratic Republic;Biofuels;[2009] Concluded (Contract signed);100;Jatropha
Lao People's Democratic Republic;Honda, Jieng Xieng, Thai Hua Rubber Public Company;Japan, China, Thailand;Non-food agricultural commodities;[2006] Concluded (Contract signed);32000;Rubber
Lao People's Democratic Republic;Yunnan Lilieng Biological Co. Ltd.;China;Non-food agricultural commodities;Concluded (Oral Agreement);500;Rubber
Lao People's Democratic Republic;Mitr Phol Group;Thailand;Agriunspecified, Food crops;[2006] Concluded (Contract signed);10000;Sugar Cane
Lao People's Democratic Republic;Oji Paper Co Ltd, Government of Laos;Japan, Lao People's Democratic Republic;For wood and fibre;Concluded (Contract signed);50000;Accacia, Eucalyptus
Lao People's Democratic Republic;Thai Charoen Corporation Group;Thailand;Food crops;Concluded (Contract signed);2400;Coffee Plant, Sugar Cane
Lao People's Democratic Republic;Thien Loui Ye Co Ltd;China;Non-food agricultural commodities;Concluded (Contract signed);7000;Rubber
Lao People's Democratic Republic;Tongtheun Lao-China Agriculture Development;China;Forestunspecified;Concluded (Oral Agreement);500;Trees
Lao People's Democratic Republic;Vietnam Rubber Group;Viet Nam;Non-food agricultural commodities;[2005] Concluded (Contract signed);10000;Rubber
Lao People's Democratic Republic;Government of Laos, Government of Mongolia;Lao People's Democratic Republic, Mongolia;Food crops;[2012] Intended (Under negotiation);;Rice, Food crops (no specification)
Lao People's Democratic Republic;Xaysomboun Agriculture Development Co.;Malaysia;Agriunspecified, Biofuels;Concluded (Oral Agreement);1000;Jatropha
Lao People's Democratic Republic;Yunnan Agricultural Plantation Group Co Ltd;China;Non-food agricultural commodities;Concluded (Oral Agreement);33333;Rubber
Lao People's Democratic Republic;ZTE , Dynasty Laos;China, Lao People's Democratic Republic;Biofuels;Concluded (Contract signed);100000;Cassava (Maniok)
Malaysia;Avantha Group;India;Biofuels, For wood and fibre, Industry;Concluded (Contract signed);288623;Eucalyptus
Malaysia;KS Oils Ltd;India;Agriunspecified, Food crops, Non-food agricultural commodities;[2008] Concluded (Contract signed);405;Oil Palm
Malaysia;1Malaysia Development Berhad (1MDB), China Railway Engineering Corp (CREC), Iskandar Waterfront Holdings (IWH);Malaysia, China;Other (please specify);[2011] Concluded (Contract signed);200;
Malaysia;IOI Group;Malaysia;Agriunspecified;[2002] Concluded (Contract signed);9040;Oil Palm
Malaysia;Tanjung Manis Halal Hub;Malaysia;Agriunspecified, Biofuels, Food crops, Livestock, Non-food agricultural commodities;;;
Malaysia;Rimbunan Hijau;Malaysia;Conservation, For wood and fibre, Industry;[2004] Concluded (Contract signed);235859;Eucalyptus, Trees
Malaysia;Perspecitve Lane Sdn. Bhd., Kelana Ventures Sdn. Bhd., Seaport Terminal (Johor) Sdn. Bhd., Acara Kreatif Sdn. Bhd.;Malaysia;Agriunspecified, Industry;[2002] Concluded (Contract signed);160000;Oil Palm, Rubber
Malaysia;BLD Plantation Bhd. ;Malaysia;Agriunspecified;;51000;Oil Palm
Malaysia;BFP International (Biofuel Projects International);Netherlands;Biofuels;[2007] Intended (Expression of interest);;Jatropha
Myanmar;Solvent Extractors’ Association of India;India;Biofuels;[2009] Intended (Expression of interest);;
Pakistan;Al Dahra Agricultural Company;United Arab Emirates;Agriunspecified;Concluded (Contract signed);1295;Fodder Plants, Alfalfa, Rice
Pakistan;Government of the United Arab Emirates;United Arab Emirates;Food crops;[2009] Intended (Under negotiation);;
Pakistan;Shaikh Zaid Bib Nahyan of Abu Dhabi ;United Arab Emirates;Tourism;;;
Pakistan;Group of private and public firms;United Arab Emirates;Agriunspecified;;;
Pakistan;Kijani Energy Canada;Canada;Biofuels;Concluded (Contract signed);;Jatropha
Pakistan;Government of China;China;Food crops;Failed (Negotiations failed);;
Pakistan;Government of Saudi Arabia;Saudi Arabia;Food crops;[2009] Intended (Under negotiation);;
Philippines;Government of the United Arab Emirates;United Arab Emirates;Food crops;[2008] Intended (Under negotiation);;Banana
Philippines;Nader & Ebrahim S/O Hassan, AMA Group Holdings Corp;Bahrain, Philippines;Food crops;[2009] Intended (Under negotiation);;Banana, Rice
Philippines;Agricultural Department of the Guangxi Zuang Autonomous Region (ADGZAR);China;Biofuels;[2007] Concluded (Contract signed);40000;Cassava (Maniok), Sugar Cane
Philippines;Palawan Bioenergy Development Corporation, China CAMC Engineering Co. Ltd.;Philippines, China;Biofuels;[2007] Concluded (Contract signed);10000;Sugar Cane
Philippines;Eastern Petroleum Corporation;Philippines;Biofuels;;;Cassava (Maniok)
Philippines;Regional Government of Jilin, China Development Bank, Jilin Fuhua Agricultural Science and Technology Development Co. Ltd.;China;Food crops;[2007] Intended (Under negotiation);1000000;Sorghum, Corn (Maize), Rice (hybrid)
Philippines;Sterling Paper Group, Jilin Fuhua Agricultural Science and Technology Development Co. Ltd.;Philippines, China;Food crops;[2006] Concluded (Contract signed);350;Corn (Maize)
Philippines;Cie Automotive S.A.;Spain;Biofuels;[2007] Intended (Under negotiation);;Jatropha
Philippines;NEOS Resources PLC;United Kingdom of Great Britain and Northern Ireland;Biofuels;[2005] Intended (Under negotiation);;Jatropha
Philippines;Philippine National Oil Co, NRG Chemicals;Philippines, United Kingdom of Great Britain and Northern Ireland;Biofuels;[2007] Failed (Negotiations failed);;Jatropha
Philippines;BioEnergy Northern Luzon Inc., Pacific Bio-Fields Corp;Philippines, United Kingdom of Great Britain and Northern Ireland;Biofuels;[2009] Concluded (Oral Agreement);;Coconut
Philippines;Itochu Corp,  JGC Corporation, Philippine Bioethanol and Energy Investments Corporation, GCO;Japan, Philippines, China;Biofuels;Concluded (Oral Agreement);;Sugar Cane
Philippines;SAFI Agro Industries Inc., Unknown, Unknown;Philippines, Japan, Republic of Korea;Biofuels;[2008] Intended (Under negotiation);;Jatropha
Indonesia;Government of the Gyeonggi Province;Republic of Korea;Food crops;[2009] Intended (Under negotiation);;Corn (Maize)
Philippines;Jeonnam Feedstock Ltd.;Republic of Korea;Food crops;[2010] Failed (Contract canceled);94000;Corn (Maize)
Philippines;San Miguel Corp., Kuok Group;Philippines, Malaysia;Biofuels, Food crops;[2008] Intended (Under negotiation);;Sugar (no specification), Coconut, Cassava (Maniok), Corn (Maize), Oil Palm, Rice
Philippines;Far East Agricultural Investment Co, AgriNurture Inc. (ANI);Saudi Arabia, Philippines;Food crops;[2010] Intended (Under negotiation);;Banana, Corn (Maize), Pineapple, Rice
Philippines;Qatar Investment Authority (QIA);Qatar;Food crops, Non-food agricultural commodities;[2012] Intended (Under negotiation);;Oil Palm, Rice, Rubber
Philippines;Tabuk Agricultural Development Company (TADCO);Saudi Arabia;Food crops;;;Banana, Pineapple
Philippines;Dar Al-Maskukat Trading;Saudi Arabia;Food crops;[2012] Intended (Under negotiation);;Rice
Philippines;Charoen Pokphand ;Thailand;Livestock;[2007] Concluded (Contract signed);200;
Philippines;Bronzeoak Group, Zabaleta & Co;United Kingdom of Great Britain and Northern Ireland, Philippines;Biofuels;Concluded (Contract signed);5000;Sugar Cane
Philippines;Basic Energy Corporation;Philippines;Biofuels;[2008] Concluded (Oral Agreement);;Cassava (Maniok)
Philippines;Enviroplasma, Central Luzon Bioenergy Corp.;Republic of Korea, Philippines;Biofuels;[2010] Intended (Under negotiation);;Sugar (no specification)
Philippines;Philippine Agricultural Development and Commercial Corp., Philippine Maize Federation, Korea Overseas Grain Investment and Development Co;Philippines, Republic of Korea;Food crops;[2009] Intended (Under negotiation);;Corn (Maize)
Philippines;Herminio Teves Company Inc;Philippines;Biofuels;Concluded (Oral Agreement);;Jatropha
Philippines;Highlands Development Cooperative;Philippines;Biofuels;Concluded (Oral Agreement);20000;Jatropha
Philippines;Curcas Oil N.V.;Netherlands;Biofuels, Food crops;Concluded (Oral Agreement);;Peanut, Jatropha
Philippines;Eco Solutions Co Ltd;Republic of Korea;Biofuels;Concluded (Oral Agreement);11000;Jatropha
Philippines;Far East Agricultural Investment Co, Abbar and Zainy;Saudi Arabia;Food crops;[2011] Intended (Under negotiation);;Banana, Corn (Maize), Grains, Pineapple, Rice
Philippines;Biosystems Co. Ltd;Republic of Korea;Biofuels;[2011] Concluded (Oral Agreement);;Algae
Philippines;Laguna Lake Development Authority (LLDA), City Government of Taguig;Philippines;Industry, Other (please specify);[2008] Concluded (Oral Agreement);;
Thailand;Acazis AG;Germany;Biofuels;[2008] Intended (Under negotiation);;Jatropha
Thailand;University of Kasetsart , Viengsa Agricultural Co-operative;Thailand;Biofuels;[2006] Concluded (Contract signed);240;Jatropha
Thailand;Charoen Pokphand ;Thailand;Biofuels;;672;Oil Palm
Thailand;Nong Khai Palm Oil Research Office;Thailand;Biofuels;[2007] Concluded (Contract signed);;
Turkey;Planet Food World (PFWC) , Food Agency Association World Engineering SRL (FAA-World Eng), Union of Turkish Non Government Organization (TSTK);Saudi Arabia, Italy, Turkey;Food crops, Livestock;[2007] Intended (Under negotiation);;Fruit, Vegetables
Turkey;Forest Returns, More Trees Consultancy, Houtverwerkingsindustrie Fransen BV ;Netherlands;Biofuels, Conservation, Food crops, For wood and fibre, Renewable Energy;[2006] Intended (Under negotiation);;Accacia
Viet Nam;Green Energy Vietnam;Viet Nam;Biofuels;;;Jatropha
Viet Nam;Tan Mai Paper Company;Viet Nam;For wood and fibre;Concluded (Contract signed);22000;
Viet Nam;Sinar Mas;Indonesia;For wood and fibre;[2008] Concluded (Contract signed);63000;Accacia, Eucalyptus
Viet Nam;Sojitz Group, Vinafor;Japan, Viet Nam;For wood and fibre;Concluded (Contract signed);;
